param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
100.0,roc_higher0^100,2026-03-02 01:00:00,2026-06-17 18:15:00,6.284,22.939,5.858,1.285,1.547,3.916,17.849,0.934,0.576,187.0,29.947,2.899,45.089,0.0,-1.023,-13.309,5.858,-0.616,-0.801,-2.272,21.609,1.131,0.407,73.0,27.397,2.451,45.903,0.0,-0.997,-12.941,3.812,-0.951,-1.54,-3.395,13.614,0.713,0.584,51.0,25.49,2.502,42.321,0.0,5.412,95.211,3.167,5.679,6.828,30.064,16.764,0.877,0.576,50.0,38.0,3.618,47.183,0.0,2.961,88.8,4.748,4.404,4.18,18.703,20.162,1.055,1.049,16.0,31.25,3.928,44.962,0.0,roc_higher0,[100],,,,,
90.0,roc_higher0^90,2026-03-02 01:00:00,2026-06-17 18:15:00,10.983,42.345,6.619,2.375,2.883,6.397,17.828,0.933,0.511,211.0,30.806,3.16,45.237,0.0,7.948,155.819,4.871,7.029,9.316,31.988,22.167,1.16,0.419,71.0,46.479,2.314,47.119,0.0,-3.522,-52.887,5.151,-4.199,-6.251,-10.268,12.594,0.659,0.473,63.0,20.635,2.11,42.186,0.0,5.144,89.002,2.146,5.315,6.7,41.48,16.746,0.877,0.488,59.0,25.424,5.537,46.69,0.0,1.437,36.447,5.908,1.808,1.717,6.169,20.163,1.055,0.839,20.0,25.0,3.803,44.745,0.0,roc_higher0,[90],,,,,
80.0,aroon_diff_higher0^80,2026-03-02 01:00:00,2026-06-17 18:15:00,16.122,65.941,10.96,3.655,4.719,6.016,18.041,0.944,1.826,59.0,49.153,1.883,45.645,0.0,2.384,33.558,4.371,1.513,2.041,7.678,22.178,1.161,1.293,23.0,39.13,2.016,45.967,0.0,-5.243,-87.149,7.258,-6.403,-7.682,-12.008,13.611,0.712,1.354,22.0,36.364,0.62,42.723,0.0,11.176,283.635,1.986,16.933,21.318,142.831,16.75,0.877,2.214,13.0,76.923,4.157,48.662,0.0,7.775,410.742,2.576,20.404,27.972,159.419,20.131,1.054,4.195,4.0,75.0,2.841,45.179,0.0,aroon_diff_higher0,[80],,,,,
70.0,aroon_diff_higher0^70,2026-03-02 01:00:00,2026-06-17 18:15:00,21.812,95.145,6.186,5.277,7.362,15.381,18.032,0.944,1.517,71.0,46.479,2.331,45.033,0.0,0.744,9.531,5.329,0.43,0.592,1.789,22.163,1.16,1.19,25.0,32.0,2.307,44.494,0.0,1.815,24.689,3.552,1.812,2.916,6.951,13.624,0.713,1.241,24.0,45.833,1.618,43.863,0.0,10.558,257.457,3.151,15.371,18.749,81.709,16.749,0.877,1.919,15.0,60.0,3.18,47.817,0.0,7.529,385.944,1.791,19.174,33.935,215.438,20.128,1.054,1.678,10.0,60.0,3.966,43.554,0.0,aroon_diff_higher0,[70],,,,,
170.0,price_higher_sma^170,2026-03-02 01:00:00,2026-06-17 18:15:00,3.733,13.223,9.116,0.733,0.933,1.45,18.043,0.944,0.63,171.0,15.205,6.47,44.755,0.0,-5.03,-82.701,7.987,-3.733,-4.49,-10.355,22.154,1.16,0.444,67.0,11.94,4.489,45.198,0.0,-1.746,-23.648,4.75,-1.738,-2.746,-4.978,13.61,0.712,0.541,55.0,14.545,4.169,42.924,0.0,4.338,71.423,2.844,4.258,5.351,25.118,16.774,0.878,0.685,42.0,23.81,6.329,46.479,0.0,6.614,303.355,2.794,15.031,20.819,108.581,20.182,1.056,1.678,10.0,30.0,9.497,44.312,0.0,price_higher_sma,[170],,,,,
110.0,price_higher_sma^110,2026-03-02 01:00:00,2026-06-17 18:15:00,6.568,24.055,6.453,1.351,1.657,3.728,17.805,0.932,0.462,233.0,16.738,6.068,44.644,0.0,3.25,48.112,3.727,2.225,2.95,12.91,21.621,1.132,0.444,67.0,20.896,5.12,45.839,0.0,-0.663,-8.446,4.775,-0.621,-1.056,-1.769,13.606,0.712,0.392,76.0,15.789,4.928,42.388,0.0,4.729,79.751,3.396,4.82,5.984,23.483,16.544,0.866,0.472,61.0,16.393,8.779,46.549,0.0,-0.683,-15.987,6.196,-0.791,-0.756,-2.58,20.211,1.058,0.524,32.0,15.625,4.905,43.337,0.0,price_higher_sma,[110],,,,,
90.0,price_higher_ema^90,2026-03-02 01:00:00,2026-06-17 18:15:00,0.071,0.241,7.903,0.013,0.016,0.03,18.033,0.944,0.383,281.0,19.573,4.163,44.477,0.0,-1.111,-14.54,4.625,-0.656,-0.805,-3.143,22.156,1.16,0.307,97.0,20.619,3.599,45.327,0.0,0.672,8.566,4.365,0.629,1.066,1.962,13.607,0.712,0.355,84.0,17.857,5.073,42.723,0.0,3.874,61.994,3.049,3.697,4.615,20.33,16.769,0.878,0.488,59.0,22.034,5.408,46.62,0.0,-3.126,-95.506,7.819,-4.737,-4.495,-12.215,20.161,1.055,0.381,44.0,18.182,2.964,42.579,0.0,price_higher_ema,[90],,,,,
130.0,price_higher_ema^130,2026-03-02 01:00:00,2026-06-17 18:15:00,1.673,5.782,6.924,0.322,0.409,0.835,17.932,0.939,0.462,233.0,16.738,5.293,44.514,0.0,-1.452,-19.365,4.232,-0.874,-1.064,-4.575,22.167,1.16,0.397,75.0,20.0,3.558,45.519,0.0,-2.584,-36.743,5.67,-2.7,-4.309,-6.481,13.608,0.712,0.425,70.0,18.571,2.974,42.656,0.0,4.122,66.961,3.416,3.992,4.967,19.602,16.775,0.878,0.64,45.0,17.778,7.955,46.69,0.0,1.823,48.205,5.632,2.467,3.243,8.559,19.543,1.023,0.365,46.0,8.696,13.43,42.47,0.0,price_higher_ema,[130],,,,,
25.0,sma_fast_higher_slow^25^45,2026-03-02 01:00:00,2026-06-17 18:15:00,11.889,46.321,6.899,2.598,3.148,6.714,17.827,0.933,0.781,138.0,39.855,2.093,44.589,0.0,3.168,46.682,5.034,2.107,2.626,9.273,22.151,1.159,0.743,40.0,40.0,1.911,45.455,0.0,0.115,1.421,2.762,0.113,0.172,0.515,12.595,0.659,0.784,38.0,36.842,1.771,43.058,0.0,5.719,102.552,2.392,6.116,7.722,42.876,16.767,0.878,0.778,37.0,40.541,2.631,45.352,0.0,2.576,74.006,4.163,3.67,3.778,17.777,20.166,1.056,0.645,26.0,42.308,1.99,44.42,0.0,sma_fast_higher_slow,[25 45],45,,,,
35.0,sma_fast_higher_slow^35^63,2026-03-02 01:00:00,2026-06-17 18:15:00,20.386,87.51,5.141,4.853,6.063,17.02,18.034,0.944,1.268,85.0,47.059,2.046,45.348,0.0,8.831,182.755,3.44,8.252,12.288,53.121,22.146,1.159,1.101,27.0,37.037,3.567,45.903,0.0,0.28,3.483,3.58,0.256,0.315,0.973,13.627,0.713,1.145,26.0,50.0,1.062,43.796,0.0,5.013,86.047,3.46,5.131,6.098,24.87,16.77,0.878,1.371,21.0,42.857,2.394,46.62,0.0,5.154,198.723,2.587,9.86,10.277,76.827,20.155,1.055,1.198,14.0,64.286,1.275,44.962,0.0,sma_fast_higher_slow,[35 63],63,,,,
