param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
130.0,supertrend_long_signal,[130.    3.7],supertrend_long_signal^130.0^3.6999999999999993,4,4,54,0.01,0.03419390301705185,54,0.055,0.543,51.852,1.233,0.101,-30.303030303030305,0.03888996316758747,54,0.015,0.703,51.852,0.984,0.021,-185.84070796460182,0.010522403982930298,54,0.082,0.839,57.407,0.96,0.098,-99.60474308300397,0.057961001191895116,3.6999999999999993,,
16.0,supertrend_long_signal,[16.   3.5],supertrend_long_signal^16.0^3.4999999999999996,4,4,57,0.011,0.04255309859800198,57,0.007,0.518,45.614,1.239,0.014,-1649.9999999999982,0.004906621621621622,56,0.016,0.664,51.786,0.99,0.024,-74.02597402597401,0.01122698795180723,56,0.139,0.849,60.714,0.982,0.164,84.78260869565217,0.183658457008245,3.4999999999999996,,
100.0,rsi_fast_crossover_slow,[100 140],rsi_fast_crossover_slow^100^140,4,4,139,0.026,0.08143810978631691,139,0.017,0.576,52.518,0.982,0.03,51.06382978723404,0.022165225694444447,139,0.07,0.834,53.237,1.098,0.084,917.4757281553399,0.09176378896882495,139,0.162,0.966,53.237,1.362,0.168,285.8910891089109,0.21413180124223602,140,,
18.0,rsi_fast_crossover_slow,[18 29],rsi_fast_crossover_slow^18^29,4,4,341,0.063,0.08248699398895404,341,0.043,0.592,55.425,0.998,0.073,2.419354838709678,0.0563060304054054,338,0.084,0.832,58.58,0.947,0.101,131.0043668122271,0.11030250000000001,338,0.081,0.931,53.55,1.1,0.087,207.04225352112675,0.10621614393125672,29,,
18.0,second_wave_trend_2,[18],second_wave_trend_2^18,4,4,190,0.035,0.09443855842218064,190,0.066,0.462,57.368,1.075,0.143,-35.682819383259904,0.04685999999999999,187,0.139,0.765,59.893,1.064,0.182,74.10926365795724,0.18398330718954248,185,0.099,0.874,60.0,0.887,0.113,-0.7009345794392522,0.07906783132658955,,,
18.0,mass_crossunder1,[18  5],mass_crossunder1^18^5,4,4,112,0.021,0.10969933735688941,111,0.106,0.507,56.757,1.468,0.209,165.7587548638132,0.14068102564102564,110,0.102,0.701,56.364,1.207,0.146,195.19650655021832,0.13452941512125532,110,-0.005,1.002,52.727,0.885,0.005,0.0,-0.005,5,,
80.0,emacd_histogram_start_increase,[ 80 160  48],emacd_histogram_start_increase^80^160^48,4,4,218,0.04,0.11320543613012521,218,0.068,0.58,53.211,1.253,0.117,101.61290322580645,0.08943641379310345,218,0.093,0.843,54.587,1.132,0.11,38.87043189368771,0.12223377224199289,218,0.121,1.066,52.752,1.224,0.114,80.46874999999999,0.15908548780487805,160,48,
70.0,emacd_histogram_start_increase,[ 70 154  56],emacd_histogram_start_increase^70^154^56,4,4,212,0.039,0.11655541008462734,212,0.079,0.574,55.189,1.24,0.138,116.43835616438356,0.10411346689895472,212,0.089,0.847,54.245,1.134,0.105,62.10526315789472,0.11691573789846516,212,0.112,1.073,51.887,1.236,0.104,102.90697674418605,0.1471197763280522,154,56,
16.0,second_wave_trend_2,[16],second_wave_trend_2^16,4,4,179,0.033,0.11915535588046704,178,0.089,0.503,56.742,1.211,0.177,195.77464788732394,0.11774717693836978,177,0.132,0.747,58.757,1.106,0.177,82.84182305630026,0.1746322891566265,175,0.056,0.843,57.143,0.886,0.066,-52.17391304347826,0.03946040332147094,,,
210.0,mass_crossunder1,[210  63],mass_crossunder1^210^63,4,0,22,0.004,0.12112661548998106,22,0.113,0.463,59.091,1.332,0.244,-1.0,0.08103051835853131,22,0.198,0.856,59.091,1.225,0.231,-1.0,0.14180593457943927,22,0.265,1.014,59.091,1.316,0.261,-1.0,0.19034787968441816,63,,
230.0,rvi_crossover_signal,[230 161],rvi_crossover_signal^230^161,4,4,151,0.028,0.12399351154055771,151,0.057,0.579,52.98,1.166,0.098,-170.51282051282053,0.040292797927461134,151,0.13,0.769,56.291,1.207,0.169,28.810020876826727,0.17185695708712614,151,0.197,0.943,60.927,1.139,0.209,105.72289156626506,0.26145012725344646,161,,
130.0,trix_start_increase,[130],trix_start_increase^130,4,0,22,0.004,0.12491851618547889,22,0.116,0.612,45.455,2.103,0.19,-1.0,0.08273908496732026,22,0.198,0.662,59.091,1.506,0.299,-1.0,0.14274543806646528,22,0.282,0.894,68.182,1.013,0.315,-1.0,0.20362671140939595,,,
200.0,rvi_crossover_signal,[200 180],rvi_crossover_signal^200^180,4,4,152,0.028,0.13023318714776422,152,0.051,0.573,51.974,1.18,0.089,-159.79899497487438,0.03601774869109947,152,0.146,0.763,57.237,1.231,0.191,71.00591715976331,0.19343182175622542,152,0.204,0.937,61.184,1.154,0.218,153.4142640364188,0.27097383137673425,180,,
80.0,rsi_crossover50,[80],rsi_crossover50^80,4,4,117,0.022,0.1357885765498483,117,0.095,0.664,55.556,1.204,0.143,2392.8571428571436,0.12526694277108436,117,0.108,0.883,60.684,0.884,0.122,418.3673469387754,0.14211723669309173,117,0.116,0.972,56.41,1.053,0.119,495.09202453987734,0.15259967078189302,,,
6.0,second_wave_trend_1,[6],second_wave_trend_1^6,4,2,44,0.008,0.1401961542083171,44,0.202,0.706,63.636,1.483,0.286,-1.0,0.1454457223796034,44,0.136,0.784,61.364,0.962,0.173,-1.0,0.09685142857142859,44,0.266,0.841,56.818,1.78,0.316,-1.0,0.192089322235434,,,
80.0,stoch_k_crossover50,[80 56],stoch_k_crossover50^80^56,4,0,22,0.004,0.1442023184589128,22,0.126,0.457,54.545,1.706,0.276,-1.0,0.09063177242888401,22,0.225,0.613,63.636,1.544,0.367,-1.0,0.1632809951060359,22,0.34,0.703,68.182,1.591,0.484,-1.0,0.24951066856330018,56,,
