param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
150.0,roc_higher0^150,2026-03-02 01:00:00,2026-06-17 18:15:00,15.159,61.326,16.18,1.9,2.592,3.79,32.274,1.689,0.862,125.0,30.4,3.302,45.033,0.0,-5.389,-90.543,16.18,-2.329,-3.241,-5.596,38.875,2.035,0.725,41.0,29.268,1.696,45.583,0.0,0.641,8.147,8.313,0.273,0.374,0.98,29.833,1.562,0.596,50.0,34.0,2.132,43.26,0.0,15.498,522.475,6.445,16.864,22.698,81.066,30.982,1.622,1.919,15.0,40.0,7.34,47.465,0.0,5.228,203.389,6.713,7.26,10.384,30.297,28.014,1.466,0.763,22.0,27.273,5.07,43.337,0.0,roc_higher0,[150],,,,,
14.0,roc_higher0^14,2026-03-02 01:00:00,2026-06-17 18:15:00,25.604,116.505,10.708,3.621,5.067,10.88,32.171,1.684,0.165,651.0,33.641,2.414,44.403,0.0,18.892,737.547,5.473,18.972,28.018,134.755,38.875,2.035,0.153,194.0,41.237,2.258,46.351,0.0,-1.063,-13.852,10.708,-0.472,-0.631,-1.294,29.329,1.535,0.159,187.0,26.738,2.668,41.516,0.0,2.983,45.218,9.425,1.459,1.988,4.798,30.989,1.622,0.179,161.0,30.435,2.528,46.268,0.0,4.153,142.587,5.655,5.06,7.257,25.214,28.182,1.475,0.153,110.0,36.364,2.205,43.012,0.0,roc_higher0,[14],,,,,
90.0,aroon_diff_higher0^90,2026-03-02 01:00:00,2026-06-17 18:15:00,17.814,74.279,15.335,2.301,3.054,4.844,32.284,1.69,2.033,53.0,41.509,2.111,45.163,0.0,0.787,10.113,10.521,0.261,0.374,0.961,38.679,2.025,1.983,15.0,46.667,1.298,46.287,0.0,0.419,5.26,10.044,0.175,0.207,0.524,30.144,1.578,1.489,20.0,35.0,1.988,43.796,0.0,19.809,891.126,4.044,28.786,40.382,220.363,30.957,1.62,2.616,11.0,63.636,2.716,47.042,0.0,-2.365,-66.377,10.911,-2.369,-3.061,-6.084,28.014,1.466,1.678,10.0,30.0,1.878,42.687,0.0,aroon_diff_higher0,[90],,,,,
16.0,aroon_diff_higher0^16,2026-03-02 01:00:00,2026-06-17 18:15:00,20.977,90.65,11.382,2.816,4.025,7.964,32.193,1.685,0.297,363.0,36.915,2.088,44.236,0.0,10.106,226.226,7.55,5.833,8.448,29.964,38.782,2.03,0.283,105.0,36.19,2.432,45.391,0.0,5.648,96.188,9.702,3.241,5.021,9.915,29.679,1.553,0.271,110.0,35.455,2.251,42.857,0.0,0.341,4.41,11.214,0.142,0.192,0.393,30.988,1.622,0.323,89.0,37.079,1.742,45.845,0.0,4.153,142.596,6.324,5.099,7.333,22.55,27.966,1.464,0.271,62.0,41.935,1.814,42.145,0.0,aroon_diff_higher0,[16],,,,,
140.0,price_higher_sma^140,2026-03-02 01:00:00,2026-06-17 18:15:00,19.83,84.593,14.365,2.615,3.487,5.889,32.349,1.693,0.576,187.0,17.112,6.88,44.978,0.0,1.006,13.088,11.44,0.337,0.471,1.144,38.863,2.034,0.488,61.0,18.033,5.019,46.223,0.0,-1.091,-14.24,10.605,-0.472,-0.576,-1.343,30.18,1.58,0.438,68.0,14.706,5.568,42.656,0.0,17.056,637.914,6.81,20.623,28.501,93.678,30.933,1.619,0.928,31.0,22.581,9.889,47.465,0.0,2.969,89.13,7.911,3.178,4.431,11.266,28.044,1.468,0.559,30.0,16.667,6.865,42.904,0.0,price_higher_sma,[140],,,,,
8.0,price_higher_sma^8,2026-03-02 01:00:00,2026-06-17 18:15:00,25.79,117.597,11.971,3.678,5.365,9.823,31.974,1.674,0.101,1072.0,29.851,2.718,44.403,0.0,-0.099,-1.22,11.971,-0.032,-0.047,-0.102,38.663,2.024,0.091,328.0,26.829,2.751,45.07,0.0,8.703,178.27,6.302,6.131,8.795,28.287,29.074,1.522,0.103,289.0,33.91,2.404,42.857,0.0,13.415,394.101,7.281,12.774,19.411,54.126,30.852,1.615,0.11,262.0,31.679,2.93,46.62,0.0,2.633,76.132,5.875,2.717,3.933,12.959,28.02,1.467,0.086,196.0,27.551,2.933,42.47,0.0,price_higher_sma,[8],,,,,
12.0,price_higher_ema^12,2026-03-02 01:00:00,2026-06-17 18:15:00,9.879,37.607,19.442,1.164,1.622,1.934,32.306,1.691,0.125,862.0,27.61,2.823,44.422,0.0,-5.545,-94.034,18.119,-2.423,-3.546,-5.19,38.814,2.032,0.106,280.0,25.357,2.654,43.918,0.0,4.138,64.428,7.313,2.138,2.723,8.81,30.14,1.578,0.134,223.0,30.942,2.52,42.924,0.0,5.131,88.699,7.954,2.871,4.137,11.151,30.892,1.617,0.133,216.0,27.315,3.048,47.183,0.0,6.776,316.98,4.907,11.315,16.712,64.593,28.015,1.466,0.115,146.0,28.082,3.489,43.554,0.0,price_higher_ema,[12],,,,,
6.0,price_higher_ema^6,2026-03-02 01:00:00,2026-06-17 18:15:00,20.001,85.489,15.057,2.66,3.8,5.678,32.135,1.682,0.086,1246.0,29.294,2.7,44.477,0.0,0.036,0.446,14.92,0.012,0.017,0.03,38.649,2.023,0.078,383.0,26.632,2.785,44.878,0.0,13.073,351.281,4.979,11.805,17.446,70.556,29.756,1.558,0.091,327.0,33.639,2.645,43.595,0.0,4.795,81.191,8.779,2.634,3.513,9.248,30.824,1.613,0.092,312.0,30.128,2.588,47.042,0.0,1.689,44.012,6.747,1.571,2.322,6.523,28.009,1.466,0.074,226.0,26.991,2.898,41.387,0.0,price_higher_ema,[6],,,,,
8.0,sma_fast_higher_slow^8^21,2026-03-02 01:00:00,2026-06-17 18:15:00,17.371,72.071,21.944,2.23,3.053,3.284,32.323,1.692,0.386,279.0,35.125,2.217,44.162,0.0,2.026,27.931,14.656,0.719,1.028,1.906,38.835,2.033,0.32,93.0,30.108,2.515,44.238,0.0,-3.138,-46.075,14.704,-1.531,-1.963,-3.134,30.1,1.575,0.355,84.0,32.143,1.881,41.851,0.0,10.872,270.545,7.654,8.732,12.034,35.345,30.983,1.622,0.457,63.0,36.508,2.67,47.254,0.0,7.646,397.545,3.287,14.203,20.785,120.939,27.991,1.465,0.399,42.0,50.0,1.863,43.12,0.0,sma_fast_higher_slow,[ 8 21],21,,,,
16.0,sma_fast_higher_slow^16^22,2026-03-02 01:00:00,2026-06-17 18:15:00,37.527,194.39,17.076,6.042,7.821,11.384,32.176,1.684,0.381,283.0,41.696,2.038,44.959,0.0,5.167,85.652,12.862,2.208,2.741,6.659,38.79,2.03,0.334,89.0,32.584,2.485,45.327,0.0,0.26,3.234,11.085,0.107,0.134,0.292,30.197,1.581,0.355,84.0,35.714,1.847,42.455,0.0,17.745,694.952,4.608,22.413,31.492,150.823,31.007,1.623,0.405,71.0,49.296,2.143,47.676,0.0,11.317,932.768,3.253,34.892,55.352,286.776,26.733,1.399,0.399,42.0,61.905,1.64,44.312,0.0,sma_fast_higher_slow,[16 22],22,,,,
