param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
14.0,second_wave_trend_1,[14],second_wave_trend_1^14,4,4,81,0.015,0.1360378540885934,81,0.106,1.238,50.617,1.229,0.086,-39.38223938223938,0.07483531502423263,81,0.17,1.734,51.852,1.207,0.098,41.07142857142858,0.22316666666666668,80,0.121,1.811,48.75,1.255,0.067,42.38683127572016,0.15835098288238542,,,
18.0,second_wave_trend_2,[18],second_wave_trend_2^18,4,4,177,0.033,0.1867833334226903,177,0.199,1.15,57.627,1.141,0.173,-34.59715639810426,0.14171049565217392,177,0.241,1.722,57.627,1.08,0.14,189.47368421052636,0.3176847444831591,176,0.079,1.963,48.295,1.192,0.04,635.8024691358024,0.10311331125827816,,,
220.0,price_crossover_ema,[220],price_crossover_ema^220,4,4,97,0.018,0.19230905335550824,97,0.082,1.282,60.825,0.756,0.064,580.0947867298578,0.10728184087363495,97,0.162,1.45,59.794,0.884,0.112,412.66666666666663,0.2129529103448276,97,0.283,1.732,62.887,0.87,0.163,665.871121718377,0.37391129907621246,,,
110.0,rsi_crossover50,[110],rsi_crossover50^110,4,4,97,0.018,0.19230905335550824,97,0.082,1.282,60.825,0.756,0.064,580.0947867298578,0.10728184087363495,97,0.162,1.45,59.794,0.884,0.112,412.66666666666663,0.2129529103448276,97,0.283,1.732,62.887,0.87,0.163,665.871121718377,0.37391129907621246,,,
140.0,rsi_crossover50,[140],rsi_crossover50^140,4,4,77,0.014,0.21078677578858052,77,0.163,1.273,61.039,0.881,0.128,271.9298245614035,0.21461325216025137,77,0.059,1.372,54.545,0.927,0.043,1378.4810126582283,0.07702983236151603,77,0.304,1.805,63.636,0.852,0.168,397.91356184798803,0.40185600000000005,,,
210.0,price_crossover_ema,[210],price_crossover_ema^210,4,4,100,0.019,0.21361693589880748,100,0.098,1.205,61.0,0.786,0.081,534.841628959276,0.1284361161825726,100,0.184,1.411,60.0,0.921,0.13,428.17551963048504,0.24231926293408929,100,0.29,1.678,63.0,0.889,0.173,815.1785714285716,0.38351549463647194,,,
18.0,roc_crossover0,[18],roc_crossover0^18,4,4,285,0.053,0.21411665889810488,285,0.146,0.979,59.649,1.014,0.149,330.29315960912055,0.19263052093973443,285,0.156,1.415,52.632,1.21,0.11,181.9548872180451,0.205035816254417,285,0.214,1.83,52.632,1.251,0.117,45.16574585635358,0.28145326775956286,,,
25.0,second_wave_trend_2,[25],second_wave_trend_2^25,4,4,199,0.037,0.21498707840682343,199,0.191,1.091,59.799,1.046,0.175,486.59517426273453,0.2526469569202567,199,0.208,1.82,55.276,1.107,0.114,0.0,0.21037714285714282,199,0.127,2.144,55.779,0.927,0.059,0.0,0.1277522854477612,,,
120.0,roc_crossover0,[120],roc_crossover0^120,4,4,108,0.02,0.21593621872581814,108,0.016,1.207,58.333,0.739,0.013,73.77049180327865,0.02082757249378625,108,0.257,1.35,60.185,1.051,0.19,92.62536873156343,0.3404602740740741,108,0.389,1.753,62.963,1.005,0.222,154.92742551566084,0.516921751283514,,,
18.0,second_wave_trend_1,[18],second_wave_trend_1^18,4,4,93,0.017,0.22543810161862166,93,0.23,1.174,60.215,1.109,0.196,-109.74632843791723,0.16415417376490632,93,0.274,1.737,58.065,1.128,0.158,144.81792717086836,0.36181881404720784,93,0.133,1.954,49.462,1.222,0.068,253.05755395683448,0.17407685261003072,,,
