开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,-1.742,-4.682,2.019,-2.411,-0.21,-2.319,1.942,0.102,0.05,7.0,14.286,0.781,34.783,0.7,stoch_k_neutral^240^216^80^20|atr_fast_lower_slow^14^25&smi_k_crossunder_d_2^250^225^225^85|kdj_d_crossunder50^240^192^120&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-3.593,-9.804,8.159,-0.909,-0.164,-1.202,10.791,0.565,0.313,11.0,45.455,0.685,48.018,1.1,rsi_neutral^11^80^20|atr_fast_lower_slow^14^25&trix_crossunder0^140|kc_price_crossunder_high^25.0^30.0^3.9&ma_atr_long_signal^8.0^8.0^1.9999999999999998|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,-4.315,-11.845,6.068,-0.986,-0.158,-1.952,12.017,0.629,0.096,33.0,33.333,1.423,46.411,3.3,tsi_lower_signal^16^10^13^SMA|mass_lower1^20^12&rvi_crossunder0^120^SMA|kc_price_crossunder_low_2^18.0^7.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.366,56.332,28.953,1.406,0.978,1.946,40.064,2.097,0.41,89.0,44.944,1.574,48.148,8.9,emacd_lower_signal^210^504^147|rvi_lower_signal^45^14&adx_plus_crossunder_minus^8|kc_price_crossunder_low^8.0^10.0^3.9&smacd_histogram_start_increase_2^60^108^72|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,1.908,5.137,12.072,0.16,0.067,0.426,32.144,1.682,0.693,21.0,28.571,2.706,46.555,2.1,tsi_oversold^8^2^0.0^SMA|mass_lower1^20^12&rvi_crossunder0^120^SMA|ema_fast_crossunder_slow^220^528&kdj_k_crossover50^80^40|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,0.514,1.369,6.596,0.129,0.036,0.207,10.593,0.554,0.282,10.0,20.0,4.24,46.237,1.0,rsi_oversold^200^50|rvi_neutral^70^25.0^-25.0^EMA&kc_price_crossunder_high_2^16.0^6.0^1.7|kdj_d_crossunder50^240^192^120&second_wave_trend_2^6|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,2.115,5.702,6.64,0.471,0.094,0.859,12.097,0.633,0.319,6.0,50.0,1.318,48.413,0.6,stoch_k_lower_d^80^24^40|kdj_k_lower_d^11^9^10&mass_crossunder1^220^132|kc_price_crossunder_low^8.0^10.0^3.9&stoch_k_crossover50^210^189|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,2.809,7.616,7.367,0.671,0.157,1.034,11.354,0.594,0.452,8.0,50.0,1.44,47.899,0.8,rvi_oversold^17^0.0^SMA|kdj_k_neutral^11^3^70^30&kc_price_crossunder_low_2^18.0^7.0^3.7|stoch_k_crossunder_d_2^17^12^8^85&tsi_crossover0^220^198^SMA|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,20.047,62.285,17.763,1.471,0.744,3.506,42.35,2.217,0.808,22.0,31.818,3.908,47.737,2.2,tsi_lower_signal^16^10^13^SMA|smi_d_oversold^23^7^7^0.0^SMA&smi_k_crossunder_d^120^60^60|bb_price_crossunder_low_2^220.0^3.7&smacd_crossover_signal_2^220^352^198|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,29.267,97.441,13.165,2.91,1.982,7.402,33.481,1.752,0.427,65.0,43.077,2.195,48.606,6.5,tsi_lower_signal^16^10^13^SMA|rvi_signal_oversold^190^133^0.0^SMA&rvi_crossunder_signal^60^24|kc_price_crossunder_low^8.0^10.0^3.9&smacd_histogram_start_increase_2^60^108^72|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,0.899,2.4,3.614,0.316,0.094,0.664,7.584,0.397,0.346,5.0,40.0,2.025,37.719,0.5,rvi_signal_oversold^190^133^0.0^SMA|stoch_k_neutral^11^7^55^45&rvi_crossunder0^120^SMA|adx_crossunder_threshold^220.0^10.0&kc_price_crossover_low^16.0^6.0^3.3|trailing_stop^34^2.0
