开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,-19.028,-58.659,20.309,-3.357,-3.398,-2.888,17.472,0.915,0.434,146.0,34.247,1.211,46.847,14.6,bb_neutral^80.0^2.9|adx_lower_threshold^200.0^10.0&price_crossunder_sma_2^20|smi_k_crossunder_d^160^144^48&kdj_k_crossover50^29^23|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,-10.98,-31.794,16.184,-2.177,-1.487,-1.965,14.604,0.764,0.381,84.0,32.143,1.385,47.131,8.4,trix_decrease^8|rsi_oversold^160^50&price_crossunder_sma^25|tsi_crossunder_signal^210^126^105^EMA&emacd_start_increase^120^288|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-3.772,-10.308,9.822,-0.927,-0.478,-1.049,11.121,0.582,0.548,37.0,29.73,1.795,47.901,3.7,emacd_histogram_decrease^6^11^6|atr_fast_higher_slow^90^162&rsi_crossunder50^70|kc_price_crossunder_low^12.0^5.0^3.1&kdj_k_crossover50^30^21|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-20.243,-62.987,21.642,-3.674,-2.242,-2.91,17.146,0.897,0.555,74.0,31.081,1.095,46.617,7.4,mass_higher1^150^60|atr_fast_higher_slow^90^162&roc_crossunder0^18|smi_d_crossunder0^220^110^198^SMA&smacd_histogram_start_increase^230^460^253|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-8.389,-23.796,9.455,-4.799,-1.094,-2.517,4.958,0.26,0.246,19.0,15.789,0.68,43.322,1.9,smacd_histogram_decrease^140^196^98|adx_lower_threshold^200.0^10.0&sma_fast_crossunder_slow_3^200^320|ema_fast_crossunder_slow^230^506&stoch_k_crossover50^220^154|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-1.251,-3.349,5.866,-0.611,-0.158,-0.571,5.48,0.287,0.347,14.0,42.857,1.012,48.75,1.4,sma_fast_lower_slow^80^128|rvi_signal_neutral^250^200^10.0^-10.0^SMA&ema_fast_crossunder_slow^230^506|rvi_signal_crossunder0^250^175^EMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-5.091,-14.065,5.79,-2.53,-0.649,-2.429,5.559,0.291,0.388,17.0,29.412,0.446,46.774,1.7,stoch_d_oversold^190^171^133^50|adx_lower_threshold^200.0^10.0&stoch_k_crossunder50^100^70|sma_fast_crossunder_slow^220^616&mass_crossunder1^80^32|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,1.363,3.653,5.459,0.415,0.224,0.669,8.808,0.461,0.341,46.0,34.783,2.081,47.818,4.6,rvi_oversold^140^0.0^SMA|atr_fast_lower_slow^150^420&sma_fast_crossunder_slow_3^200^320|emacd_histogram_start_decrease^190^266^209&smi_k_crossover_d^80^56^24|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,0.925,2.47,8.432,0.154,0.12,0.293,16.072,0.841,0.59,65.0,41.538,1.452,47.819,6.5,aroon_diff_lower0^130|rvi_oversold^140^0.0^SMA&price_crossunder_sma_2^20|tsi_crossunder0^220^132^EMA&tsi_crossover_signal^230^138^207^SMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-6.666,-18.648,6.905,-4.815,-1.087,-2.701,3.873,0.203,0.376,11.0,9.091,0.115,42.279,1.1,smi_k_lower_d^8^4^6|stoch_d_neutral^40^36^28^75^25&stoch_k_crossunder_d_2^160^128^144^80|adx_crossunder_threshold^45.0^30.0&tsi_crossover_signal^230^138^207^SMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,-7.588,-21.386,9.512,-3.414,-1.174,-2.248,6.263,0.328,0.378,21.0,28.571,0.698,42.447,2.1,emacd_histogram_decrease^12^29^16|emacd_lower_signal^70^112^77&mass_crossunder1^70^35|stoch_d_crossunder50^230^207^161&tsi_crossover_signal^230^138^207^SMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-5.108,-14.111,12.052,-0.78,-0.484,-1.171,18.097,0.947,0.562,71.0,39.437,1.289,48.172,7.1,sma_fast_lower_slow^80^128|smi_k_lower_d^8^4^6&rvi_crossunder0^23^SMA|aroon_diff_crossunder0^130&smacd_histogram_start_increase^230^460^253|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-3.091,-8.401,5.275,-1.199,-0.457,-1.593,7.008,0.367,0.621,18.0,33.333,1.203,47.418,1.8,aroon_diff_lower0^130|rvi_oversold^140^0.0^SMA&tsi_crossunder0^220^132^EMA|sma_fast_crossunder_slow^220^616&tsi_crossover_signal^230^138^207^SMA|trailing_stop^34^3.5
