开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,-10.189,-29.567,10.542,-4.367,-1.417,-2.805,6.77,0.354,0.371,41.0,36.585,0.38,41.161,4.1,bb_neutral^12.0^1.5|kdj_d_neutral^140^126^98^75^25&smi_k_crossunder_d_2^250^225^225^85|smacd_start_decrease^210^420&trailing_stop^34^2.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-9.202,-26.493,9.42,-3.619,-1.184,-2.812,7.321,0.383,0.533,29.0,37.931,0.418,42.597,2.9,smi_d_neutral^150^75^135^10.0^-10.0^SMA|convexity_higher1^16^EMA&rsi_crossunder50^60|price_crossunder_sma^140&kc_price_crossover_low^10.0^10.0^3.4999999999999996|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-7.779,-22.139,9.492,-3.457,-0.836,-2.332,6.403,0.335,0.494,21.0,4.762,5.323,44.101,2.1,smacd_histogram_decrease^210^420^252|kdj_d_oversold^8^3^2^50&emacd_histogram_start_decrease_2^130^312^169|ma_atr_short_signal^8.0^10.0^2.6&smacd_start_increase^210^294|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-5.547,-15.504,6.046,-3.457,-1.148,-2.564,4.485,0.235,0.364,23.0,4.348,8.187,39.568,2.3,emacd_lower_signal^150^390^150|ma_atr_short_period^6.0^7.0^1.4&price_crossunder_sma^150|adx_crossunder_threshold^180.0^10.0&smacd_start_increase^210^294|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-4.235,-11.709,6.713,-1.841,-0.638,-1.744,6.361,0.333,0.64,21.0,38.095,0.703,42.537,2.1,roc_lower0^20|smacd_lower_signal^230^322^230&mass_crossunder1^210^63|price_crossunder_sma^140&kc_price_crossover_low^10.0^10.0^3.4999999999999996|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-4.243,-11.734,5.985,-2.228,-0.555,-1.96,5.266,0.276,0.389,17.0,11.765,3.519,40.606,1.7,emacd_lower_signal^150^390^150|kdj_d_oversold^8^3^2^50&price_crossunder_sma^150|adx_crossunder_threshold^180.0^10.0&kc_price_crossover_low^10.0^10.0^3.4999999999999996|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-3.116,-8.537,3.242,-2.19,-0.509,-2.633,3.898,0.204,0.626,11.0,9.091,3.082,39.942,1.1,ma_atr_short_period^30.0^36.0^1.0|skew_positive^140^EMA&emacd_crossunder_signal^110^198^66|kc_price_crossunder_high_2^20.0^24.0^1.5&trailing_stop^34^2.0|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-1.297,-3.5,2.415,-1.491,-0.333,-1.449,2.348,0.123,0.412,9.0,11.111,3.587,38.919,0.9,ema_fast_lower_slow^140^196|stoch_k_lower_d^23^16^7&stoch_k_crossunder50^240^216|kc_price_crossunder_high^60.0^24.0^3.7&trailing_stop^34^2.0|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-1.138,-3.068,1.988,-0.892,-0.194,-1.544,3.438,0.18,0.28,16.0,43.75,0.763,39.013,1.6,rvi_signal_neutral^14^6^30.0^-30.0^SMA|adx_lower_threshold^40.0^10.0&trix_crossunder_signal^90^63|smacd_histogram_start_decrease^160^416^208&smacd_start_increase^210^294|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,0.063,0.169,3.665,0.05,0.015,0.046,3.363,0.176,0.667,8.0,25.0,3.059,41.353,0.8,smacd_histogram_decrease^210^420^252|smi_d_neutral^160^80^144^30.0^-30.0^SMA&smi_k_crossunder_d^150^135^105|ema_fast_crossunder_slow^220^440&trailing_stop^34^3.0|trailing_stop^34^2.5
