total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-77.164,29.909,1.749,769.0,87.898,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-75.495,29.896,1.76,766.0,86.137,rsi_neutral^8^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-75.411,29.818,1.767,768.0,86.053,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-74.061,29.935,1.773,765.0,83.764,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-73.976,29.857,1.78,767.0,83.68,rsi_neutral^11^80^20|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-73.788,33.905,1.465,525.0,87.936,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-73.754,29.843,1.782,764.0,83.361,rsi_neutral^8^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-73.669,29.765,1.789,766.0,83.277,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-72.757,34.231,1.447,520.0,86.908,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-72.588,29.921,1.783,762.0,82.244,rvi_neutral^70^25.0^-25.0^EMA|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-72.16,29.804,1.795,765.0,81.772,kc_neutral^10.0^8.0^1.7|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-72.16,29.804,1.795,765.0,81.772,kc_neutral^10.0^8.0^1.7|rsi_neutral^8^80^20&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-71.953,34.1,1.462,522.0,86.066,rvi_neutral^70^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-71.895,34.104,1.46,519.0,86.048,rsi_neutral^8^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-71.828,30.336,1.733,745.0,81.148,bb_neutral^18.0^1.9|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-71.794,33.911,1.473,519.0,85.947,rsi_neutral^11^80^20|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-71.42,35.593,1.374,472.0,84.596,rsi_neutral^8^80^20|rvi_neutral^70^25.0^-25.0^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&roc_crossover0^55|trailing_stop^34^1.5
-71.265,35.443,1.384,474.0,84.487,kc_neutral^10.0^8.0^1.7|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&roc_crossover0^55|trailing_stop^34^1.5
-71.215,34.236,1.455,517.0,85.85,kc_neutral^10.0^8.0^1.7|rsi_neutral^11^80^20&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-70.922,34.429,1.444,517.0,85.035,rsi_neutral^8^80^20|rvi_neutral^70^25.0^-25.0^EMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-70.798,29.882,1.796,763.0,80.414,kc_neutral^10.0^8.0^1.7|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-70.772,29.868,1.798,760.0,80.332,kc_neutral^10.0^8.0^1.7|rvi_neutral^70^25.0^-25.0^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-68.551,34.175,1.471,515.0,82.942,bb_neutral^60.0^2.1|rsi_neutral^11^80^20&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-68.293,30.211,1.78,758.0,78.799,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-67.689,34.047,1.483,514.0,82.085,bb_neutral^60.0^2.1|convexity_higher1^12^EMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-67.501,30.119,1.799,757.0,77.176,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-67.336,34.774,1.44,509.0,82.24,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-66.9,31.169,1.685,693.0,70.936,bb_neutral^18.0^1.9|convexity_higher1^12^EMA&price_crossunder_ema^8|adx_plus_crossunder_minus^8&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-66.82,30.199,1.79,755.0,77.265,rsi_neutral^11^80^20|rvi_neutral^70^25.0^-25.0^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-66.781,34.714,1.445,507.0,81.686,bb_neutral^18.0^1.9|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-66.712,34.442,1.462,511.0,81.402,bb_neutral^60.0^2.1|kc_neutral^10.0^8.0^1.7&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-66.474,34.646,1.452,508.0,81.38,bb_neutral^18.0^1.9|convexity_higher1^12^EMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-65.87,34.247,1.478,511.0,80.275,bb_neutral^60.0^2.1|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-65.848,30.458,1.771,742.0,74.407,bb_neutral^18.0^1.9|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-65.748,30.026,1.818,756.0,75.414,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-65.502,34.98,1.436,506.0,80.354,bb_neutral^18.0^1.9|rvi_neutral^70^25.0^-25.0^EMA&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-65.086,34.653,1.459,505.0,79.228,rsi_neutral^11^80^20|adx_higher_threshold^90.0^5.0&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-65.086,34.653,1.459,505.0,79.228,rvi_neutral^70^25.0^-25.0^EMA|adx_higher_threshold^90.0^5.0&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-64.494,34.921,1.442,504.0,79.451,bb_neutral^60.0^2.1|bb_neutral^18.0^1.9&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-64.467,33.855,1.51,511.0,76.386,kc_neutral^35.0^35.0^2.9|rsi_neutral^11^80^20&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-64.429,33.925,1.504,507.0,76.638,kc_neutral^35.0^35.0^2.9|kc_neutral^10.0^8.0^1.7&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-64.016,30.279,1.813,753.0,75.998,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^3.0
-63.737,36.034,1.371,469.0,77.685,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rsi_fast_crossunder_slow^80^128&roc_crossover0^55|trailing_stop^34^1.5
-63.365,30.696,1.758,733.0,72.456,bb_neutral^18.0^1.9|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-63.331,31.02,1.743,706.0,70.27,rsi_neutral^8^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|adx_plus_crossunder_minus^8&rvi_crossover_signal^20^12|trailing_stop^34^3.0
-62.956,30.654,1.764,734.0,72.048,bb_neutral^18.0^1.9|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-62.953,30.307,1.817,749.0,74.865,rvi_neutral^70^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^3.0
-62.533,30.376,1.807,744.0,72.562,bb_neutral^60.0^2.1|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24&rvi_crossover_signal^20^12|trailing_stop^34^2.0
-62.23,34.538,1.479,498.0,76.376,rvi_neutral^8^35.0^-35.0^SMA|adx_higher_threshold^90.0^5.0&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-61.652,34.879,1.461,496.0,76.304,kc_neutral^10.0^8.0^1.7|adx_higher_threshold^90.0^5.0&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-61.488,31.341,1.717,686.0,67.003,bb_neutral^18.0^1.9|convexity_higher1^12^EMA&price_crossunder_ema^8|adx_plus_crossunder_minus^8&rvi_crossover_signal^20^12|trailing_stop^34^3.0
-61.371,34.4,1.489,500.0,73.84,bb_neutral^18.0^1.9|kc_neutral^35.0^35.0^2.9&price_crossunder_ema^8|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-61.347,31.01,1.756,703.0,68.2,rsi_neutral^8^80^20|rvi_neutral^70^25.0^-25.0^EMA&price_crossunder_ema^8|adx_plus_crossunder_minus^8&rvi_crossover_signal^20^12|trailing_stop^34^3.0
-61.16,31.295,1.724,687.0,66.675,bb_neutral^18.0^1.9|rvi_neutral^8^35.0^-35.0^SMA&price_crossunder_ema^8|adx_plus_crossunder_minus^8&rvi_crossover_signal^20^12|trailing_stop^34^3.0
-60.665,31.044,1.756,699.0,66.182,convexity_higher1^12^EMA|convexity_higher1^8^SMA&price_crossunder_ema^8|adx_plus_crossunder_minus^8&rvi_crossover_signal^20^12|trailing_stop^34^2.5
-60.418,33.551,1.557,459.0,75.64,rsi_neutral^11^80^20|rvi_neutral^70^25.0^-25.0^EMA&price_crossunder_ema^8|roc_crossunder0^55&trailing_stop^34^2.0|roc_crossover0^55
-60.295,30.239,1.841,754.0,72.287,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^2.5
-60.104,34.904,1.459,467.0,73.372,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rsi_fast_crossunder_slow^70^196&roc_crossover0^55|trailing_stop^34^1.5
