开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.027,45.588,2.997,2.824,0.716,15.213,16.141,0.845,0.131,14.0,50.0,5.025,47.5,1.4,kdj_k_neutral^11^3^70^30|mass_higher1^230^161&aroon_diff_crossunder0^100|emacd_crossunder_signal^220^616^308&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.027,45.588,2.997,2.824,0.716,15.213,16.141,0.845,0.131,14.0,50.0,5.025,47.5,1.4,kdj_k_neutral^11^3^70^30|mass_higher1^230^161&aroon_diff_crossunder0^100|emacd_crossunder_signal^220^616^308&rvi_crossover_signal^20^12|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.029,45.595,2.839,3.016,0.823,16.059,15.116,0.791,0.237,6.0,50.0,7.604,52.688,0.6,stoch_k_neutral^11^7^55^45|atr_fast_higher_slow^100^200&aroon_diff_crossunder0^100|kc_price_crossunder_high_2^10.0^4.0^1.5&adx_plus_crossover_minus^140|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.048,45.66,7.765,2.588,0.457,5.88,17.644,0.924,0.089,11.0,54.545,2.83,50.0,1.1,smi_d_oversold^8^2^2^0.0^SMA|rvi_neutral^70^25.0^-25.0^EMA&bb_price_crossunder_low^230.0^3.1|bb_price_crossunder_high^230.0^3.1&rvi_crossover_signal^20^12|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.053,45.676,4.133,2.886,0.8,11.052,15.827,0.828,0.247,12.0,66.667,2.352,53.608,1.2,aroon_diff_lower0^14|stoch_k_neutral^11^7^55^45&price_crossunder_sma^160|kc_price_crossunder_high_2^10.0^4.0^1.5&rsi_crossover50^230|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.134,45.952,2.1,3.24,0.603,21.881,14.181,0.742,0.093,9.0,66.667,4.948,60.0,0.9,smi_d_oversold^8^2^2^0.0^SMA|stoch_k_neutral^11^7^55^45&aroon_diff_crossunder0^100|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.149,46.002,2.919,3.021,0.741,15.758,15.229,0.797,0.161,7.0,71.429,4.043,50.0,0.7,stoch_k_oversold^20^18^50|stoch_k_neutral^11^7^55^45&aroon_diff_crossunder0^100|emacd_crossunder_signal^220^616^308&rvi_crossover_signal^20^12|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.163,46.05,3.504,2.9,0.677,13.141,15.877,0.831,0.121,14.0,50.0,4.35,49.55,1.4,supertrend_short_period^30.0^1.5|kdj_k_neutral^11^3^70^30&aroon_diff_crossunder0^100|adx_crossunder_threshold^100.0^5.0&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.177,46.099,3.709,2.974,0.808,12.429,15.503,0.811,0.143,10.0,70.0,3.639,50.0,1.0,stoch_k_neutral^11^7^55^45|kdj_k_neutral^60^54^80^20&aroon_diff_crossunder0^100|emacd_crossunder_signal^220^616^308&rvi_crossover_signal^20^12|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.185,46.125,6.359,1.958,0.668,7.254,23.551,1.233,0.107,54.0,48.148,1.821,46.95,5.4,tsi_lower_signal^20^6^6^SMA|supertrend_short_period^30.0^1.5&emacd_histogram_start_decrease^220^572^308|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.185,46.125,6.359,1.958,0.668,7.254,23.551,1.233,0.107,54.0,48.148,1.821,46.95,5.4,tsi_lower_signal^20^6^6^SMA|supertrend_short_period^30.0^1.5&emacd_histogram_start_decrease^220^572^308|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.185,46.125,6.359,1.958,0.668,7.254,23.551,1.233,0.107,54.0,48.148,1.821,46.95,5.4,tsi_lower_signal^20^6^6^SMA|supertrend_short_period^30.0^1.5&emacd_histogram_start_decrease^220^572^308|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.219,46.242,8.513,2.399,0.961,5.432,19.276,1.009,0.488,20.0,55.0,1.92,48.438,2.0,stoch_d_oversold^50^40^45^50|mass_higher1^8^4&aroon_diff_crossunder0^100|kdj_k_crossunder_d_2^29^14^9^85&smacd_histogram_start_increase_2^60^108^72|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.223,46.254,2.238,3.252,0.901,20.668,14.222,0.744,0.249,7.0,57.143,10.335,55.263,0.7,kdj_d_oversold^8^5^7^50|stoch_k_neutral^11^7^55^45&price_crossunder_sma^160|bb_price_crossunder_low^230.0^3.1&roc_crossover0^55|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.223,46.254,2.238,3.252,0.901,20.668,14.222,0.744,0.249,7.0,57.143,10.335,55.263,0.7,kdj_d_oversold^8^5^7^50|stoch_k_neutral^11^7^55^45&price_crossunder_sma^160|ema_fast_crossunder_slow^220^528&roc_crossover0^55|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.23,46.278,4.607,3.04,0.815,10.046,15.222,0.797,0.146,11.0,54.545,4.539,51.429,1.1,smi_oversold^8^2^0.0^SMA|stoch_k_neutral^11^7^55^45&rvi_crossunder0^120^SMA|smacd_crossunder_signal^220^572^220&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.23,46.279,2.122,3.264,0.623,21.805,14.179,0.742,0.101,8.0,62.5,5.874,56.604,0.8,smi_oversold^8^2^0.0^SMA|stoch_k_neutral^11^7^55^45&smi_k_crossunder_d^120^60^60|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^2.5
