total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-52.517,22.807,2.106,114.0,59.021,smacd_decrease^8^18|rvi_lower_signal^35^14&emacd_histogram_start_decrease_2^70^98^56|sma_fast_crossunder_slow_3^130^364&trailing_stop^34^3.0|kdj_k_crossover50^80^40
-49.525,33.333,1.279,135.0,72.379,kdj_k_lower_d^11^9^10|stoch_k_neutral^240^216^80^20&adx_plus_crossunder_minus^8|rvi_crossunder0^130^SMA&kc_price_crossover_low^16.0^6.0^3.3|trailing_stop^34^2.5
-41.82,26.126,1.787,222.0,43.53,kdj_k_lower_d^11^9^10|mass_lower1^55^44&rvi_crossunder_signal^40^32|sma_fast_crossunder_slow_3^130^364&trailing_stop^34^3.0|rvi_crossover_signal^20^12
-35.552,29.915,1.841,117.0,70.773,rvi_lower_signal^35^14|adx_higher_threshold^230.0^5.0&rvi_crossunder_signal^40^32|sma_fast_crossunder_slow_2^180^504&adx_crossover_threshold^220.0^15.0|trailing_stop^34^3.5
-29.936,32.934,1.637,167.0,56.394,rvi_neutral^70^25.0^-25.0^EMA|rvi_signal_neutral^20^6^10.0^-10.0^SMA&adx_plus_crossunder_minus^8|emacd_crossunder_signal_3^190^494^114&second_wave_trend_2^6|trailing_stop^34^2.5
-25.802,27.273,2.022,88.0,31.585,smacd_decrease^8^18|stoch_d_oversold^8^4^4^50&trix_start_decrease^12|emacd_histogram_start_decrease^220^572^308&trailing_stop^34^3.0|emacd_crossover_signal_3^160^448^144
-22.877,31.25,1.608,176.0,32.201,mass_higher1^230^161|adx_higher_threshold^230.0^5.0&adx_plus_crossunder_minus^8|smi_k_crossunder_d^120^60^60&rvi_crossover_signal^20^12|trailing_stop^34^2.5
-20.315,24.706,2.16,85.0,31.778,price_lower_sma^12|smacd_lower_signal^10^22^13&rsi_fast_crossunder_slow^70^196|smi_d_crossunder0^230^184^207^SMA&trailing_stop^34^2.0|supertrend_long_signal^70.0^3.6999999999999993
-13.422,30.263,1.805,76.0,27.058,smi_oversold^150^120^0.0^SMA|mass_lower1^55^44&adx_plus_crossunder_minus^8|smacd_start_decrease^100^260&rvi_crossover0^120^SMA|trailing_stop^34^2.5
-11.538,22.222,1.375,36.0,12.036,smacd_decrease^8^18|emacd_lower_signal^210^504^147&rsi_crossunder50^230|smacd_crossunder_signal_2^230^506^322&rvi_crossover_signal^20^12|trailing_stop^34^2.5
-10.901,18.519,3.087,27.0,22.215,smi_k_lower_d^8^3^6|adx_higher_threshold^230.0^5.0&kdj_k_crossunder_d^160^144^48|smacd_crossunder_signal_3^160^384^112&tsi_crossover_signal^230^184^207^SMA|trailing_stop^34^2.5
-9.631,31.507,1.814,73.0,27.589,smi_oversold^150^120^0.0^SMA|mass_lower1^55^44&adx_plus_crossunder_minus^8|bb_price_crossunder_high^220.0^3.1&rvi_crossover0^120^SMA|trailing_stop^34^2.5
-8.892,23.636,1.939,55.0,12.15,stoch_k_lower_d^80^24^40|smi_neutral^170^153^30.0^-30.0^SMA&rvi_crossunder0^130^SMA|mass_crossunder1^220^132&trailing_stop^34^2.0|rvi_crossover_signal^20^12
