datetime,open,high,low,close,volume,stoch_k_neutral^240^216^80^20|atr_fast_lower_slow^14^25&smi_k_crossunder_d_2^250^225^225^85|kdj_d_crossunder50^240^192^120&rvi_crossover_signal^20^12|trailing_stop^34^2.5,rsi_neutral^11^80^20|atr_fast_lower_slow^14^25&trix_crossunder0^140|kc_price_crossunder_high^25.0^30.0^3.9&ma_atr_long_signal^8.0^8.0^1.9999999999999998|trailing_stop^34^2.0,tsi_lower_signal^16^10^13^SMA|mass_lower1^20^12&rvi_crossunder0^120^SMA|kc_price_crossunder_low_2^18.0^7.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^3.5,emacd_lower_signal^210^504^147|rvi_lower_signal^45^14&adx_plus_crossunder_minus^8|kc_price_crossunder_low^8.0^10.0^3.9&smacd_histogram_start_increase_2^60^108^72|trailing_stop^34^2.5,tsi_oversold^8^2^0.0^SMA|mass_lower1^20^12&rvi_crossunder0^120^SMA|ema_fast_crossunder_slow^220^528&kdj_k_crossover50^80^40|trailing_stop^34^3.5,rsi_oversold^200^50|rvi_neutral^70^25.0^-25.0^EMA&kc_price_crossunder_high_2^16.0^6.0^1.7|kdj_d_crossunder50^240^192^120&second_wave_trend_2^6|trailing_stop^34^3.0,stoch_k_lower_d^80^24^40|kdj_k_lower_d^11^9^10&mass_crossunder1^220^132|kc_price_crossunder_low^8.0^10.0^3.9&stoch_k_crossover50^210^189|trailing_stop^34^2.5,rvi_oversold^17^0.0^SMA|kdj_k_neutral^11^3^70^30&kc_price_crossunder_low_2^18.0^7.0^3.7|stoch_k_crossunder_d_2^17^12^8^85&tsi_crossover0^220^198^SMA|trailing_stop^34^2.5,tsi_lower_signal^16^10^13^SMA|smi_d_oversold^23^7^7^0.0^SMA&smi_k_crossunder_d^120^60^60|bb_price_crossunder_low_2^220.0^3.7&smacd_crossover_signal_2^220^352^198|trailing_stop^34^3.5,tsi_lower_signal^16^10^13^SMA|rvi_signal_oversold^190^133^0.0^SMA&rvi_crossunder_signal^60^24|kc_price_crossunder_low^8.0^10.0^3.9&smacd_histogram_start_increase_2^60^108^72|trailing_stop^34^2.5,rvi_signal_oversold^190^133^0.0^SMA|stoch_k_neutral^11^7^55^45&rvi_crossunder0^120^SMA|adx_crossunder_threshold^220.0^10.0&kc_price_crossover_low^16.0^6.0^3.3|trailing_stop^34^2.0
2026-02-01 23:00:00,64.72,64.74,62.97,63.53,9994.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-01 23:15:00,63.54,63.56,63.08,63.31,3643.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-01 23:30:00,63.29,63.44,63.24,63.33,1538.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-01 23:45:00,63.32,63.4,63.26,63.27,813.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:00:00,63.28,63.6,63.26,63.59,1396.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:15:00,63.59,63.78,63.58,63.62,1189.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:30:00,63.61,63.69,63.57,63.59,631.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 00:45:00,63.6,63.8,63.6,63.7,680.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:00:00,63.71,63.72,62.93,62.94,8356.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:15:00,62.95,63.15,62.93,63.05,2314.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:30:00,63.05,63.15,62.83,62.93,2330.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:45:00,62.93,63.08,62.61,63.03,3601.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:00:00,63.03,63.12,62.93,62.97,875.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:15:00,62.96,63.02,62.83,62.85,560.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:30:00,62.84,62.95,62.64,62.66,1907.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:45:00,62.65,62.82,62.32,62.44,2544.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:00:00,62.43,62.65,62.3,62.34,2295.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:15:00,62.35,62.58,62.35,62.39,1472.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:30:00,62.4,62.54,62.37,62.37,1038.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:45:00,62.37,62.44,62.28,62.29,936.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:00:00,62.3,62.33,62.11,62.2,1900.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:15:00,62.21,62.26,62.15,62.18,649.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:30:00,62.18,62.28,62.12,62.21,588.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
