total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-56.854,28.049,1.418,492.0,58.452,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|roc_crossunder0^30&roc_crossover0^30|trailing_stop^34^1.5
-51.83,24.601,1.772,439.0,52.49,rvi_lower_signal^6^3|convexity_higher1^16^EMA&price_crossunder_ema^20|rsi_fast_crossunder_slow^25^60&trailing_stop^34^1.5|emacd_start_increase^55^99
-51.612,24.324,1.803,444.0,53.405,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|rsi_fast_crossunder_slow^25^60&trailing_stop^34^1.5|emacd_start_increase^55^99
-50.529,25.057,1.763,439.0,52.703,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|rvi_crossunder_signal^90^63&trailing_stop^34^1.5|emacd_start_increase^55^99
-49.717,25.747,1.711,435.0,50.406,rvi_lower_signal^6^3|convexity_higher1^16^EMA&price_crossunder_ema^20|rvi_crossunder_signal^90^63&trailing_stop^34^1.5|emacd_start_increase^55^99
-48.609,25.806,1.724,434.0,50.944,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|rvi_crossunder_signal^120^60&trailing_stop^34^1.5|emacd_start_increase^55^99
-48.016,26.773,1.64,437.0,50.921,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^25^60&trailing_stop^34^1.5|emacd_start_increase^55^99
-47.921,23.953,1.905,430.0,49.774,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|emacd_start_decrease^50^100&trailing_stop^34^1.5|emacd_start_increase^55^99
-47.855,25.238,1.768,420.0,48.569,emacd_histogram_decrease^8^21^8|convexity_higher1^16^EMA&price_crossunder_ema^20|rvi_crossunder_signal^90^63&trailing_stop^34^1.5|emacd_start_increase^55^99
-47.316,24.528,1.857,424.0,48.038,rvi_lower_signal^6^3|convexity_higher1^16^EMA&price_crossunder_ema^20|emacd_start_decrease^50^100&trailing_stop^34^1.5|emacd_start_increase^55^99
