开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.006,45.516,3.341,3.273,1.576,13.622,13.905,0.728,0.806,18.0,55.556,2.975,47.684,1.8,trix_lower_signal^8.0^10.0|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|smi_k_crossunder0^210^168^SMA&trailing_stop^34^3.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.006,45.516,3.341,3.273,1.576,13.622,13.905,0.728,0.806,18.0,55.556,2.975,47.684,1.8,trix_lower_signal^8.0^10.0|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|sma_fast_crossunder_slow^110^286&tsi_crossover0^220^198^EMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.006,45.516,3.341,3.273,1.576,13.622,13.905,0.728,0.806,18.0,55.556,2.975,47.684,1.8,trix_lower_signal^8.0^10.0|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|trix_crossunder0^120&tsi_crossover0^220^198^EMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.009,45.527,3.762,3.79,2.123,12.103,12.013,0.629,0.639,27.0,55.556,2.47,49.07,2.7,emacd_histogram_decrease^25^35^18|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|bb_price_crossunder_high_2^16.0^2.5&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.021,45.568,5.414,3.064,1.695,8.417,14.874,0.779,0.535,44.0,50.0,2.035,49.254,4.4,bb_neutral^160.0^2.5|stoch_d_neutral^20^10^6^55^45&emacd_start_decrease^50^100|emacd_crossunder_signal_3^230^368^299&aroon_diff_crossover0^50|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.021,45.568,5.414,3.064,1.695,8.417,14.874,0.779,0.535,44.0,50.0,2.035,49.254,4.4,bb_neutral^160.0^2.5|stoch_d_neutral^20^10^6^55^45&emacd_start_decrease^50^100|emacd_crossunder_signal_2^230^644^299&aroon_diff_crossover0^50|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.037,45.624,2.811,4.109,1.257,16.232,11.103,0.581,0.488,13.0,61.538,6.908,52.771,1.3,emacd_lower_signal^160^416^160|rvi_signal_neutral^8^2^10.0^-10.0^EMA&aroon_diff_crossunder0^45|smi_k_crossunder_d_2^250^225^225^80&rsi_crossover50^250|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.043,45.644,3.088,3.795,1.968,14.78,12.026,0.629,0.569,27.0,55.556,2.66,48.708,2.7,emacd_histogram_decrease^25^35^18|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|sma_fast_crossunder_slow^110^286&stoch_k_crossover_d^80^72^24|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.048,45.659,3.725,3.505,2.112,12.259,13.026,0.682,0.552,36.0,55.556,2.067,48.694,3.6,bb_neutral^160.0^2.5|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|emacd_crossunder_signal_2^220^396^286&aroon_diff_crossover0^50|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.06,45.701,4.24,3.751,1.976,10.779,12.185,0.638,0.532,30.0,53.333,2.497,48.9,3.0,emacd_histogram_decrease^25^35^18|stoch_d_neutral^20^10^6^55^45&aroon_diff_crossunder0^45|roc_crossunder0^40&second_wave_trend_1^210|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.08,45.768,3.725,3.488,2.051,12.288,13.121,0.687,0.552,36.0,55.556,2.058,49.077,3.6,bb_neutral^160.0^2.5|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|trix_crossunder0^120&aroon_diff_crossover0^50|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.092,45.809,5.414,3.059,1.732,8.462,14.975,0.784,0.544,45.0,51.111,1.951,49.095,4.5,bb_neutral^160.0^2.5|stoch_d_neutral^20^10^6^55^45&emacd_start_decrease^50^100|smacd_crossunder_signal_3^110^154^110&aroon_diff_crossover0^50|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.106,45.857,5.139,2.986,1.978,8.924,15.355,0.804,0.788,33.0,48.485,2.484,48.061,3.3,rvi_signal_oversold^11^3^0.0^SMA|stoch_d_neutral^20^10^6^55^45&trix_start_decrease^35|roc_crossunder0^40&adx_crossover_threshold^130.0^25.0|trailing_stop^34^3.0
