开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,-10.537,-30.404,15.363,-1.814,-1.424,-1.979,16.759,0.877,0.439,94.0,29.787,1.71,47.609,9.4,kdj_k_lower_d^8^7^7|atr_fast_lower_slow^40^88&kdj_k_crossunder_d^60^30^18|smacd_start_decrease^160^448&smi_k_crossover0^190^114^EMA|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,-9.787,-28.074,13.95,-1.439,-1.292,-2.013,19.503,1.021,0.522,109.0,33.945,1.555,48.239,10.9,tsi_lower_signal^6^3^2^SMA|atr_fast_lower_slow^40^88&rvi_crossunder_signal^90^63|kdj_d_crossunder50^250^200^75&second_wave_trend_1^190|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,-3.941,-10.785,21.125,-0.541,-0.35,-0.511,19.932,1.043,0.505,85.0,32.941,1.841,48.761,8.5,aroon_diff_lower0^190|tsi_lower_signal^6^3^2^SMA&rvi_crossunder_signal^90^63|kdj_d_crossunder50^250^200^75&second_wave_trend_1^190|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,-5.948,-16.544,12.801,-1.366,-0.739,-1.292,12.116,0.634,0.36,60.0,41.667,1.033,46.976,6.0,emacd_lower_signal^160^416^160|skew_negative^20^EMA&supertrend_short_signal^230.0^3.5|smacd_histogram_start_decrease_2^230^460^322&ma_atr_long_signal^18.0^22.0^2.8|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,-2.015,-5.43,3.062,-1.043,-0.253,-1.773,5.205,0.272,0.43,7.0,28.571,0.959,45.455,0.7,rsi_neutral^190^55^45|mass_higher1^220^88&smi_k_crossunder_d^190^152^171|smacd_crossunder_signal_3^230^414^253&bb_price_crossover_low^18.0^3.8999999999999995|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,-1.48,-3.971,3.695,-0.583,-0.198,-1.075,6.814,0.357,0.415,13.0,38.462,1.078,47.606,1.3,tsi_lower_signal^6^3^2^SMA|stoch_k_lower_d^11^10^10&mass_crossover1^90^27|smi_k_crossunder0^230^161^SMA&smacd_crossover_signal^150^270^165|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,2.22,5.991,16.177,0.305,0.228,0.37,19.615,1.027,0.471,88.0,30.682,2.378,48.296,8.8,price_lower_ema^120|tsi_lower_signal^6^3^2^SMA&kdj_k_crossunder_d^60^30^18|sma_fast_crossunder_slow_3^40^112&stoch_k_crossover_d^70^63^49|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,1.0,2.672,3.851,0.387,0.138,0.694,6.898,0.361,0.445,22.0,40.909,1.735,48.137,2.2,smacd_decrease^12^19|skew_positive^12^EMA&stoch_k_crossunder_d^250^175^125|smacd_histogram_start_decrease_2^230^460^322&kdj_k_crossover50^240^96|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-19 16:45:00,3.689,10.076,7.0,0.504,0.46,1.439,20.005,1.047,0.531,109.0,39.45,1.665,48.662,10.9,stoch_k_lower_d^11^10^10|skew_negative^25^EMA&emacd_start_decrease^45^108|rvi_crossunder_signal^120^60&second_wave_trend_1^190|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,1.219,3.264,2.689,0.93,0.249,1.214,3.508,0.184,0.567,6.0,33.333,3.311,50.446,0.6,rsi_oversold^200^50|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^230|mass_crossunder1^120^84&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,1.379,3.695,8.361,0.244,0.156,0.442,15.112,0.791,0.648,50.0,42.0,1.46,48.617,5.0,price_lower_ema^120|smi_d_neutral^11^8^8^10.0^-10.0^SMA&price_crossunder_sma^45|kdj_k_crossunder_d_2^190^171^171^85&bb_price_crossover_low_2^60.0^2.0999999999999996|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,2.353,6.356,4.943,0.507,0.292,1.286,12.547,0.657,0.789,32.0,34.375,2.215,49.338,3.2,bb_neutral^160.0^2.5|kdj_k_neutral^240^144^60^40&tsi_crossunder_signal^60^30^18^EMA|adx_crossover_threshold^45.0^35.0&bb_price_crossover_low^18.0^3.8999999999999995|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,3.101,8.43,5.617,0.945,0.441,1.501,8.922,0.467,0.825,20.0,35.0,2.556,49.908,2.0,kdj_k_lower_d^8^7^7|mass_lower1^110^99&mass_crossunder1^140^70|stoch_k_crossunder_d^230^138^115&bb_price_crossover_high^25.0^3.8999999999999995|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,6.533,18.259,11.053,0.861,0.684,1.652,21.206,1.11,0.619,78.0,35.897,2.109,48.978,7.8,price_lower_ema^120|tsi_lower_signal^6^3^2^SMA&roc_crossunder0^30|ema_fast_crossunder_slow^160^256&sma_fast_crossover_slow^110^264|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,6.426,17.944,15.857,0.76,0.579,1.132,23.624,1.237,0.763,71.0,39.437,1.775,49.201,7.1,smacd_histogram_decrease^16^26^19|rsi_oversold^60^50&price_crossunder_ema^25|adx_crossunder_threshold^230.0^20.0&bb_price_crossover_high^25.0^3.8999999999999995|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,7.603,21.432,8.732,1.299,0.791,2.454,16.501,0.864,0.486,64.0,34.375,2.453,49.609,6.4,rsi_oversold^200^50|smi_d_oversold^100^80^90^0.0^SMA&tsi_crossunder_signal^45^40^18^EMA|sma_fast_crossunder_slow_3^40^112&stoch_k_crossover_d^70^63^49|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,9.838,28.23,7.058,1.823,1.053,4.0,15.489,0.811,0.5,58.0,41.379,2.0,50.602,5.8,rsi_oversold^200^50|stoch_k_neutral^50^15^60^40&roc_crossunder0^30|rvi_crossunder_signal^120^60&smacd_start_increase^120^312|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,7.123,20.002,3.936,1.672,0.871,5.082,11.964,0.626,0.778,23.0,52.174,1.651,50.637,2.3,stoch_k_lower_d^11^10^10|rvi_neutral^29^5.0^-5.0^EMA&sma_fast_crossunder_slow_3^40^112|smacd_crossunder_signal^200^560^200&smi_k_crossover_d_2^240^216^216^45|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,10.844,31.366,7.873,2.394,1.262,3.984,13.101,0.686,0.549,42.0,42.857,2.214,51.154,4.2,rsi_oversold^200^50|stoch_k_neutral^50^15^60^40&rvi_crossunder_signal^120^60|mass_crossunder1^120^84&smacd_start_increase^140^364|trailing_stop^34^3.0
