total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-54.745,27.816,1.357,435.0,56.455,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossunder_ema^20|rvi_crossunder0^23^SMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-54.407,27.88,1.357,434.0,56.118,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossunder_ema^20|rvi_crossunder0^23^SMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-54.363,27.315,1.395,432.0,55.262,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&rsi_crossunder50^11|rvi_crossunder0^23^SMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-54.145,27.714,1.366,433.0,55.807,bb_neutral^80.0^2.9|rvi_neutral^29^35.0^-35.0^EMA&price_crossunder_ema^20|rvi_crossunder0^23^SMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-54.145,27.714,1.366,433.0,55.807,bb_neutral^80.0^2.9|rsi_neutral^23^75^25&price_crossunder_ema^20|rvi_crossunder0^23^SMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-54.125,29.138,1.289,429.0,56.159,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-53.979,28.806,1.299,427.0,55.662,bb_neutral^80.0^2.9|rsi_neutral^23^75^25&price_crossunder_sma^20|price_crossunder_sma_2^25&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-53.979,28.806,1.299,427.0,55.662,bb_neutral^80.0^2.9|rvi_neutral^29^35.0^-35.0^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-53.789,28.873,1.297,426.0,55.473,bb_neutral^80.0^2.9|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-52.969,27.273,1.409,429.0,54.612,bb_neutral^80.0^2.9|rvi_neutral^29^35.0^-35.0^EMA&rsi_crossunder50^11|rvi_crossunder0^23^SMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-52.969,27.273,1.409,429.0,54.612,bb_neutral^80.0^2.9|rsi_neutral^23^75^25&rsi_crossunder50^11|rvi_crossunder0^23^SMA&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-50.705,29.481,1.303,424.0,53.207,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossunder_ema^20|price_crossunder_sma_2^25&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-49.92,28.979,1.344,421.0,51.877,rsi_neutral^23^75^25|convexity_higher1^12^EMA&rsi_crossunder50^11|price_crossunder_sma_2^25&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-48.886,29.314,1.332,423.0,52.396,rsi_neutral^23^75^25|smi_neutral^100^30^45.0^-45.0^SMA&price_crossunder_sma^20|price_crossunder_sma_2^25&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
