开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.003,45.506,6.292,3.129,2.402,7.232,14.541,0.761,0.645,51.0,52.941,1.746,49.768,5.1,smacd_lower_signal^180^324^252|supertrend_short_period^16.0^1.5&aroon_diff_crossunder0^130|rvi_crossunder_signal^110^77&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.009,45.527,3.562,3.3,2.378,12.782,13.797,0.722,0.491,55.0,58.182,1.655,48.869,5.5,emacd_lower_signal^70^112^77|rsi_fast_lower_slow^10^18&rvi_crossunder_signal^130^65|rvi_crossunder_signal^110^77&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.014,45.542,4.578,3.48,2.292,9.948,13.087,0.685,0.463,49.0,59.184,1.627,48.989,4.9,emacd_lower_signal^70^112^77|supertrend_short_period^16.0^1.5&rvi_crossunder_signal^110^77|trix_crossunder_signal^230^322&mass_crossunder1^80^32|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.014,45.543,2.542,4.219,2.076,17.913,10.795,0.565,0.889,16.0,56.25,4.404,51.235,1.6,stoch_k_neutral^17^7^75^25|convexity_lower1^8^SMA&price_crossunder_ema^25|price_crossunder_ema^20&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.031,45.602,2.542,4.18,2.139,17.936,10.909,0.571,0.935,16.0,56.25,4.428,51.073,1.6,stoch_k_neutral^17^7^75^25|convexity_lower1^8^SMA&price_crossunder_ema^25|rsi_crossunder50^11&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.102,45.841,2.699,4.009,2.16,16.985,11.434,0.599,0.929,19.0,52.632,4.362,50.909,1.9,stoch_k_neutral^17^7^75^25|convexity_lower1^8^SMA&price_crossunder_ema^20|price_crossunder_sma^20&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.152,46.012,3.575,3.346,2.424,12.871,13.75,0.72,0.494,55.0,56.364,1.833,48.819,5.5,emacd_decrease^20^28|emacd_lower_signal^70^112^77&rvi_crossunder_signal^130^65|rvi_crossunder_signal^110^77&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.195,46.161,4.417,2.832,2.472,10.452,16.3,0.853,0.832,52.0,50.0,1.836,49.206,5.2,supertrend_short_period^16.0^1.5|smi_k_lower_d^180^126^162&rsi_crossunder50^11|kc_price_crossunder_high^150.0^90.0^3.9&adx_crossover_threshold^160.0^15.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.197,46.166,2.648,3.868,2.001,17.431,11.936,0.625,0.818,23.0,56.522,2.811,50.528,2.3,rvi_signal_neutral^50^45^10.0^-10.0^SMA|convexity_lower1^8^EMA&rsi_crossunder50^11|price_crossunder_sma^20&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.197,46.166,2.648,3.868,2.001,17.431,11.936,0.625,0.818,23.0,56.522,2.811,50.528,2.3,rvi_signal_neutral^50^45^10.0^-10.0^SMA|convexity_lower1^8^EMA&price_crossunder_ema^20|price_crossunder_sma^20&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.256,46.366,2.917,4.498,2.12,15.895,10.307,0.54,0.915,14.0,57.143,5.225,51.013,1.4,smacd_decrease^10^16|convexity_lower1^8^SMA&price_crossunder_ema^25|rvi_crossunder0^20^SMA&adx_crossover_threshold^160.0^15.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.302,46.523,4.395,3.313,2.439,10.585,14.043,0.735,0.497,56.0,55.357,1.766,48.272,5.6,emacd_lower_signal^70^112^77|emacd_lower_signal^8^13^5&rvi_crossunder_signal^130^65|rvi_crossunder_signal^110^77&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.327,46.609,4.256,3.797,2.105,10.951,12.277,0.643,0.874,21.0,52.381,3.851,50.874,2.1,stoch_k_neutral^17^7^75^25|convexity_lower1^8^SMA&price_crossunder_sma^20|rvi_crossunder_signal^130^65&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.381,46.795,3.348,4.127,2.067,13.976,11.34,0.594,0.776,18.0,61.111,2.834,50.875,1.8,rvi_signal_neutral^50^45^10.0^-10.0^SMA|convexity_lower1^8^SMA&price_crossunder_ema^25|rvi_crossunder_signal^130^65&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.395,46.84,4.458,3.574,2.362,10.507,13.105,0.686,0.465,49.0,59.184,1.661,49.029,4.9,emacd_lower_signal^70^112^77|supertrend_short_period^16.0^1.5&rvi_crossunder_signal^110^77|smacd_crossunder_signal_3^120^192^96&mass_crossunder1^80^32|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.734,48.002,3.947,3.678,2.417,12.162,13.053,0.683,0.47,48.0,60.417,1.653,49.119,4.8,emacd_lower_signal^70^112^77|supertrend_short_period^16.0^1.5&rvi_crossunder_signal^110^77|bb_price_crossunder_high_2^150.0^2.5&mass_crossunder1^80^32|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.773,48.137,8.613,2.58,2.513,5.589,18.661,0.977,0.733,76.0,48.684,1.678,47.97,7.6,supertrend_short_period^16.0^1.5|rvi_signal_neutral^50^45^10.0^-10.0^SMA&rvi_crossunder_signal^130^65|rvi_crossunder_signal^110^77&smacd_crossover_signal^190^380^171|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.844,48.38,4.174,3.368,2.529,11.59,14.364,0.752,0.509,61.0,54.098,1.73,49.68,6.1,ma_atr_short_period^150.0^150.0^1.6|kdj_k_neutral^8^2^85^15&rvi_crossunder_signal^110^77|smacd_start_decrease^200^480&mass_crossunder1^80^32|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.849,48.397,2.699,4.3,2.276,17.932,11.254,0.589,0.948,18.0,55.556,4.253,51.388,1.8,stoch_k_neutral^17^7^75^25|convexity_lower1^8^SMA&rsi_crossunder50^11|emacd_start_decrease^210^546&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,16.019,48.981,2.681,4.119,2.131,18.266,11.89,0.622,0.82,19.0,57.895,2.938,50.098,1.9,rvi_signal_neutral^50^45^10.0^-10.0^SMA|convexity_lower1^8^EMA&price_crossunder_ema^25|rvi_crossunder_signal^110^77&smacd_crossover_signal^190^380^171|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,16.037,49.044,3.651,3.36,2.549,13.432,14.597,0.764,0.602,51.0,54.902,1.953,48.532,5.1,emacd_lower_signal^70^112^77|rsi_fast_lower_slow^10^18&rvi_crossunder_signal^130^65|smacd_crossunder_signal_3^120^192^96&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
