total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-45.522,31.939,1.611,263.0,53.313,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&kdj_d_crossover50^220^132^110|trailing_stop^34^1.5
-44.795,32.443,1.579,262.0,52.642,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&trailing_stop^34^1.5|tsi_crossover_signal^220^154^132^SMA
-44.385,32.184,1.603,261.0,52.264,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&smacd_crossover_signal^220^308^154|trailing_stop^34^1.5
-43.746,32.319,1.601,263.0,51.218,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&smi_k_crossover_d^250^150^225|trailing_stop^34^1.5
-43.746,32.319,1.601,263.0,51.218,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&smi_k_crossover_d_2^250^150^225^30|trailing_stop^34^1.5
-43.053,32.567,1.586,261.0,51.783,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&smi_k_crossover0^190^95^SMA|trailing_stop^34^1.5
-42.75,32.567,1.585,261.0,50.758,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&smi_d_crossover0^210^63^63^EMA|trailing_stop^34^1.5
-40.338,34.815,1.467,270.0,50.264,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98&trailing_stop^34^1.5|kdj_k_crossover50^240^216
-38.408,35.185,1.46,270.0,48.602,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98&smi_k_crossover_d^250^150^225|trailing_stop^34^1.5
-38.408,35.185,1.46,270.0,48.602,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98&smi_k_crossover_d_2^250^150^225^30|trailing_stop^34^1.5
-37.711,34.201,1.53,269.0,48.001,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98&smi_k_crossover0^190^95^SMA|trailing_stop^34^1.5
-37.552,33.582,1.567,268.0,49.1,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^90|emacd_histogram_start_decrease^140^224^98&stoch_k_crossover50^210^168|trailing_stop^34^1.5
-37.363,34.944,1.468,269.0,47.589,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&trailing_stop^34^1.5|smacd_histogram_start_increase^110^220^99
-37.362,32.692,1.628,260.0,45.79,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&tsi_crossover_signal^230^161^115^SMA|trailing_stop^34^1.5
-35.894,33.708,1.577,267.0,43.692,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|smacd_start_decrease^60^108&smacd_start_increase^180^360|trailing_stop^34^1.5
-35.592,34.328,1.539,268.0,46.177,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98&kdj_d_crossover50^220^132^110|trailing_stop^34^1.5
-35.555,33.955,1.563,268.0,47.422,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^90|emacd_histogram_start_decrease^140^224^98&trailing_stop^34^1.5|smi_d_crossover0^180^90^54^EMA
