开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.038,45.624,7.945,2.529,0.858,5.742,18.038,0.944,0.881,6.0,50.0,3.97,51.734,0.6,smi_k_lower_d^11^7^8|kdj_k_neutral^110^33^65^35&kdj_k_crossunder_d^230^184^207|sma_fast_crossunder_slow_2^150^360&trailing_stop^34^3.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.048,45.659,4.876,2.455,0.932,9.365,18.599,0.974,0.671,14.0,64.286,1.818,51.22,1.4,aroon_diff_lower0^90|tsi_neutral^16^11^5.0^-5.0^SMA&emacd_histogram_start_decrease_2^200^320^140|bb_price_crossunder_low_2^20.0^3.9&tsi_crossover_signal^220^154^132^SMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.048,45.659,7.458,2.464,0.902,6.122,18.531,0.97,0.861,8.0,50.0,3.144,52.106,0.8,kc_neutral^160.0^128.0^3.9|skew_negative^25^EMA&smi_k_crossunder_d^240^144^72|adx_crossover_threshold^40.0^5.0&smi_d_crossover0^180^90^54^EMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.057,45.688,4.9,2.198,0.986,9.325,20.782,1.088,0.654,20.0,55.0,2.201,51.519,2.0,tsi_neutral^16^11^5.0^-5.0^SMA|rsi_neutral^250^55^45&emacd_histogram_start_decrease_2^200^320^140|emacd_crossunder_signal^190^532^133&stoch_d_crossover50^200^140^60|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.064,45.714,7.747,1.993,1.046,5.901,22.935,1.2,0.446,27.0,51.852,1.726,49.683,2.7,price_lower_sma^120|stoch_k_neutral^17^5^60^40&rsi_crossunder50^140|roc_crossunder0^200&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.067,45.724,6.098,2.884,1.105,7.498,15.852,0.83,0.318,25.0,52.0,2.538,54.038,2.5,tsi_neutral^16^11^5.0^-5.0^SMA|mass_higher1^8^7&rvi_crossunder0^220^SMA|price_crossunder_sma^140&smi_k_crossover_d^250^150^225|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.073,45.745,9.821,1.355,0.934,4.658,33.759,1.767,0.491,56.0,48.214,1.536,48.638,5.6,adx_plus_lower_minus^60|stoch_k_neutral^17^5^60^40&emacd_start_decrease^90^198|roc_crossunder0^200&smacd_histogram_start_increase^110^220^99|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.107,45.862,4.106,2.798,0.919,11.169,16.389,0.858,0.205,36.0,55.556,2.088,53.099,3.6,adx_plus_lower_minus^60|tsi_neutral^16^11^5.0^-5.0^SMA&emacd_histogram_start_decrease_2^200^320^140|price_crossunder_sma_2^70&smacd_histogram_start_increase^110^220^99|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.113,45.879,4.237,3.351,0.9,10.829,13.693,0.717,0.275,17.0,52.941,3.268,53.595,1.7,aroon_diff_lower0^90|tsi_neutral^16^11^5.0^-5.0^SMA&emacd_histogram_start_decrease_2^200^320^140|sma_fast_crossunder_slow_3^220^528&tsi_crossover0^180^126^SMA|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.113,45.879,4.237,3.351,0.9,10.829,13.693,0.717,0.275,17.0,52.941,3.268,53.595,1.7,aroon_diff_lower0^90|tsi_neutral^16^11^5.0^-5.0^SMA&emacd_histogram_start_decrease_2^200^320^140|sma_fast_crossunder_slow_3^220^528&kdj_k_crossover50^240^216|trailing_stop^34^1.5
