total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-39.875,20.275,1.738,291.0,40.126,convexity_higher1^14^EMA|convexity_higher1^8^EMA&price_crossunder_ema^90|rsi_fast_crossunder_slow^30^48&price_crossover_ema^90|trailing_stop^34^1.5
-39.375,24.444,1.36,270.0,39.38,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossunder0^70^EMA|rsi_fast_crossunder_slow^25^55&price_crossover_ema^90|trailing_stop^34^1.5
-39.121,22.047,1.413,254.0,39.126,emacd_decrease^6^13|convexity_higher1^8^EMA&price_crossunder_ema^90|rsi_fast_crossunder_slow^25^55&trailing_stop^34^2.0|price_crossover_ema^90
-38.683,27.953,1.101,254.0,38.735,convexity_higher1^14^EMA|convexity_higher1^8^EMA&price_crossunder_sma_2^25|rsi_fast_crossunder_slow^25^55&trailing_stop^34^1.5|smacd_histogram_start_increase_2^160^416^96
-36.312,25.468,1.31,267.0,36.403,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rsi_crossunder50^29|rsi_fast_crossunder_slow^25^55&price_crossover_ema^90|trailing_stop^34^1.5
-36.31,25.573,1.297,262.0,36.401,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rsi_crossunder50^29|rsi_fast_crossunder_slow^30^48&price_crossover_ema^90|trailing_stop^34^1.5
-33.951,26.693,1.346,251.0,33.957,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_decrease_2^55^77^61|rsi_fast_crossunder_slow^25^55&smacd_start_increase^100^260|trailing_stop^34^1.5
-33.475,25.098,1.344,255.0,33.475,kc_neutral^55.0^66.0^2.7|convexity_higher1^14^EMA&rsi_crossunder50^30|rsi_fast_crossunder_slow^25^55&price_crossover_ema^90|trailing_stop^34^1.5
-32.733,24.194,1.503,248.0,32.733,adx_lower_threshold^210.0^15.0|convexity_higher1^14^EMA&emacd_histogram_start_decrease_2^55^77^61|rsi_fast_crossunder_slow^25^55&price_crossover_ema^90|trailing_stop^34^1.5
-32.675,28.34,1.225,247.0,34.575,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rsi_crossunder50^29|rsi_fast_crossunder_slow^25^55&smacd_start_increase^100^260|trailing_stop^34^1.5
-32.409,24.8,1.457,250.0,32.415,kc_neutral^55.0^66.0^2.7|convexity_higher1^8^EMA&rvi_crossunder0^70^EMA|rsi_fast_crossunder_slow^25^55&price_crossover_ema^90|trailing_stop^34^1.5
-32.359,20.513,1.878,273.0,32.365,kc_neutral^55.0^66.0^2.7|convexity_higher1^8^EMA&price_crossunder_ema^90|rsi_fast_crossunder_slow^25^55&price_crossover_ema^90|trailing_stop^34^1.5
-32.343,28.926,1.194,242.0,33.803,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rsi_crossunder50^29|rsi_fast_crossunder_slow^30^48&smacd_start_increase^100^260|trailing_stop^34^1.5
-32.199,25.726,1.448,241.0,32.482,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossunder0^70^EMA|rsi_fast_crossunder_slow^30^48&trailing_stop^34^1.5|smacd_histogram_start_increase^230^506^299
-32.037,25.957,1.434,235.0,32.043,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossunder0^70^EMA|rsi_fast_crossunder_slow^25^55&trailing_stop^34^2.5|trailing_stop^34^1.5
-31.986,25.692,1.351,253.0,31.986,kc_neutral^55.0^66.0^2.7|convexity_higher1^14^EMA&rsi_crossunder50^29|rsi_fast_crossunder_slow^25^55&price_crossover_ema^90|trailing_stop^34^1.5
-31.274,27.347,1.363,245.0,31.561,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossunder0^70^EMA|rsi_fast_crossunder_slow^30^48&trailing_stop^34^1.5|smacd_histogram_start_increase_2^160^416^96
-31.248,29.96,1.156,247.0,32.334,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rsi_crossunder50^30|rsi_fast_crossunder_slow^25^55&trailing_stop^34^1.5|smacd_histogram_start_increase_2^160^416^96
-30.871,29.787,1.174,235.0,32.369,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rsi_crossunder50^29|rsi_fast_crossunder_slow^30^48&trailing_stop^34^1.5|smacd_histogram_start_increase^230^506^299
-30.857,27.755,1.333,245.0,30.863,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_decrease_2^55^77^61|rsi_fast_crossunder_slow^25^55&trailing_stop^34^1.5|smacd_histogram_start_increase_2^160^416^96
-30.802,27.711,1.361,249.0,30.808,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossunder0^70^EMA|rsi_fast_crossunder_slow^25^55&trailing_stop^34^1.5|smacd_histogram_start_increase_2^160^416^96
-30.794,29.614,1.198,233.0,32.188,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rsi_crossunder50^29|rsi_fast_crossunder_slow^25^55&bb_price_crossover_low^55.0^3.8999999999999995|trailing_stop^34^1.5
