datetime,open,high,low,close,volume,emacd_histogram_decrease^230^644^299|rsi_fast_lower_slow^25^55&adx_plus_crossunder_minus^35|price_crossunder_sma_2^25&price_crossover_sma^130|trailing_stop^34^3.5,smacd_lower_signal^130^338^169|ma_atr_short_period^70.0^84.0^2.0&rvi_crossunder0^200^SMA|kdj_k_crossunder50^14^10&second_wave_trend_1^8|trailing_stop^34^3.5,ma_atr_short_period^70.0^84.0^2.0|rvi_neutral^30^5.0^-5.0^SMA&ema_fast_crossunder_slow^190^494|mass_crossover1^200^140&price_crossover_sma^130|trailing_stop^34^3.5,sma_fast_lower_slow^8^13|rsi_fast_lower_slow^25^55&sma_fast_crossunder_slow_3^210^336|smacd_start_decrease^70^168&tsi_crossover_signal^220^154^176^SMA|trailing_stop^34^2.5,rsi_fast_lower_slow^25^55|tsi_neutral^12^10^25.0^-25.0^SMA&roc_crossunder0^55|stoch_k_crossunder50^230^207&second_wave_trend_1^10|trailing_stop^34^2.5,supertrend_short_period^10.0^2.7|tsi_oversold^50^15^0.0^SMA&aroon_diff_crossunder0^18|bb_price_crossunder_high_2^35.0^2.1&aroon_diff_crossover0^140|trailing_stop^34^3.5,smacd_histogram_decrease^55^99^38|rsi_fast_lower_slow^25^55&adx_plus_crossunder_minus^35|ema_fast_crossunder_slow^190^494&stoch_d_crossover50^110^99^77|trailing_stop^34^3.5,kdj_k_lower_d^100^70^30|stoch_k_oversold^180^162^50&roc_crossunder0^50|sma_fast_crossunder_slow_2^230^644&smacd_histogram_start_increase_2^160^416^96|trailing_stop^34^3.5,rvi_neutral^30^5.0^-5.0^SMA|mass_higher1^70^35&ema_fast_crossunder_slow^190^494|mass_crossover1^200^140&bb_price_crossover_high^25.0^3.6999999999999993|trailing_stop^34^3.5,emacd_decrease^35^91|rvi_neutral^30^5.0^-5.0^SMA&smi_k_crossunder_d_2^250^225^225^85|smacd_start_decrease^90^234&ma_atr_long_signal^230.0^230.0^2.3999999999999995|trailing_stop^34^2.5,sma_fast_lower_slow^8^13|ma_atr_short_period^70.0^84.0^2.0&ema_fast_crossunder_slow^190^494|sma_fast_crossunder_slow_2^230^644&stoch_d_crossover50^110^99^77|trailing_stop^34^3.5,price_lower_ema^6|rsi_fast_lower_slow^25^55&smacd_start_decrease^90^234|emacd_crossunder_signal_2^200^280^240&tsi_crossover0^220^88^EMA|trailing_stop^34^2.5
2026-02-02 01:00:00,4.2825,4.2825,4.2575,4.2625,4011.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:15:00,4.2625,4.2625,4.255,4.255,785.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:30:00,4.255,4.2625,4.255,4.2575,1098.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 01:45:00,4.26,4.26,4.255,4.26,284.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:00:00,4.26,4.26,4.2575,4.2575,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:15:00,4.2575,4.26,4.255,4.26,177.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:30:00,4.2575,4.26,4.2575,4.2575,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 02:45:00,4.2575,4.26,4.255,4.255,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:00:00,4.255,4.2575,4.2525,4.2525,562.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:15:00,4.2525,4.255,4.2525,4.255,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:30:00,4.255,4.2575,4.2525,4.2525,98.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 03:45:00,4.2525,4.2525,4.2475,4.25,1768.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:00:00,4.25,4.2525,4.2475,4.2525,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:15:00,4.2525,4.2525,4.25,4.25,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:30:00,4.2525,4.2525,4.25,4.2525,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 04:45:00,4.25,4.25,4.2475,4.25,284.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:00:00,4.25,4.25,4.2475,4.2475,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:15:00,4.2475,4.2475,4.2475,4.2475,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:30:00,4.2475,4.25,4.245,4.245,254.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 05:45:00,4.245,4.2475,4.245,4.2475,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:00:00,4.2475,4.2475,4.2475,4.2475,66.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:15:00,4.2475,4.25,4.2475,4.25,460.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:30:00,4.2475,4.2525,4.2475,4.25,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 06:45:00,4.25,4.2525,4.25,4.25,140.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:00:00,4.25,4.2575,4.2475,4.2525,508.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:15:00,4.255,4.255,4.2525,4.255,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:30:00,4.255,4.255,4.2525,4.2525,187.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 07:45:00,4.2525,4.2575,4.2525,4.2525,318.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:00:00,4.255,4.255,4.2525,4.255,272.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:15:00,4.2525,4.255,4.25,4.25,1203.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:30:00,4.2525,4.2525,4.2475,4.25,441.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 08:45:00,4.25,4.25,4.2475,4.2475,155.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:00:00,4.25,4.255,4.245,4.2525,1140.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:15:00,4.2525,4.2525,4.25,4.2525,110.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:30:00,4.2525,4.255,4.25,4.255,238.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 09:45:00,4.255,4.2575,4.2525,4.255,239.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:00:00,4.255,4.2675,4.2525,4.2625,1976.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:15:00,4.265,4.2675,4.26,4.2625,589.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:30:00,4.2625,4.265,4.26,4.26,488.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 10:45:00,4.26,4.2675,4.26,4.265,261.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:00:00,4.2675,4.27,4.2625,4.265,1201.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:15:00,4.265,4.2675,4.2625,4.265,225.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:30:00,4.265,4.265,4.2625,4.265,593.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 11:45:00,4.2675,4.2675,4.265,4.265,435.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-02-02 12:00:00,4.2675,4.27,4.2625,4.2625,222.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
