开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,-8.504,-24.344,12.224,-2.353,-1.268,-1.991,10.347,0.542,0.61,54.0,29.63,1.254,38.147,5.4,emacd_histogram_decrease^230^644^299|rsi_fast_lower_slow^25^55&adx_plus_crossunder_minus^35|price_crossunder_sma_2^25&price_crossover_sma^130|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-7.282,-20.642,9.693,-2.221,-1.024,-2.13,9.295,0.487,0.684,36.0,33.333,1.008,37.327,3.6,smacd_lower_signal^130^338^169|ma_atr_short_period^70.0^84.0^2.0&rvi_crossunder0^200^SMA|kdj_k_crossunder50^14^10&second_wave_trend_1^8|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,0.511,1.37,2.543,0.229,0.044,0.539,5.978,0.313,1.158,6.0,33.333,2.865,40.173,0.6,ma_atr_short_period^70.0^84.0^2.0|rvi_neutral^30^5.0^-5.0^SMA&ema_fast_crossunder_slow^190^494|mass_crossover1^200^140&price_crossover_sma^130|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-9.041,-25.994,14.724,-2.441,-0.995,-1.765,10.651,0.557,0.461,47.0,31.915,1.274,38.091,4.7,sma_fast_lower_slow^8^13|rsi_fast_lower_slow^25^55&sma_fast_crossunder_slow_3^210^336|smacd_start_decrease^70^168&tsi_crossover_signal^220^154^176^SMA|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-12.826,-38.011,14.351,-3.814,-1.78,-2.649,9.967,0.522,0.539,54.0,25.926,1.086,36.966,5.4,rsi_fast_lower_slow^25^55|tsi_neutral^12^10^25.0^-25.0^SMA&roc_crossunder0^55|stoch_k_crossunder50^230^207&second_wave_trend_1^10|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-1.409,-3.805,5.694,-0.382,-0.231,-0.668,9.965,0.522,0.944,34.0,47.059,0.989,38.962,3.4,supertrend_short_period^10.0^2.7|tsi_oversold^50^15^0.0^SMA&aroon_diff_crossunder0^18|bb_price_crossunder_high_2^35.0^2.1&aroon_diff_crossover0^140|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-6.077,-17.059,10.174,-1.57,-0.916,-1.677,10.867,0.569,0.865,40.0,35.0,1.192,36.042,4.0,smacd_histogram_decrease^55^99^38|rsi_fast_lower_slow^25^55&adx_plus_crossunder_minus^35|ema_fast_crossunder_slow^190^494&stoch_d_crossover50^110^99^77|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-3.26,-8.942,4.244,-1.47,-0.478,-2.107,6.083,0.318,0.602,19.0,42.105,0.644,37.368,1.9,kdj_k_lower_d^100^70^30|stoch_k_oversold^180^162^50&roc_crossunder0^50|sma_fast_crossunder_slow_2^230^644&smacd_histogram_start_increase_2^160^416^96|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-2.046,-5.557,4.679,-0.797,-0.205,-1.188,6.976,0.365,1.125,10.0,50.0,0.546,36.607,1.0,rvi_neutral^30^5.0^-5.0^SMA|mass_higher1^70^35&ema_fast_crossunder_slow^190^494|mass_crossover1^200^140&bb_price_crossover_high^25.0^3.6999999999999993|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-3.85,-10.61,5.352,-1.706,-0.73,-1.982,6.22,0.326,0.7,22.0,40.909,0.649,35.984,2.2,emacd_decrease^35^91|rvi_neutral^30^5.0^-5.0^SMA&smi_k_crossunder_d_2^250^225^225^85|smacd_start_decrease^90^234&ma_atr_long_signal^230.0^230.0^2.3999999999999995|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-0.051,-0.136,2.4,-0.028,-0.004,-0.057,4.917,0.257,0.936,5.0,60.0,0.634,39.056,0.5,sma_fast_lower_slow^8^13|ma_atr_short_period^70.0^84.0^2.0&ema_fast_crossunder_slow^190^494|sma_fast_crossunder_slow_2^230^644&stoch_d_crossover50^110^99^77|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-3.092,-8.468,5.501,-0.95,-0.568,-1.54,8.916,0.467,0.757,41.0,36.585,1.344,37.322,4.1,price_lower_ema^6|rsi_fast_lower_slow^25^55&smacd_start_decrease^90^234|emacd_crossunder_signal_2^200^280^240&tsi_crossover0^220^88^EMA|trailing_stop^34^2.5
