total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-63.312,23.919,1.247,347.0,68.417,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-63.198,23.919,1.25,347.0,68.43,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-62.752,23.547,1.274,344.0,67.815,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-62.296,26.488,1.138,336.0,65.204,bb_neutral^10.0^2.5|rsi_neutral^90^65^35&adx_plus_crossunder_minus^10|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-61.988,24.058,1.254,345.0,67.594,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-61.988,24.058,1.254,345.0,67.594,kc_neutral^20.0^8.0^1.9|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-61.874,24.058,1.257,345.0,67.679,kc_neutral^20.0^8.0^1.9|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-61.874,24.058,1.257,345.0,67.679,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-61.795,26.706,1.132,337.0,64.757,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&adx_plus_crossunder_minus^10|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-61.565,24.128,1.273,344.0,66.277,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-61.053,25.937,1.236,347.0,64.976,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-60.792,24.198,1.28,343.0,65.977,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-60.723,26.012,1.236,346.0,64.647,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-60.68,24.047,1.289,341.0,65.307,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-60.68,24.047,1.289,341.0,65.307,kc_neutral^20.0^8.0^1.9|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-60.59,24.047,1.288,341.0,65.13,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-60.241,24.269,1.28,342.0,65.188,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-60.241,24.269,1.28,342.0,65.188,kc_neutral^20.0^8.0^1.9|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.907,24.118,1.296,340.0,65.006,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.907,24.118,1.296,340.0,65.006,kc_neutral^20.0^8.0^1.9|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.903,23.565,1.288,331.0,62.252,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&rsi_fast_crossunder_slow^35^91|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-59.879,25.872,1.253,344.0,63.75,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-59.824,26.163,1.236,344.0,64.449,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-59.699,26.239,1.234,343.0,64.325,bb_neutral^10.0^2.5|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-59.669,24.118,1.295,340.0,64.406,rsi_neutral^90^65^35|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.469,24.34,1.287,341.0,65.153,kc_neutral^20.0^8.0^1.9|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.469,24.34,1.287,341.0,65.153,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.395,27.869,1.127,305.0,63.251,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-59.391,27.687,1.138,307.0,63.143,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-59.386,25.948,1.253,343.0,63.259,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.27,27.961,1.124,304.0,63.127,bb_neutral^10.0^2.5|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-59.137,23.724,1.304,333.0,64.075,rvi_signal_neutral^50^30^15.0^-15.0^EMA|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-59.061,27.778,1.137,306.0,62.814,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-59.055,26.023,1.252,342.0,62.93,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-59.005,29.412,1.072,306.0,62.491,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-58.896,24.189,1.302,339.0,64.371,rsi_neutral^90^65^35|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.786,23.78,1.287,328.0,61.107,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^80.0^5.0&rsi_fast_crossunder_slow^35^91|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-58.706,24.26,1.297,338.0,63.479,rsi_neutral^14^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.674,29.508,1.071,305.0,62.161,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-58.64,29.605,1.066,304.0,62.683,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-58.515,29.703,1.063,303.0,62.558,bb_neutral^10.0^2.5|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-58.49,26.254,1.244,339.0,62.94,rsi_neutral^14^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-58.431,26.1,1.255,341.0,62.74,kc_neutral^8.0^8.0^1.7|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.408,26.852,1.15,324.0,61.32,kc_neutral^8.0^8.0^1.7|rvi_signal_neutral^50^30^15.0^-15.0^EMA&adx_plus_crossunder_minus^10|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-58.306,26.176,1.253,340.0,62.615,bb_neutral^10.0^2.5|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.217,27.632,1.153,304.0,61.914,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-58.212,25.882,1.27,340.0,62.031,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.136,24.332,1.301,337.0,63.646,rsi_neutral^14^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.092,27.723,1.15,303.0,61.789,bb_neutral^10.0^2.5|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-58.087,25.959,1.268,339.0,61.906,bb_neutral^10.0^2.5|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.049,23.385,1.312,325.0,60.222,kc_neutral^8.0^8.0^1.7|kc_neutral^20.0^8.0^1.9&rsi_fast_crossunder_slow^35^91|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-58.026,24.096,1.316,332.0,62.532,rsi_neutral^90^65^35|rvi_signal_neutral^50^30^15.0^-15.0^EMA&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.99,23.708,1.304,329.0,60.287,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&rsi_fast_crossunder_slow^35^91|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.831,29.373,1.085,303.0,61.261,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-57.768,27.815,1.146,302.0,61.343,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-57.763,26.036,1.264,338.0,61.491,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.73,27.815,1.148,302.0,61.427,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-57.725,26.036,1.266,338.0,61.574,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.714,24.169,1.317,331.0,62.341,kc_neutral^8.0^8.0^1.7|rvi_signal_neutral^50^30^15.0^-15.0^EMA&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.714,24.169,1.317,331.0,62.341,kc_neutral^20.0^8.0^1.9|rvi_signal_neutral^50^30^15.0^-15.0^EMA&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^45^72&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.706,29.47,1.082,302.0,61.136,bb_neutral^10.0^2.5|rsi_neutral^90^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-57.668,26.036,1.266,338.0,61.799,rsi_neutral^90^65^35|rsi_neutral^14^65^35&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.651,24.085,1.285,328.0,59.546,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&rsi_fast_crossunder_slow^45^72|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.605,27.907,1.145,301.0,61.302,bb_neutral^10.0^2.5|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&bb_price_crossover_high^190.0^1.9|trailing_stop^34^1.5
-57.604,29.568,1.073,301.0,60.912,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-57.599,26.113,1.264,337.0,61.449,bb_neutral^10.0^2.5|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.566,29.568,1.075,301.0,60.996,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-57.528,29.766,1.065,299.0,61.392,rsi_neutral^14^65^35|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-57.519,24.169,1.317,331.0,62.497,rsi_neutral^90^65^35|rvi_signal_neutral^50^30^15.0^-15.0^EMA&adx_plus_crossunder_minus^8|rsi_fast_crossunder_slow^35^91&rvi_crossover_signal^100^80|trailing_stop^34^1.5
-57.479,26.205,1.252,332.0,61.361,bb_neutral^10.0^2.5|rvi_signal_neutral^50^30^15.0^-15.0^EMA&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-57.441,29.667,1.072,300.0,60.871,bb_neutral^10.0^2.5|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|smacd_start_increase^200^520
-57.424,26.176,1.203,340.0,62.148,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&adx_plus_crossunder_minus^8|emacd_histogram_start_decrease^100^220^110&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-57.284,26.284,1.246,331.0,61.035,rvi_signal_neutral^50^30^15.0^-15.0^EMA|adx_higher_threshold^80.0^5.0&adx_plus_crossunder_minus^8|emacd_start_decrease^35^63&trailing_stop^34^1.5|rvi_crossover_signal^110^77
-57.267,23.602,1.307,322.0,59.675,kc_neutral^20.0^8.0^1.9|adx_higher_threshold^80.0^5.0&rsi_fast_crossunder_slow^35^91|emacd_start_decrease^35^63&rvi_crossover_signal^100^80|trailing_stop^34^1.5
