total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-54.734,27.249,1.25,378.0,55.698,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&price_crossunder_ema^6|emacd_histogram_start_decrease^80^176^64&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-52.79,26.975,1.302,367.0,54.053,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&price_crossunder_ema^6|emacd_histogram_start_decrease^80^176^64&smacd_histogram_start_increase^180^288^144|trailing_stop^34^1.5
-51.95,26.649,1.329,379.0,52.969,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&price_crossunder_ema^6|rvi_crossunder_signal^50^40&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-51.637,26.923,1.322,364.0,52.69,bb_neutral^60.0^2.9|kc_neutral^16.0^19.0^3.9&price_crossunder_ema^6|emacd_histogram_start_decrease^80^176^64&smacd_histogram_start_increase^180^288^144|trailing_stop^34^1.5
-50.56,26.133,1.374,375.0,51.543,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&price_crossunder_ema^6|price_crossunder_sma^220&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-50.469,26.064,1.384,376.0,51.452,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&rsi_crossunder50^130|price_crossunder_ema^6&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-50.432,26.525,1.351,377.0,51.416,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&rsi_crossunder50^8|price_crossunder_ema^6&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-50.102,25.867,1.403,375.0,51.087,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&price_crossunder_ema^6|rvi_crossunder0^160^EMA&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-50.051,26.273,1.37,373.0,51.037,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&price_crossunder_ema^6|price_crossunder_sma^12&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-49.706,26.667,1.348,375.0,50.693,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&price_crossunder_ema^6|emacd_histogram_start_decrease_2^230^644^322&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-48.953,26.415,1.374,371.0,49.944,price_lower_ema^6|kc_neutral^16.0^19.0^3.9&adx_plus_crossunder_minus^35|price_crossunder_ema^6&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-48.902,25.613,1.431,367.0,49.892,convexity_higher1^12^SMA|convexity_higher1^8^SMA&rsi_crossunder50^130|price_crossunder_ema^6&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-48.794,25.815,1.424,368.0,49.785,kc_neutral^16.0^19.0^3.9|convexity_higher1^8^SMA&rsi_crossunder50^130|price_crossunder_ema^6&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
-48.792,26.81,1.356,373.0,49.913,kc_neutral^16.0^19.0^3.9|convexity_higher1^12^SMA&adx_plus_crossunder_minus^35|price_crossunder_ema^6&smacd_histogram_start_increase_2^110^154^99|trailing_stop^34^1.5
