开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,-14.647,-44.039,19.937,-3.91,-2.73,-2.209,11.263,0.59,0.4,115.0,24.348,1.805,40.149,11.5,trix_lower0^190|bb_neutral^60.0^2.9&price_crossunder_ema^10|rvi_crossunder0^160^EMA&kdj_k_crossover_d^250^225^175|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-12.583,-37.221,14.298,-2.791,-2.101,-2.603,13.335,0.698,0.389,131.0,31.298,1.474,41.063,13.1,smacd_histogram_decrease^14^36^20|kdj_k_lower_d^17^8^8&price_crossunder_ema^10|smi_d_crossunder0^240^216^168^EMA&smacd_histogram_start_increase^230^506^299|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-11.454,-33.578,13.315,-4.31,-1.667,-2.522,7.79,0.408,0.37,44.0,13.636,1.949,40.691,4.4,smacd_histogram_decrease^14^36^20|rvi_signal_neutral^210^147^5.0^-5.0^SMA&price_crossunder_sma^220|smacd_crossunder_signal^150^360^210&smacd_crossover_signal_3^180^468^234|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-11.893,-34.985,12.835,-2.98,-1.3,-2.726,11.74,0.614,0.502,63.0,26.984,1.337,41.333,6.3,smacd_histogram_decrease^14^36^20|emacd_histogram_decrease^35^77^32&kc_price_crossunder_low_2^130.0^130.0^2.3|kc_price_crossunder_high_2^25.0^10.0^2.9&ma_atr_long_signal^230.0^276.0^2.8|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-11.589,-34.01,13.611,-3.14,-1.727,-2.499,10.831,0.567,0.402,91.0,27.473,1.454,40.922,9.1,smacd_histogram_decrease^14^36^20|ma_atr_short_period^120.0^120.0^2.4&price_crossunder_ema^10|kc_price_crossunder_high_2^25.0^10.0^2.9&emacd_crossover_signal_3^160^352^176|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-10.596,-30.849,11.587,-3.133,-1.876,-2.662,9.848,0.515,0.356,89.0,25.843,1.712,39.899,8.9,sma_fast_lower_slow^220^484|smacd_histogram_decrease^14^36^20&price_crossunder_ema^10|kc_price_crossunder_high_2^25.0^10.0^2.9&kc_price_crossover_low^18.0^22.0^3.6999999999999993|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-7.661,-21.784,10.772,-2.741,-1.321,-2.022,7.948,0.416,0.47,50.0,28.0,1.327,40.89,5.0,ema_fast_lower_slow^180^504|kdj_k_neutral^240^168^70^30&price_crossunder_ema^10|kdj_d_crossunder50^240^192^168&smacd_crossover_signal^200^440^140|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-5.314,-14.824,7.741,-1.763,-0.832,-1.915,8.409,0.44,0.55,44.0,34.091,1.157,40.365,4.4,kdj_d_oversold^250^225^225^50|smi_d_neutral^8^4^4^5.0^-5.0^SMA&price_crossunder_ema^6|rvi_crossunder0^160^EMA&smacd_crossover_signal^200^440^140|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-6.634,-18.705,7.173,-2.779,-0.976,-2.608,6.73,0.352,0.547,25.0,32.0,0.544,39.06,2.5,stoch_d_oversold^8^3^2^50|smi_neutral^240^144^20.0^-20.0^SMA&rsi_fast_crossunder_slow^230^506|smacd_start_decrease^150^420&stoch_k_crossover_d_2^250^200^225^30|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-4.603,-12.765,7.365,-1.447,-0.483,-1.733,8.822,0.462,0.905,20.0,35.0,1.114,40.844,2.0,price_lower_ema^6|rvi_lower_signal^25^8&tsi_crossunder_signal^180^108^108^EMA|bb_price_crossunder_low^90.0^3.9&smacd_crossover_signal^200^440^140|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-4.406,-12.2,7.477,-2.02,-0.629,-1.632,6.041,0.316,0.725,17.0,29.412,0.989,39.902,1.7,price_lower_sma^12|emacd_lower_signal^210^588^147&trix_start_decrease^80|stoch_k_crossunder_d_2^240^216^216^85&aroon_diff_crossover0^210|trailing_stop^34^3.0
