total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-45.447,26.224,1.085,286.0,45.813,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|kc_price_crossunder_high^35.0^28.0^2.7&smacd_start_increase^210^294|trailing_stop^34^1.5
-41.781,26.316,1.132,285.0,42.073,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^70&smacd_start_increase^210^294|trailing_stop^34^1.5
-41.606,29.67,0.972,273.0,41.917,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease^55^99^38&smi_k_crossover0^70^21^EMA|trailing_stop^34^1.5
-41.296,26.148,1.144,283.0,41.549,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-40.04,28.315,1.073,279.0,40.293,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^150^390^120&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.855,28.114,1.065,281.0,40.182,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^70^182|rsi_fast_crossunder_slow^18^29&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.624,27.5,1.11,280.0,39.951,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&mass_crossunder1^18^5|rsi_fast_crossunder_slow^18^29&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.552,29.329,1.031,283.0,39.805,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rvi_crossunder_signal^210^168&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.433,27.857,1.096,280.0,39.686,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_start_decrease^200^280&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.386,28.014,1.085,282.0,39.639,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rsi_crossunder50^60&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.383,27.24,1.159,279.0,39.636,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.358,26.855,1.142,283.0,39.611,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rsi_crossunder50^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.224,29.433,1.03,282.0,39.477,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rvi_crossunder_signal^200^180&smacd_start_increase^210^294|trailing_stop^34^1.5
-39.216,27.758,1.102,281.0,39.469,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|price_crossunder_ema^120&smacd_start_increase^210^294|trailing_stop^34^1.5
-38.604,29.537,1.031,281.0,38.918,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease^55^99^38&smacd_start_increase^210^294|trailing_stop^34^1.5
-38.503,28.625,1.067,269.0,38.756,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rsi_crossunder50^80&smi_k_crossover0^70^21^EMA|trailing_stop^34^1.5
-38.077,26.394,1.197,269.0,38.33,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|smacd_start_decrease^180^324&smacd_start_increase^210^294|trailing_stop^34^1.5
-38.008,25.188,1.236,266.0,38.008,price_lower_ema^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-37.241,25.66,1.222,265.0,37.283,price_lower_ema^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^70&smacd_start_increase^210^294|trailing_stop^34^1.5
-37.175,29.008,1.072,262.0,37.502,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease^230^598^322&smi_k_crossover0^70^21^EMA|trailing_stop^34^1.5
-36.779,25.483,1.243,259.0,36.779,price_lower_sma^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-36.4,26.616,1.195,263.0,36.695,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^70&smacd_start_increase^210^294|trailing_stop^34^1.5
-36.193,24.806,1.292,258.0,36.193,price_lower_ema^6|rvi_signal_neutral^14^6^30.0^-30.0^SMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-36.157,28.464,1.122,267.0,36.409,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|mass_crossover1^100^50&smacd_start_increase^210^294|trailing_stop^34^1.5
-36.119,26.336,1.216,262.0,36.372,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-36.039,27.481,1.133,262.0,36.039,price_lower_ema^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rvi_crossunder_signal^200^180&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.968,25.681,1.243,257.0,35.968,price_lower_ema^6|emacd_decrease^8^18&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.963,25.954,1.232,262.0,36.216,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|price_crossunder_ema^160&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.905,28.626,1.09,262.0,35.905,price_lower_ema^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease^55^99^38&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.868,25.385,1.283,260.0,35.868,price_lower_ema^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.724,26.336,1.205,262.0,35.724,price_lower_ema^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|price_crossunder_ema^120&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.718,28.102,1.173,274.0,36.045,rvi_signal_neutral^14^6^30.0^-30.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease^230^598^322&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.577,26.054,1.233,261.0,35.83,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rsi_crossunder50^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.499,25.781,1.25,256.0,35.542,price_lower_sma^6|emacd_decrease^8^18&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^70&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.499,25.49,1.267,255.0,35.499,price_lower_sma^6|emacd_decrease^8^18&rsi_fast_crossunder_slow^18^29|adx_plus_crossunder_minus^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.429,25.2,1.259,250.0,35.429,price_lower_sma^6|rvi_signal_neutral^14^6^30.0^-30.0^SMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.351,25.498,1.258,251.0,35.351,price_lower_sma^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.239,25.296,1.258,253.0,35.239,price_lower_sma^6|emacd_decrease^8^18&rsi_fast_crossunder_slow^18^29|rsi_crossunder50^80&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.208,28.462,1.111,260.0,35.461,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rvi_crossunder_signal^210^168&smacd_start_increase^210^294|trailing_stop^34^1.5
-35.072,31.25,0.889,240.0,35.325,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rvi_crossunder_signal^210^168&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.828,28.185,1.142,259.0,35.081,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease^55^99^38&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.632,31.381,0.89,239.0,34.885,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rvi_crossunder_signal^200^180&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.55,26.19,1.243,252.0,34.55,price_lower_ema^6|emacd_decrease^8^18&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.44,26.19,1.24,252.0,34.44,emacd_decrease^14^39|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|price_crossunder_ema^160&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.415,26.378,1.243,254.0,34.668,emacd_decrease^8^18|rvi_signal_neutral^14^6^30.0^-30.0^SMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.34,26.848,1.237,257.0,34.593,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.312,27.799,1.17,259.0,34.565,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|rsi_crossunder50^60&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.267,27.953,1.138,254.0,34.267,price_lower_ema^6|emacd_decrease^8^18&rsi_fast_crossunder_slow^18^29|rvi_crossunder_signal^200^180&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.225,28.627,1.129,255.0,34.478,rvi_lower_signal^12^11|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease^55^99^38&smacd_start_increase^210^294|trailing_stop^34^1.5
-34.196,27.843,1.168,255.0,34.449,emacd_decrease^8^18|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^150^390^120&smacd_start_increase^210^294|trailing_stop^34^1.5
