total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-24.169,27.907,1.274,129.0,24.64,kdj_k_lower_d^20^6^6|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|sma_fast_crossunder_slow^220^484&trailing_stop^34^3.0|kc_price_crossover_low^10.0^10.0^3.4999999999999996
-22.71,26.761,1.493,142.0,23.182,emacd_decrease^14^39|convexity_higher1^16^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smi_k_crossover0^70^21^EMA|trailing_stop^34^3.0
-19.354,28.07,1.166,114.0,19.459,kdj_k_neutral^240^144^80^20|kdj_d_neutral^140^126^98^75^25&stoch_k_crossunder_d^26^16^23|rvi_crossunder_signal^210^168&smacd_start_increase^210^294|trailing_stop^34^3.0
-19.255,28.155,1.101,103.0,19.756,rsi_fast_lower_slow^6^13|kdj_k_lower_d^20^6^6&stoch_k_crossunder_d^26^16^23|stoch_k_crossunder50^240^216&smacd_start_increase^210^294|trailing_stop^34^3.0
-18.29,27.174,1.369,92.0,19.187,emacd_decrease^14^39|mass_higher1^25^20&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&smi_k_crossover0^70^21^EMA|trailing_stop^34^3.0
-17.698,26.126,1.401,111.0,17.8,emacd_lower_signal^6^12^4|convexity_higher1^16^EMA&rsi_crossunder50^60|bb_price_crossunder_high^140.0^2.1&smacd_start_increase^210^294|trailing_stop^34^2.5
-15.003,32.258,1.163,93.0,15.889,emacd_decrease^14^39|mass_higher1^25^20&rsi_fast_crossunder_slow^18^29|bb_price_crossunder_high^140.0^2.1&trailing_stop^34^3.0|trailing_stop^34^2.5
-14.71,25.882,1.327,85.0,14.821,emacd_lower_signal^6^12^4|kdj_d_neutral^140^126^98^75^25&stoch_k_crossunder_d^26^16^23|smi_k_crossunder_d^150^135^105&trailing_stop^34^3.0|trailing_stop^34^2.5
-14.636,29.825,0.927,57.0,14.985,trix_decrease^6|tsi_neutral^140^56^10.0^-10.0^EMA&trix_crossunder_signal^80^64|rvi_crossunder_signal^200^180&stoch_d_crossover50^160^128^112|trailing_stop^34^3.5
-14.51,28.571,1.121,84.0,14.51,rsi_oversold^120^50|kdj_d_neutral^140^126^98^75^25&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&kc_price_crossover_low^20.0^8.0^3.8999999999999995|trailing_stop^34^2.0
-14.419,26.923,1.251,78.0,14.48,rvi_lower_signal^35^14|convexity_higher1^16^EMA&smi_k_crossunder_d_2^250^225^225^85|rsi_crossunder50^60&trailing_stop^34^3.0|trailing_stop^34^2.5
-13.617,10.256,2.213,39.0,15.281,emacd_decrease^8^18|emacd_lower_signal^150^390^150&price_crossunder_ema^160|stoch_k_crossunder50^250^200&smacd_start_increase^210^294|trailing_stop^34^3.0
-13.339,20.408,1.711,49.0,13.459,kc_neutral^35.0^14.0^2.5|rsi_neutral^14^65^35&trix_start_decrease^140|price_crossunder_sma^150&kc_price_crossover_low^20.0^8.0^3.8999999999999995|trailing_stop^34^3.0
-13.057,19.355,1.887,62.0,13.205,rvi_oversold^230^0.0^SMA|rvi_neutral^23^15.0^-15.0^EMA&rsi_fast_crossunder_slow^18^29|emacd_histogram_start_decrease_2^130^312^169&trailing_stop^34^3.0|kc_price_crossover_low^10.0^10.0^3.4999999999999996
-12.862,28.571,1.176,70.0,13.132,rvi_lower_signal^12^11|smi_d_neutral^160^80^144^30.0^-30.0^SMA&rsi_crossunder50^60|ema_fast_crossunder_slow^220^440&kc_price_crossover_low^10.0^10.0^3.4999999999999996|trailing_stop^34^2.5
