total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-55.911,20.809,1.762,346.0,55.911,rsi_neutral^90^70^30|convexity_higher1^10^EMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-55.254,20.93,1.755,344.0,55.54,kdj_k_neutral^17^8^85^15|convexity_higher1^10^EMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-55.18,21.098,1.753,346.0,55.596,rvi_neutral^29^25.0^-25.0^EMA|convexity_higher1^10^EMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-54.794,21.326,1.743,347.0,54.794,rsi_neutral^90^70^30|rvi_neutral^29^25.0^-25.0^EMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-54.575,21.283,1.737,343.0,54.575,rsi_neutral^90^70^30|kdj_k_neutral^17^8^85^15&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-53.843,21.574,1.728,343.0,54.272,kdj_k_neutral^17^8^85^15|rvi_neutral^29^25.0^-25.0^EMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-52.573,21.068,1.792,337.0,52.851,convexity_higher1^8^SMA|convexity_higher1^10^EMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-52.297,20.973,1.773,329.0,52.377,bb_neutral^30.0^1.9|rsi_neutral^90^70^30&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-52.185,21.429,1.768,336.0,52.185,rsi_neutral^90^70^30|convexity_higher1^8^SMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-52.01,20.497,1.808,322.0,52.409,bb_neutral^30.0^1.9|kdj_k_neutral^11^3^85^15&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-51.833,21.212,1.765,330.0,52.28,bb_neutral^30.0^1.9|rvi_neutral^29^25.0^-25.0^EMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-51.751,21.037,1.784,328.0,52.382,kdj_k_neutral^11^3^85^15|convexity_higher1^8^SMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-51.528,21.557,1.761,334.0,51.838,kdj_k_neutral^17^8^85^15|convexity_higher1^8^SMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-51.454,21.726,1.759,336.0,51.905,rvi_neutral^29^25.0^-25.0^EMA|convexity_higher1^8^SMA&price_crossunder_sma_2^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-51.423,21.93,1.742,342.0,51.423,rsi_neutral^90^70^30|rvi_neutral^29^25.0^-25.0^EMA&price_crossunder_sma_2^18|emacd_start_decrease^50^80&emacd_start_increase^45^90|trailing_stop^34^1.5
-50.978,21.515,1.74,330.0,51.266,convexity_higher1^8^SMA|convexity_higher1^10^EMA&price_crossunder_sma_2^18|emacd_start_decrease^50^80&emacd_start_increase^45^90|trailing_stop^34^1.5
-50.878,24.118,1.552,340.0,51.15,rvi_neutral^29^25.0^-25.0^EMA|convexity_higher1^10^EMA&roc_crossunder0^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-50.796,23.964,1.559,338.0,50.931,rsi_neutral^90^70^30|convexity_higher1^10^EMA&roc_crossunder0^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-50.457,22.124,1.739,339.0,50.457,rsi_neutral^90^70^30|kdj_k_neutral^17^8^85^15&price_crossunder_sma_2^18|emacd_start_decrease^50^80&emacd_start_increase^45^90|trailing_stop^34^1.5
-49.828,25.705,1.402,319.0,50.106,rvi_neutral^29^25.0^-25.0^EMA|convexity_higher1^8^SMA&roc_crossunder0^18|rvi_crossunder_signal^70^49&emacd_start_increase^45^90|trailing_stop^34^1.5
-49.726,24.484,1.546,339.0,49.863,rsi_neutral^90^70^30|rvi_neutral^29^25.0^-25.0^EMA&roc_crossunder0^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-49.726,22.419,1.73,339.0,50.193,kdj_k_neutral^17^8^85^15|rvi_neutral^29^25.0^-25.0^EMA&price_crossunder_sma_2^18|emacd_start_decrease^50^80&emacd_start_increase^45^90|trailing_stop^34^1.5
-49.588,24.629,1.532,337.0,49.867,kdj_k_neutral^17^8^85^15|rvi_neutral^29^25.0^-25.0^EMA&roc_crossunder0^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
-49.506,24.478,1.538,335.0,49.644,rsi_neutral^90^70^30|kdj_k_neutral^17^8^85^15&roc_crossunder0^18|emacd_start_decrease^45^81&emacd_start_increase^45^90|trailing_stop^34^1.5
