total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-23.968,30.081,1.382,123.0,24.248,aroon_diff_lower0^8|rvi_neutral^17^20.0^-20.0^SMA&rvi_crossunder_signal^70^49|kdj_k_crossunder_d_2^60^24^18^85&trailing_stop^34^3.0|smacd_histogram_start_increase_2^150^210^120
-22.627,28.395,1.244,81.0,22.627,trix_lower_signal^20.0^12.0|rvi_neutral^17^20.0^-20.0^SMA&roc_crossunder0^18|bb_price_crossunder_high_2^50.0^2.5&trailing_stop^34^3.0|smi_d_crossover0^80^72^56^EMA
-19.787,28.736,1.166,87.0,20.695,kc_neutral^16.0^10.0^1.9|atr_fast_lower_slow^6^8&rvi_crossunder_signal^60^54|kdj_k_crossunder_d^60^18^18&smacd_crossover_signal_3^220^616^176|trailing_stop^34^2.0
-19.021,28.169,1.186,71.0,20.197,rvi_oversold^60^0.0^EMA|skew_positive^30^EMA&roc_crossunder0^18|smacd_histogram_start_decrease^120^312^168&trailing_stop^34^3.0|rsi_crossover50^140
-18.867,19.178,2.106,73.0,24.642,adx_lower_threshold^16.0^45.0|skew_positive^6^EMA&trix_start_decrease^230|emacd_histogram_start_decrease^100^160^80&stoch_k_crossover50^170^136|trailing_stop^34^2.5
-12.652,30.769,1.181,52.0,14.053,ema_fast_lower_slow^20^40|skew_positive^30^EMA&price_crossunder_sma_2^18|smacd_histogram_start_decrease^70^196^98&trailing_stop^34^3.0|smi_k_crossover0^140^98^EMA
-12.315,26.23,1.624,61.0,13.472,trix_lower_signal^20.0^12.0|rsi_fast_lower_slow^40^80&emacd_start_decrease^50^80|sma_fast_crossunder_slow_3^100^280&trailing_stop^34^2.0|smi_k_crossover0^140^98^EMA
-12.257,25.714,0.749,35.0,12.694,emacd_lower_signal^45^117^31|rsi_neutral^90^70^30&price_crossunder_sma^180|price_crossunder_ema^220&trailing_stop^34^3.0|smi_k_crossover_d^230^138^161
-11.927,32.258,1.144,62.0,13.581,trix_decrease^50|kc_neutral^16.0^10.0^1.9&rvi_crossunder_signal^60^54|emacd_crossunder_signal^230^460^253&smacd_crossover_signal_3^220^616^176|trailing_stop^34^2.0
-11.303,18.421,1.959,38.0,14.247,smi_d_neutral^220^66^110^30.0^-30.0^SMA|adx_lower_threshold^170.0^10.0&kdj_d_crossunder50^230^138^207|stoch_k_crossunder_d_2^50^45^15^75&tsi_crossover0^190^95^SMA|trailing_stop^34^2.5
