total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-84.463,29.13,1.785,793.0,95.38,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^40^32|kc_price_crossunder_high^30.0^18.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-83.954,28.297,1.858,781.0,90.213,rvi_neutral^70^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossunder_ema^8|trix_start_decrease^12|kc_price_crossunder_high^30.0^18.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-81.54,29.114,1.812,790.0,91.425,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^60^24|kc_price_crossunder_high^30.0^18.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-80.729,29.672,1.778,792.0,93.249,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24|rvi_crossunder0^130^SMA&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-80.636,29.672,1.771,792.0,94.099,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^40^32|rvi_crossunder0^130^SMA&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-80.031,29.151,1.817,789.0,89.921,kc_neutral^10.0^8.0^1.7|rsi_neutral^8^80^20&price_crossunder_ema^8|rvi_crossunder_signal^60^24|kc_price_crossunder_high^30.0^18.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-79.91,29.836,1.764,791.0,93.453,rvi_neutral^70^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32|rvi_crossunder0^130^SMA&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-79.49,30.276,1.724,796.0,90.896,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32|roc_crossunder0^50&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-78.385,29.583,1.789,791.0,88.788,rvi_neutral^70^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossunder_ema^8|trix_start_decrease^12|rvi_crossunder_signal^40^32&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-77.844,29.822,1.784,788.0,90.344,rvi_neutral^70^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24|rvi_crossunder0^130^SMA&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-77.389,30.303,1.733,792.0,88.705,rsi_neutral^8^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32|roc_crossunder0^50&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-77.216,30.265,1.737,793.0,88.533,rsi_neutral^8^80^20|rsi_neutral^11^80^20&price_crossunder_ema^8|rvi_crossunder_signal^40^32|roc_crossunder0^50&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-76.699,30.435,1.722,782.0,87.567,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32|smacd_histogram_start_decrease^180^504^180&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-76.48,30.292,1.746,789.0,86.818,rvi_neutral^70^25.0^-25.0^EMA|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24|roc_crossunder0^50&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-76.425,30.33,1.732,788.0,88.459,rsi_neutral^11^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^40^32|roc_crossunder0^55&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-76.287,29.695,1.801,788.0,88.723,kc_neutral^10.0^8.0^1.7|rsi_neutral^8^80^20&price_crossunder_ema^8|rvi_crossunder_signal^60^24|rvi_crossunder0^130^SMA&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-76.199,30.215,1.754,791.0,86.479,kc_neutral^10.0^8.0^1.7|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24|roc_crossunder0^50&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-76.049,29.62,1.807,790.0,85.746,rvi_neutral^8^35.0^-35.0^SMA|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24|trix_start_decrease^12&rvi_crossover_signal^20^12|trailing_stop^34^1.5
-76.032,34.808,1.415,520.0,90.716,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossunder_ema^8|rvi_crossunder_signal^60^24|roc_crossunder0^55&roc_crossover0^55|trailing_stop^34^1.5
-75.768,30.253,1.753,790.0,86.049,rsi_neutral^8^80^20|convexity_higher1^12^EMA&price_crossunder_ema^8|rvi_crossunder_signal^60^24|roc_crossunder0^50&rvi_crossover_signal^20^12|trailing_stop^34^1.5
