开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.034,45.611,4.774,2.887,0.958,9.553,15.8,0.827,0.13,17.0,52.941,3.607,46.207,1.7,supertrend_short_period^30.0^1.5|stoch_k_neutral^11^7^55^45&aroon_diff_crossunder0^100|rsi_crossunder50^190|tsi_crossunder0^230^161^SMA&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.042,45.638,6.014,2.864,0.792,7.588,15.933,0.834,0.21,8.0,50.0,4.429,49.091,0.8,stoch_k_neutral^11^7^55^45|mass_higher1^8^4&rvi_crossunder0^120^SMA|bb_price_crossunder_low^230.0^3.1|kc_price_crossunder_high^30.0^18.0^3.7&trailing_stop^34^3.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.051,45.67,10.005,1.663,0.845,4.565,27.466,1.438,0.753,26.0,50.0,1.848,50.156,2.6,rvi_lower_signal^45^14|smi_d_neutral^11^3^3^5.0^-5.0^SMA&adx_plus_crossunder_minus^90|price_crossunder_sma_2^100|emacd_histogram_start_decrease_2^220^528^308&emacd_start_increase^150^420|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.062,45.708,2.238,3.19,0.733,20.425,14.329,0.75,0.095,13.0,53.846,6.208,54.321,1.3,stoch_k_neutral^11^7^55^45|adx_lower_threshold^100.0^25.0&smi_k_crossunder_d^120^60^60|kc_price_crossunder_low^8.0^10.0^3.9|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.065,45.718,3.892,2.961,0.931,11.747,15.44,0.808,0.106,21.0,52.381,4.02,50.685,2.1,adx_lower_threshold^100.0^25.0|convexity_lower1^6^SMA&emacd_histogram_start_decrease^220^572^308|smacd_histogram_start_decrease_2^120^288^168|trix_crossunder_signal^230^184&rvi_crossover_signal^20^12|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,15.097,45.825,3.986,2.78,0.717,11.495,16.484,0.863,0.112,19.0,68.421,2.302,49.286,1.9,stoch_k_neutral^11^7^55^45|mass_higher1^8^4&price_crossunder_sma_2^100|mass_crossover1^140^42|kc_price_crossunder_low^18.0^7.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.11,45.87,3.719,3.4,1.436,12.335,13.491,0.706,1.053,6.0,66.667,5.987,48.551,0.6,smi_d_neutral^11^3^3^5.0^-5.0^SMA|skew_positive^6^EMA&kc_price_crossunder_high_2^10.0^4.0^1.5|tsi_crossunder_signal^190^152^57^SMA|kdj_k_crossunder_d_2^29^14^9^85&trailing_stop^34^3.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.13,45.938,4.402,2.822,0.705,10.436,16.278,0.852,0.096,19.0,57.895,3.221,49.167,1.9,stoch_k_neutral^11^7^55^45|mass_higher1^8^4&price_crossunder_sma_2^100|smi_k_crossunder_d^120^60^60|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.137,45.963,2.469,3.253,0.639,18.616,14.13,0.74,0.073,9.0,55.556,20.175,53.488,0.9,supertrend_short_period^30.0^1.5|stoch_k_neutral^11^7^55^45&smi_k_crossunder_d^120^60^60|smacd_histogram_start_decrease^180^504^180|kdj_k_crossunder_d_2^29^14^9^85&rvi_crossover_signal^20^12|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.147,45.997,9.643,1.76,0.594,4.77,26.136,1.368,0.336,26.0,50.0,1.879,49.301,2.6,stoch_k_neutral^11^7^55^45|convexity_higher1^8^SMA&price_crossunder_sma^170|kc_price_crossunder_high_2^16.0^6.0^1.7|rsi_crossunder50^190&smacd_histogram_start_increase^70^112^70|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.174,46.087,5.166,2.435,0.684,8.922,18.924,0.991,0.11,26.0,50.0,3.455,44.149,2.6,rvi_oversold^17^0.0^SMA|stoch_k_neutral^11^7^55^45&rsi_fast_crossunder_slow^80^128|smi_k_crossunder_d^120^60^60|kc_price_crossunder_low_2^18.0^7.0^3.7&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.183,46.12,6.156,2.333,0.79,7.492,19.77,1.035,0.099,33.0,48.485,2.681,41.589,3.3,stoch_k_neutral^11^7^55^45|mass_higher1^8^4&aroon_diff_crossunder0^100|rsi_fast_crossunder_slow^80^128|smacd_histogram_start_decrease_2^120^288^168&rvi_crossover_signal^20^12|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.228,46.273,6.781,2.552,0.748,6.824,18.13,0.949,0.433,11.0,54.545,2.807,51.603,1.1,tsi_oversold^8^2^0.0^SMA|smi_d_neutral^11^3^3^5.0^-5.0^SMA&price_crossunder_sma_2^100|kc_price_crossunder_high^25.0^30.0^3.9|adx_crossover_threshold^220.0^15.0&trailing_stop^34^2.0|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.228,46.273,6.781,2.552,0.748,6.824,18.13,0.949,0.433,11.0,54.545,2.807,51.603,1.1,tsi_oversold^8^2^0.0^SMA|smi_d_neutral^11^3^3^5.0^-5.0^SMA&price_crossunder_sma_2^100|kc_price_crossunder_low_2^18.0^7.0^3.7|bb_price_crossunder_low_2^230.0^3.7&trailing_stop^34^2.0|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.23,46.278,4.607,3.04,0.815,10.046,15.222,0.797,0.146,11.0,54.545,4.539,51.429,1.1,smi_oversold^8^2^0.0^SMA|stoch_k_neutral^11^7^55^45&rvi_crossunder0^120^SMA|kc_price_crossunder_high^30.0^18.0^3.7|kdj_k_crossunder_d_2^11^10^6^85&rvi_crossover_signal^20^12|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.235,46.296,4.126,2.484,0.783,11.22,18.64,0.976,0.101,29.0,48.276,3.394,43.455,2.9,stoch_k_neutral^11^7^55^45|mass_higher1^8^4&rsi_fast_crossunder_slow^80^128|smi_k_crossunder_d^120^60^60|kdj_k_crossunder50^250^175&rvi_crossover_signal^20^12|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.269,46.413,9.22,2.238,1.078,5.034,20.736,1.085,0.357,34.0,52.941,1.623,48.492,3.4,stoch_d_oversold^50^40^45^50|stoch_k_neutral^11^7^55^45&adx_plus_crossunder_minus^8|smi_k_crossunder_d^250^225^225|kdj_k_crossunder_d_2^29^14^9^85&smacd_histogram_start_increase_2^60^108^72|trailing_stop^34^2.5
