total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-55.683,28.884,1.426,502.0,57.724,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&adx_plus_crossunder_minus^10|price_crossunder_ema^20|roc_crossunder0^30&roc_crossover0^30|trailing_stop^34^1.5
-55.577,28.656,1.448,506.0,57.645,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&adx_plus_crossunder_minus^8|price_crossunder_ema^20|roc_crossunder0^30&roc_crossover0^30|trailing_stop^34^1.5
-54.895,29.563,1.368,504.0,57.036,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|roc_crossunder0^30|rsi_fast_crossunder_slow^25^60&roc_crossover0^30|trailing_stop^34^1.5
-54.841,29.331,1.397,508.0,56.881,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|roc_crossunder0^30|rvi_crossunder_signal^90^63&roc_crossover0^30|trailing_stop^34^1.5
-53.107,29.505,1.409,505.0,56.101,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&adx_plus_crossunder_minus^8|roc_crossunder0^30|rvi_crossunder_signal^120^60&roc_crossover0^30|trailing_stop^34^1.5
-53.104,24.561,1.788,456.0,55.27,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|rvi_crossunder_signal^90^63|rsi_fast_crossunder_slow^25^60&trailing_stop^34^1.5|emacd_start_increase^55^99
-52.679,23.62,1.871,453.0,54.338,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|emacd_start_decrease^50^100|rsi_fast_crossunder_slow^25^60&trailing_stop^34^1.5|emacd_start_increase^55^99
-51.964,24.229,1.844,454.0,54.09,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossunder_ema^20|emacd_start_decrease^50^100|rvi_crossunder_signal^90^63&trailing_stop^34^1.5|emacd_start_increase^55^99
-51.788,26.106,1.69,452.0,54.024,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&adx_plus_crossunder_minus^8|price_crossunder_ema^20|emacd_start_decrease^50^100&trailing_stop^34^1.5|emacd_start_increase^55^99
-51.624,25.333,1.758,450.0,53.886,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&adx_plus_crossunder_minus^10|price_crossunder_ema^20|emacd_start_decrease^50^100&trailing_stop^34^1.5|emacd_start_increase^55^99
