开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.01,45.531,3.237,3.545,1.733,14.067,12.845,0.672,0.561,28.0,50.0,3.386,48.249,2.8,stoch_d_neutral^20^10^6^55^45|mass_higher1^220^154&adx_plus_crossunder_minus^8|roc_crossunder0^40|stoch_k_crossunder_d_2^230^138^115^85&emacd_histogram_start_increase^150^360^90|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.04,45.632,4.497,3.088,1.869,10.148,14.779,0.774,0.579,45.0,51.111,2.012,49.267,4.5,rvi_signal_oversold^11^3^0.0^SMA|stoch_d_neutral^20^10^6^55^45&trix_start_decrease^35|emacd_start_decrease^50^100|rvi_crossunder_signal^120^60&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.083,45.779,2.901,4.133,1.964,15.782,11.077,0.58,0.849,14.0,64.286,2.543,49.743,1.4,smi_d_neutral^11^8^8^10.0^-10.0^SMA|atr_fast_higher_slow^110^286&trix_start_decrease^35|trix_start_decrease^230|kc_price_crossunder_low^18.0^7.0^3.7&adx_crossover_threshold^45.0^35.0|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.089,45.799,5.114,3.391,1.713,8.955,13.505,0.707,0.961,18.0,55.556,2.832,50.044,1.8,kdj_k_lower_d^8^7^7|stoch_d_neutral^20^10^6^55^45&trix_start_decrease^35|emacd_crossunder_signal_2^230^644^299|kc_price_crossunder_low_2^8.0^3.0^1.9&adx_crossunder_threshold^230.0^20.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.104,45.849,3.519,3.613,1.594,13.027,12.691,0.664,0.601,19.0,52.632,4.281,49.332,1.9,rvi_signal_oversold^11^3^0.0^SMA|kdj_k_neutral^90^54^55^45&price_crossunder_sma^45|rvi_crossunder_signal^90^63|bb_price_crossunder_low_2^180.0^3.3&ema_fast_crossover_slow^160^256|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.117,45.892,5.745,2.883,2.09,7.988,15.92,0.833,0.662,53.0,49.057,2.068,48.695,5.3,stoch_d_neutral^20^10^6^55^45|convexity_higher1^16^EMA&trix_start_decrease^35|roc_crossunder0^40|rvi_crossunder0^240^EMA&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.121,45.908,4.173,3.042,2.04,11.002,15.093,0.79,0.542,55.0,50.909,1.921,49.795,5.5,stoch_k_lower_d^11^10^10|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|kdj_k_crossunder_d^60^30^18|emacd_crossunder_signal^230^552^322&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.152,46.014,5.211,3.688,1.448,8.83,12.478,0.653,0.784,15.0,60.0,2.311,50.649,1.5,stoch_d_neutral^20^10^6^55^45|mass_higher1^220^154&trix_start_decrease^35|supertrend_short_signal^230.0^3.5|rsi_crossunder50^240&smi_k_crossover0^190^114^EMA|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.157,46.031,4.969,3.519,1.971,9.264,13.079,0.685,0.668,28.0,53.571,2.514,49.02,2.8,adx_plus_lower_minus^210|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|emacd_crossunder_signal^230^552^322|bb_price_crossunder_low_2^180.0^3.3&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.158,46.035,4.259,3.271,2.103,10.808,14.075,0.737,0.508,49.0,53.061,1.92,49.234,4.9,adx_plus_lower_minus^210|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|emacd_crossunder_signal_2^220^396^286|stoch_k_crossunder_d_2^230^138^115^85&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.171,46.077,2.646,3.912,1.634,17.414,11.778,0.616,0.818,13.0,61.538,4.922,50.575,1.3,stoch_k_lower_d^11^10^10|kdj_k_neutral^90^54^55^45&trix_start_decrease^35|mass_crossover1^90^27|kdj_k_crossunder_d^50^45^15&sma_fast_crossover_slow_2^110^220|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.175,46.091,3.961,3.525,2.195,11.635,13.074,0.684,0.609,40.0,60.0,1.754,49.843,4.0,rvi_lower_signal^16^6|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|emacd_crossunder_signal_2^230^644^299|sma_fast_crossunder_slow_2^100^280&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.18,46.108,4.173,3.054,2.05,11.05,15.1,0.79,0.543,55.0,50.909,1.928,49.77,5.5,stoch_k_lower_d^11^10^10|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|kdj_k_crossunder_d^60^30^18|kdj_k_crossunder50^240^144&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.195,46.158,6.383,3.043,1.798,7.231,15.167,0.794,0.675,36.0,50.0,2.446,48.805,3.6,stoch_d_neutral^20^10^6^55^45|skew_positive^12^EMA&emacd_start_decrease^50^100|roc_crossunder0^40|adx_crossover_threshold^45.0^35.0&stoch_k_crossover_d^80^72^24|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.208,46.204,6.773,2.558,1.954,6.821,18.065,0.946,0.687,60.0,51.667,1.618,49.018,6.0,rvi_signal_oversold^11^3^0.0^SMA|smi_d_neutral^11^8^8^10.0^-10.0^SMA&adx_plus_crossunder_minus^10|trix_start_decrease^35|trix_crossunder0^120&kdj_k_crossover_d_2^190^171^95^15|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.225,46.262,3.405,3.905,1.579,13.586,11.847,0.62,0.68,16.0,50.0,5.484,48.876,1.6,stoch_d_neutral^20^10^6^55^45|mass_higher1^220^154&roc_crossunder0^40|kdj_d_crossunder50^230^69^69|adx_crossunder_threshold^200.0^20.0&emacd_histogram_start_increase^150^360^90|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.257,46.37,4.95,3.275,2.192,9.368,14.16,0.741,0.586,51.0,49.02,2.242,49.898,5.1,stoch_d_neutral^20^10^6^55^45|skew_positive^12^EMA&price_crossunder_ema^20|emacd_start_decrease^50^100|roc_crossunder0^40&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.263,46.392,6.513,2.79,1.817,7.124,16.625,0.87,0.603,52.0,50.0,1.823,49.659,5.2,kdj_k_lower_d^8^7^7|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|rsi_fast_crossunder_slow^25^60|smacd_histogram_start_decrease_2^230^460^322&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.295,46.499,3.324,3.556,1.507,13.989,13.077,0.684,0.609,19.0,52.632,4.245,49.273,1.9,smacd_lower_signal^10^14^7|stoch_d_neutral^20^10^6^55^45&roc_crossunder0^40|bb_price_crossunder_high^20.0^3.9|adx_crossover_threshold^45.0^35.0&emacd_histogram_start_increase^150^360^90|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.318,46.58,2.873,3.6,1.82,16.212,12.939,0.677,0.559,29.0,51.724,3.845,49.293,2.9,smi_d_oversold^8^4^6^0.0^SMA|kdj_k_neutral^90^54^55^45&price_crossunder_ema^25|price_crossunder_sma^45|kc_price_crossunder_low_2^8.0^3.0^1.9&stoch_k_crossover_d^80^72^24|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.329,46.617,5.203,3.349,2.081,8.96,13.92,0.729,0.617,38.0,52.632,2.103,48.795,3.8,bb_neutral^160.0^2.5|stoch_d_neutral^20^10^6^55^45&aroon_diff_crossunder0^190|roc_crossunder0^40|smacd_crossunder_signal^200^560^200&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.335,46.637,3.643,4.006,2.079,12.802,11.641,0.609,0.687,24.0,54.167,3.771,50.926,2.4,tsi_neutral^50^20^5.0^-5.0^SMA|kdj_d_neutral^8^2^2^60^40&rvi_crossunder_signal^120^60|kdj_k_crossunder50^240^144|bb_price_crossunder_high_2^16.0^2.5&smacd_start_increase^140^364|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.342,46.662,4.719,3.308,1.77,9.889,14.104,0.738,0.554,38.0,50.0,2.431,49.129,3.8,emacd_histogram_decrease^25^35^18|stoch_d_neutral^20^10^6^55^45&mass_crossover1^80^72|emacd_start_decrease^50^100|stoch_k_crossunder_d_2^240^216^216^85&aroon_diff_crossover0^50|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.353,46.699,3.747,3.832,2.261,12.464,12.186,0.638,0.56,38.0,57.895,2.247,50.467,3.8,stoch_k_lower_d^11^10^10|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|trix_crossunder0^120|smi_d_crossunder0^210^147^63^SMA&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.368,46.749,4.226,3.349,2.078,11.062,13.96,0.731,0.533,46.0,56.522,1.899,49.689,4.6,adx_plus_lower_minus^210|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|bb_price_crossunder_low^18.0^3.9|kc_price_crossunder_low^18.0^7.0^3.7&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.372,46.762,4.485,3.442,2.218,10.426,13.587,0.711,0.55,46.0,54.348,2.044,49.668,4.6,adx_plus_lower_minus^210|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|smacd_crossunder_signal_2^220^396^220|emacd_crossunder_signal_3^230^368^299&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.383,46.8,5.989,2.798,1.883,7.814,16.724,0.875,0.554,58.0,48.276,1.901,48.858,5.8,emacd_histogram_decrease^8^21^8|stoch_d_neutral^20^10^6^55^45&emacd_start_decrease^45^108|roc_crossunder0^40|trix_crossunder0^120&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.407,46.882,3.656,3.46,2.166,12.823,13.548,0.709,0.576,44.0,59.091,1.708,50.422,4.4,rvi_signal_oversold^11^3^0.0^SMA|smi_d_neutral^11^8^8^10.0^-10.0^SMA&trix_start_decrease^35|ma_atr_short_signal^12.0^14.0^2.8|kdj_k_crossunder_d_2^190^171^171^85&smacd_start_increase^140^364|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.453,47.039,6.117,2.62,2.049,7.69,17.953,0.94,0.609,70.0,50.0,1.697,49.032,7.0,stoch_k_lower_d^11^10^10|smi_d_neutral^11^8^8^10.0^-10.0^SMA&adx_plus_crossunder_minus^10|adx_plus_crossunder_minus^8|trix_start_decrease^35&aroon_diff_crossover0^50|trailing_stop^34^3.0
