total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-25.053,27.826,1.81,230.0,32.214,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|emacd_histogram_start_decrease^190^266^209&sma_fast_crossover_slow_3^25^45|trailing_stop^34^2.5
-23.861,25.0,2.107,232.0,30.165,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|trix_crossunder0^230&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-23.811,27.391,1.871,230.0,30.521,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|emacd_histogram_start_decrease^210^294^168&sma_fast_crossover_slow_3^25^45|trailing_stop^34^2.0
-23.811,27.391,1.871,230.0,30.521,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|emacd_histogram_start_decrease^210^294^168&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-23.811,27.391,1.871,230.0,30.521,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|emacd_histogram_start_decrease^210^294^168&trailing_stop^34^3.5|sma_fast_crossover_slow_3^25^45
-23.811,27.391,1.871,230.0,30.521,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|emacd_histogram_start_decrease^210^294^168&sma_fast_crossover_slow_3^25^45|trailing_stop^34^2.5
-23.535,26.407,1.978,231.0,30.78,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossunder_ema^20|price_crossunder_sma_2^25|rvi_crossunder_signal^130^65&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-23.406,25.108,2.109,231.0,29.711,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|sma_fast_crossunder_slow_3^200^320&sma_fast_crossover_slow_3^25^45|trailing_stop^34^2.5
-23.406,25.108,2.109,231.0,29.711,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|sma_fast_crossunder_slow_3^200^320&sma_fast_crossover_slow_3^25^45|trailing_stop^34^1.5
-23.406,25.108,2.109,231.0,29.711,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossunder_sma^20|price_crossunder_sma_2^25|sma_fast_crossunder_slow_3^200^320&trailing_stop^34^3.5|sma_fast_crossover_slow_3^25^45
-23.397,25.108,2.109,231.0,30.646,bb_neutral^80.0^2.9|rsi_neutral^23^75^25&price_crossunder_sma^20|price_crossunder_sma_2^25|sma_fast_crossunder_slow_3^200^320&sma_fast_crossover_slow_3^25^45|trailing_stop^34^2.5
-23.397,25.108,2.109,231.0,30.646,bb_neutral^80.0^2.9|rsi_neutral^23^75^25&price_crossunder_sma^20|price_crossunder_sma_2^25|sma_fast_crossunder_slow_3^200^320&sma_fast_crossover_slow_3^25^45|trailing_stop^34^2.0
