开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.005,45.515,4.048,3.4,2.318,11.243,13.388,0.701,1.618,17.0,52.941,2.754,49.695,1.7,rvi_neutral^29^35.0^-35.0^EMA|convexity_lower1^8^EMA&rsi_crossunder50^70|price_crossunder_sma_2^25|trix_crossunder0^200&emacd_crossover_signal^70^182^42|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,15.005,45.515,4.048,3.4,2.318,11.243,13.388,0.701,1.618,17.0,52.941,2.754,49.695,1.7,rvi_neutral^29^35.0^-35.0^EMA|convexity_lower1^8^EMA&rsi_crossunder50^70|price_crossunder_sma_2^25|adx_crossover_threshold^170.0^15.0&emacd_crossover_signal^70^182^42|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.011,45.533,3.994,3.448,2.05,11.399,13.204,0.691,1.274,18.0,50.0,4.51,49.7,1.8,kdj_k_lower_d^8^6^6|convexity_lower1^8^EMA&rsi_crossunder50^11|stoch_k_crossunder_d^250^225^225|tsi_crossunder_signal^200^140^100^EMA&emacd_start_increase^120^288|trailing_stop^34^2.0
2026-02-01 23:00:00,2026-06-18,15.011,45.533,3.994,3.448,2.05,11.399,13.204,0.691,1.274,18.0,50.0,4.51,49.7,1.8,kdj_k_lower_d^8^6^6|convexity_lower1^8^EMA&rsi_crossunder50^11|aroon_diff_crossunder0^140|tsi_crossunder_signal^200^140^100^EMA&emacd_start_increase^120^288|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.012,45.536,4.54,3.085,2.169,10.03,14.763,0.773,1.282,25.0,56.0,2.718,50.429,2.5,rsi_neutral^23^75^25|convexity_lower1^8^SMA&price_crossunder_ema^20|rsi_crossunder50^11|price_crossunder_sma^20&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.017,45.555,6.291,2.811,2.183,7.241,16.206,0.848,1.636,23.0,52.174,2.138,48.823,2.3,trix_decrease^8|convexity_lower1^8^EMA&rsi_crossunder50^11|emacd_start_decrease^210^546|price_crossunder_sma_2^25&emacd_crossover_signal^70^182^42|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.02,45.565,4.837,3.023,2.268,9.421,15.074,0.789,1.33,28.0,57.143,1.795,49.713,2.8,emacd_histogram_decrease^12^29^16|convexity_lower1^8^EMA&rsi_crossunder50^11|price_crossunder_sma^20|emacd_histogram_start_decrease^210^294^168&stoch_k_crossover_d^80^48^72|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.025,45.581,3.389,3.684,2.571,13.452,12.373,0.648,1.75,14.0,57.143,4.382,49.002,1.4,kc_neutral^80.0^32.0^3.7|convexity_lower1^8^EMA&adx_plus_crossunder_minus^180|price_crossunder_sma_2^25|kc_price_crossunder_high_2^30.0^12.0^3.9&smacd_histogram_start_increase^230^460^253|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.026,45.586,7.427,2.422,1.743,6.138,18.819,0.985,1.933,26.0,57.692,1.759,49.863,2.6,price_lower_ema^170|smacd_lower_signal^180^324^252&rsi_crossunder50^11|kc_price_crossunder_high^150.0^90.0^3.9|kdj_k_crossunder_d_2^210^168^105^85&kdj_k_crossover_d^80^72^72|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.039,45.629,4.059,3.781,2.011,11.243,12.069,0.632,1.362,12.0,75.0,3.438,51.121,1.2,convexity_higher1^6^EMA|convexity_lower1^8^EMA&price_crossunder_sma^25|stoch_k_crossunder_d_2^250^225^225^70|sma_fast_crossunder_slow_2^180^468&rvi_signal_crossover0^30^24^EMA|trailing_stop^34^3.5
