total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-52.443,33.754,1.492,317.0,58.755,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98|smacd_start_decrease^60^108&stoch_k_crossover50^210^168|trailing_stop^34^1.5
-52.027,35.127,1.41,316.0,58.379,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98|smacd_start_decrease^60^108&trailing_stop^34^1.5|smi_k_crossover_d_2^210^189^189^45
-51.553,34.494,1.452,316.0,57.951,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98|smacd_start_decrease^60^108&stoch_d_crossover50^210^84^105|trailing_stop^34^1.5
-51.324,34.385,1.462,317.0,57.744,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98|smacd_start_decrease^60^108&smi_k_crossover0^190^95^SMA|trailing_stop^34^1.5
-45.721,36.196,1.393,326.0,52.681,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^140^224^98|smacd_start_decrease^60^108&smacd_start_increase^180^360|trailing_stop^34^1.5
-45.017,32.215,1.639,298.0,48.236,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_start_decrease^90^198|smacd_start_decrease^60^108&smi_k_crossover_d_2^250^150^225^30|trailing_stop^34^1.5
-40.184,37.975,1.307,316.0,44.383,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&rvi_crossunder_signal^160^128|emacd_histogram_start_decrease^150^210^90|smacd_start_decrease^60^108&smacd_start_increase^180^360|trailing_stop^34^1.5
-38.999,34.426,1.531,305.0,46.388,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|rvi_crossunder_signal^160^128|smacd_start_decrease^60^108&smi_k_crossover0^190^95^SMA|trailing_stop^34^1.5
-37.826,33.333,1.619,303.0,42.98,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^90|emacd_start_decrease^90^198|smacd_start_decrease^60^108&smacd_start_increase^180^360|trailing_stop^34^1.5
-35.082,35.35,1.506,314.0,40.684,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|rvi_crossunder_signal^160^128|smacd_start_decrease^60^108&smacd_start_increase^180^360|trailing_stop^34^1.5
-34.055,35.897,1.495,312.0,44.107,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^150^210^90|smacd_start_decrease^60^108&smi_k_crossover0^190^95^SMA|trailing_stop^34^1.5
-34.026,35.238,1.524,315.0,39.719,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&rvi_crossunder_signal^170^119|price_crossunder_ema^80|smacd_start_decrease^60^108&smacd_start_increase^180^360|trailing_stop^34^1.5
-33.819,36.859,1.437,312.0,43.544,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^150^210^90|smacd_start_decrease^60^108&smi_k_crossover_d_2^250^150^225^30|trailing_stop^34^1.5
-33.238,36.013,1.493,311.0,43.269,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^150^210^90|smacd_start_decrease^60^108&kdj_d_crossover50^220^132^110|trailing_stop^34^1.5
-32.693,36.57,1.463,309.0,42.556,bb_neutral^18.0^3.5|convexity_higher1^14^SMA&price_crossunder_ema^80|emacd_histogram_start_decrease^150^210^90|smacd_start_decrease^60^108&trailing_stop^34^1.5|bb_price_crossover_low^20.0^3.8999999999999995
