开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.013,45.541,6.311,2.245,0.768,7.216,20.287,1.062,0.204,14.0,50.0,3.205,48.663,1.4,roc_lower0^90|tsi_neutral^50^45^5.0^-5.0^EMA&kc_price_crossunder_low^45.0^45.0^3.9|aroon_diff_crossunder0^190|smi_k_crossunder_d^210^168^63&trailing_stop^34^3.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.023,45.574,6.322,2.441,1.072,7.208,18.668,0.977,0.272,42.0,52.381,1.759,51.07,4.2,tsi_neutral^16^11^5.0^-5.0^SMA|mass_higher1^8^7&price_crossunder_ema^80|price_crossunder_ema^90|rsi_crossunder50^140&smi_k_crossover0^190^95^SMA|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.033,45.608,8.696,2.126,0.729,5.245,21.457,1.123,0.257,39.0,48.718,1.786,52.214,3.9,price_lower_sma^110|tsi_neutral^16^11^5.0^-5.0^SMA&price_crossunder_ema^80|rvi_crossunder0^250^SMA|sma_fast_crossunder_slow^200^320&trailing_stop^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.037,45.623,7.421,2.524,1.005,6.148,18.076,0.946,0.569,13.0,53.846,2.72,51.653,1.3,kdj_k_oversold^90^54^50|rsi_neutral^11^55^45&smacd_start_decrease^220^572|smi_k_crossunder_d^240^144^72|smi_d_crossunder0^220^154^154^EMA&smacd_start_increase^180^360|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.043,45.642,6.218,2.688,1.084,7.34,16.983,0.889,0.261,35.0,54.286,1.671,51.591,3.5,tsi_neutral^16^11^5.0^-5.0^SMA|mass_higher1^8^7&price_crossunder_ema^80|adx_plus_crossunder_minus^140|trix_crossunder0^30&smacd_start_increase^180^360|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.058,45.693,9.3,2.187,1.031,4.914,20.894,1.094,0.909,12.0,58.333,1.86,48.739,1.2,tsi_oversold^80^32^0.0^SMA|stoch_k_oversold^8^4^50&rsi_crossunder50^140|stoch_d_crossunder50^250^175^175|stoch_k_crossunder_d_2^230^207^207^85&tsi_crossover_signal^230^161^115^SMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.063,45.709,7.782,1.644,0.994,5.873,27.805,1.455,0.766,29.0,51.724,1.598,50.241,2.9,tsi_neutral^16^11^5.0^-5.0^SMA|rvi_neutral^20^5.0^-5.0^EMA&price_crossunder_ema^80|rsi_crossunder50^140|aroon_diff_crossunder0^190&smi_d_crossover0^180^90^54^EMA|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.064,45.715,6.56,2.449,0.987,6.969,18.668,0.977,0.263,38.0,50.0,1.951,51.149,3.8,tsi_neutral^16^11^5.0^-5.0^SMA|mass_higher1^8^7&price_crossunder_ema^90|price_crossunder_sma_2^70|sma_fast_crossunder_slow_3^220^528&bb_price_crossover_low_2^80.0^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.064,45.715,6.56,2.449,0.987,6.969,18.668,0.977,0.263,38.0,50.0,1.951,51.149,3.8,tsi_neutral^16^11^5.0^-5.0^SMA|mass_higher1^8^7&price_crossunder_ema^90|price_crossunder_sma_2^70|sma_fast_crossunder_slow_3^220^528&trailing_stop^34^2.5|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.064,45.715,6.56,2.449,0.987,6.969,18.668,0.977,0.263,38.0,50.0,1.951,51.149,3.8,tsi_neutral^16^11^5.0^-5.0^SMA|mass_higher1^8^7&price_crossunder_ema^90|price_crossunder_sma_2^70|sma_fast_crossunder_slow_3^220^528&trailing_stop^34^1.5|trailing_stop^34^3.0
