param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
45.0,roc_lower0^45,2026-03-01 23:00:00,2026-06-17 23:45:00,-8.982,-33.724,45.278,-0.355,-0.397,-0.745,95.001,4.973,0.227,476.0,69.748,0.441,49.774,0.0,2.397,33.358,43.939,0.247,0.264,0.759,135.171,7.075,0.203,148.0,67.568,0.531,49.803,0.0,-20.716,-888.868,27.552,-10.11,-12.582,-32.262,87.917,4.602,0.217,138.0,64.493,0.419,49.017,0.0,7.89,144.592,18.293,2.193,2.503,7.904,65.932,3.451,0.248,125.0,76.0,0.388,51.509,0.0,3.905,127.734,8.892,2.162,3.32,14.364,59.073,3.092,0.25,68.0,73.529,0.426,48.161,0.0,roc_lower0,[45],,,,,
8.0,roc_lower0^8,2026-03-01 23:00:00,2026-06-17 23:45:00,50.345,296.575,25.841,3.122,4.007,11.477,95.0,4.973,0.095,1143.0,65.092,0.607,50.565,0.0,54.149,19140.713,21.667,141.607,189.194,883.411,135.168,7.075,0.097,309.0,66.99,0.653,52.116,0.0,-15.161,-457.38,25.841,-5.205,-6.453,-17.699,87.881,4.6,0.105,286.0,64.336,0.496,50.155,0.0,17.821,590.005,15.048,8.96,11.433,39.208,65.848,3.447,0.089,347.0,65.994,0.627,51.249,0.0,-2.395,-66.287,17.198,-1.12,-1.425,-3.854,59.194,3.098,0.084,203.0,62.069,0.593,47.492,0.0,roc_lower0,[8],,,,,
14.0,aroon_diff_lower0^14,2026-03-01 23:00:00,2026-06-17 23:45:00,9.545,36.071,36.834,0.399,0.466,0.979,90.421,4.733,0.207,522.0,62.644,0.634,49.831,0.0,-0.774,-9.824,32.183,-0.08,-0.089,-0.305,123.406,6.459,0.213,141.0,64.539,0.562,50.837,0.0,-10.189,-225.725,26.499,-2.568,-3.176,-8.518,87.898,4.601,0.213,141.0,60.284,0.616,49.12,0.0,38.301,4456.725,11.686,67.672,93.152,381.387,65.858,3.447,0.19,163.0,66.258,0.824,50.728,0.0,-11.091,-857.949,17.138,-14.534,-18.014,-50.061,59.029,3.09,0.213,80.0,55.0,0.594,47.826,0.0,aroon_diff_lower0,[14],,,,,
8.0,aroon_diff_lower0^8,2026-03-01 23:00:00,2026-06-17 23:45:00,39.361,206.907,21.823,2.304,2.853,9.481,89.804,4.701,0.126,857.0,62.777,0.663,50.141,0.0,27.026,1731.04,16.331,14.027,16.989,105.996,123.405,6.459,0.129,233.0,68.24,0.56,52.116,0.0,-3.351,-49.362,21.823,-0.577,-0.748,-2.262,85.53,4.477,0.132,228.0,60.965,0.642,49.224,0.0,19.566,720.506,20.398,10.927,14.475,35.323,65.939,3.451,0.127,244.0,60.246,0.827,50.728,0.0,-5.031,-187.057,12.704,-3.167,-4.135,-14.725,59.073,3.092,0.11,155.0,60.0,0.609,47.324,0.0,aroon_diff_lower0,[8],,,,,
20.0,price_lower_sma^20,2026-03-01 23:00:00,2026-06-17 23:45:00,-1.961,-6.78,44.56,-0.075,-0.085,-0.152,90.037,4.713,0.13,830.0,74.337,0.355,50.734,0.0,-22.361,-1062.075,44.56,-8.607,-9.262,-23.835,123.399,6.459,0.135,223.0,71.749,0.333,50.492,0.0,3.565,53.157,19.215,0.611,0.739,2.766,87.005,4.554,0.13,230.0,75.217,0.357,51.19,0.0,33.379,2873.589,12.482,43.623,58.16,230.224,65.873,3.448,0.127,245.0,76.327,0.467,51.769,0.0,-8.573,-485.366,13.499,-8.426,-10.388,-35.956,57.603,3.015,0.127,134.0,73.134,0.298,48.746,0.0,price_lower_sma,[20],,,,,
12.0,price_lower_sma^12,2026-03-01 23:00:00,2026-06-17 23:45:00,9.298,35.039,33.604,0.388,0.442,1.043,90.235,4.723,0.098,1100.0,73.909,0.37,51.116,0.0,-10.417,-233.479,32.912,-1.89,-2.089,-7.094,123.551,6.467,0.1,299.0,71.906,0.374,51.378,0.0,-13.8,-382.278,21.49,-4.393,-5.27,-17.788,87.02,4.555,0.105,286.0,72.028,0.35,50.155,0.0,34.822,3275.422,11.936,49.789,63.333,274.421,65.787,3.443,0.095,328.0,76.22,0.439,52.862,0.0,4.995,184.97,12.892,3.127,3.959,14.347,59.148,3.096,0.09,188.0,76.064,0.355,49.415,0.0,price_lower_sma,[12],,,,,
80.0,price_lower_ema^80,2026-03-01 23:00:00,2026-06-17 23:45:00,-8.051,-29.901,38.42,-0.315,-0.351,-0.778,95.025,4.974,0.247,438.0,83.79,0.197,49.958,0.0,11.768,286.572,38.42,2.119,2.276,7.459,135.217,7.078,0.218,138.0,84.783,0.217,49.852,0.0,-14.373,-412.663,23.738,-4.694,-5.761,-17.384,87.906,4.601,0.25,120.0,83.333,0.163,49.793,0.0,5.095,79.55,13.835,1.206,1.402,5.75,65.944,3.452,0.242,128.0,85.938,0.195,51.509,0.0,-8.588,-487.127,12.415,-8.238,-11.025,-39.236,59.129,3.095,0.315,54.0,77.778,0.193,47.91,0.0,price_lower_ema,[80],,,,,
90.0,price_lower_ema^90,2026-03-01 23:00:00,2026-06-17 23:45:00,2.209,7.662,37.766,0.081,0.09,0.203,95.026,4.974,0.269,402.0,83.333,0.215,49.887,0.0,24.742,1368.666,37.766,10.122,10.952,36.24,135.211,7.077,0.259,116.0,86.207,0.219,49.705,0.0,-9.871,-214.475,20.796,-2.44,-2.992,-10.313,87.907,4.601,0.246,122.0,83.607,0.174,50.052,0.0,2.62,35.604,13.835,0.54,0.626,2.574,65.947,3.452,0.258,120.0,83.333,0.226,51.301,0.0,-11.418,-920.371,14.104,-15.568,-20.495,-65.255,59.119,3.094,0.37,46.0,76.087,0.172,47.659,0.0,price_lower_ema,[90],,,,,
90.0,sma_fast_lower_slow^90^126,2026-03-01 23:00:00,2026-06-17 23:45:00,19.597,83.06,42.63,0.874,1.057,1.948,95.015,4.973,1.637,66.0,62.121,0.787,49.139,0.0,2.775,39.467,42.63,0.292,0.33,0.926,135.216,7.078,1.502,20.0,70.0,0.608,49.016,0.0,35.855,4065.474,20.403,46.274,73.731,199.258,87.857,4.599,1.579,19.0,57.895,1.433,49.327,0.0,-2.333,-31.214,18.296,-0.473,-0.573,-1.706,65.941,3.452,1.476,21.0,57.143,0.719,50.312,0.0,-12.325,-1114.499,14.64,-18.855,-24.532,-76.125,59.109,3.094,1.889,9.0,55.556,0.346,47.157,0.0,sma_fast_lower_slow,[ 90 126],126,,,,
90.0,sma_fast_lower_slow^90^144,2026-03-01 23:00:00,2026-06-17 23:45:00,49.227,286.695,38.645,3.018,3.637,7.419,94.999,4.972,1.929,56.0,64.286,0.873,49.322,0.0,17.992,646.928,38.645,4.786,5.391,16.74,135.183,7.076,1.878,16.0,75.0,0.715,49.36,0.0,53.907,18915.017,19.557,215.401,343.874,967.181,87.813,4.596,1.667,18.0,72.222,0.992,49.638,0.0,-13.302,-335.316,23.35,-5.085,-6.095,-14.36,65.94,3.451,1.938,16.0,37.5,0.847,49.74,0.0,-5.247,-200.014,14.64,-3.383,-4.422,-13.662,59.12,3.094,1.889,9.0,66.667,0.377,48.077,0.0,sma_fast_lower_slow,[ 90 144],144,,,,
