param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
250.0,smi_k_crossunder_d_2,[250 225 225  85],smi_k_crossunder_d_2^250^225^225^85,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,225,85
8.0,price_crossunder_ema,[8],price_crossunder_ema^8,4,4,731,0.103,0.0674962623012306,729,0.117,2.895,52.401,1.045,0.04,-139.55696202531647,0.08223099481865284,728,0.1,3.747,52.473,0.984,0.027,-185.41353383458645,0.07018681611956232,726,0.038,4.283,52.342,0.934,0.009,-312.03852327447834,0.026623600280177444,,,
12.0,price_crossunder_ema,[12],price_crossunder_ema^12,4,4,608,0.086,0.08204745098888383,606,0.111,2.91,53.3,0.997,0.038,-79.13385826771653,0.07799638144329897,605,0.135,3.724,52.893,0.996,0.036,-91.96428571428571,0.09484257518796992,603,0.104,4.15,52.902,0.954,0.025,-185.02747252747253,0.07298243855421685,,,
8.0,adx_plus_crossunder_minus,[8],adx_plus_crossunder_minus^8,4,4,390,0.055,0.11204949219628793,387,0.14,2.82,54.005,1.002,0.05,-143.34763948497854,0.09848652482269504,387,0.171,3.467,53.23,1.017,0.049,-152.07026348808031,0.12029038650129795,385,0.19,4.243,52.727,1.015,0.045,-200.00000000000006,0.1335955691727551,,,
90.0,supertrend_short_signal,[90.   2.9],supertrend_short_signal^90.0^2.9,4,4,101,0.014,0.13151814383559174,101,0.127,3.331,53.465,0.992,0.038,-205.6603773584906,0.08923894626238364,100,0.324,4.7,55.0,1.031,0.069,-293.4720908230842,0.22836347234042553,100,0.131,4.841,59.0,0.753,0.027,-656.1971830985915,0.0919481450113613,2.9,,
90.0,adx_plus_crossunder_minus,[90],adx_plus_crossunder_minus^90,4,4,101,0.014,0.14843943090840322,98,0.174,2.473,57.143,0.917,0.07,-94.2857142857143,0.1226569834209462,96,0.244,3.092,53.125,1.099,0.079,66.04938271604938,0.31970313065976713,96,-0.044,3.393,53.125,0.853,0.013,-1289.2241379310346,-0.044,,,
170.0,price_crossunder_sma,[170],price_crossunder_sma^170,4,4,110,0.016,0.15623821035892538,110,0.005,2.951,54.545,0.838,0.002,-417.9310344827586,0.0035005930193154865,110,0.519,3.755,58.182,1.045,0.138,-142.67053701015965,0.36832137683089217,110,0.312,4.375,55.455,0.97,0.071,-309.1506335053965,0.21995750399999997,,,
60.0,rvi_crossunder_signal,[60 24],rvi_crossunder_signal^60^24,4,4,490,0.069,0.1700547708055205,488,0.136,2.611,54.303,0.984,0.052,-129.98565279770443,0.09569587131367292,487,0.333,3.93,54.62,1.077,0.085,-61.566352429296586,0.23507512213740456,487,0.366,4.221,53.183,1.124,0.087,-138.9967637540453,0.2584214925373134,24,,
60.0,price_crossunder_sma_2,[60],price_crossunder_sma_2^60,4,4,162,0.023,0.17150684870533023,162,0.152,2.72,56.173,0.922,0.056,-193.17507418397625,0.1069945882352941,162,0.166,3.741,51.852,1.05,0.044,-313.95348837209303,0.11671561614541566,162,0.585,4.376,59.877,0.955,0.134,-72.92464878671775,0.41497434872029243,,,
12.0,trix_start_decrease,[12],trix_start_decrease^12,4,4,306,0.043,0.17520157247888013,306,0.202,2.561,54.902,1.041,0.079,-60.591133004926114,0.14251529871144086,305,0.287,4.307,54.098,1.055,0.067,-78.806767586821,0.20223871140004643,305,0.307,4.514,53.443,1.062,0.068,-149.51456310679612,0.2163615485157288,,,
40.0,rvi_crossunder_signal,[40 32],rvi_crossunder_signal^40^32,4,4,486,0.069,0.1752469797449054,484,0.144,2.581,53.926,1.01,0.056,-120.08486562942007,0.10136238667183263,483,0.35,3.912,55.694,1.046,0.089,-53.59477124183005,0.24719197341513288,483,0.357,4.167,53.416,1.11,0.086,-132.44956772334297,0.2520409719222462,32,,
100.0,supertrend_short_signal,[100.    2.9],supertrend_short_signal^100.0^2.9,4,4,101,0.014,0.18374861470807946,101,0.17,3.297,54.455,1.0,0.052,-124.25742574257426,0.1196135881104034,100,0.473,4.656,56.0,1.107,0.102,-189.99431495167713,0.3344636232817869,100,0.168,4.776,59.0,0.773,0.035,-507.5812274368231,0.11801366834170854,2.9,,
16.0,kc_price_crossunder_high_2,[16.   6.   1.7],kc_price_crossunder_high_2^16.0^6.0^1.7,4,0,2,0.0,0.21978478919885727,2,0.097,1.097,50.0,1.193,0.088,-1.0,0.06850039197812215,2,0.267,1.46,50.0,1.447,0.183,-1.0,0.19031796575342466,2,0.859,1.263,50.0,5.249,0.68,-1.0,0.642196017418844,6.0,1.7,
100.0,price_crossunder_sma_2,[100],price_crossunder_sma_2^100,4,4,92,0.013,0.23049327243922313,90,0.12,2.935,48.889,1.186,0.041,-363.15789473684214,0.08434344122657579,89,0.532,3.652,56.18,1.157,0.146,-167.19049444231507,0.3778248849945235,88,0.529,4.286,54.545,1.154,0.123,-198.92891918208377,0.3748704316378908,,,
