param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
40.0,roc_lower0^40,2026-03-01 23:00:00,2026-06-17 23:45:00,10.279,39.179,17.569,1.225,1.625,2.23,31.995,1.675,0.226,478.0,70.711,0.472,50.692,0.0,9.051,186.665,17.569,4.131,5.468,10.625,45.184,2.365,0.189,159.0,74.214,0.447,51.673,0.0,4.423,69.333,5.294,2.693,3.529,13.095,25.745,1.348,0.248,121.0,68.595,0.588,50.776,0.0,-2.961,-41.014,6.286,-1.869,-2.522,-6.524,21.947,1.149,0.246,126.0,69.048,0.376,51.301,0.0,-0.206,-4.527,8.675,-0.155,-0.245,-0.522,29.131,1.525,0.23,74.0,68.919,0.455,47.826,0.0,roc_lower0,[40],,,,,
190.0,roc_lower0^190,2026-03-01 23:00:00,2026-06-17 23:45:00,13.603,53.868,19.37,1.675,2.254,2.781,32.16,1.683,0.425,254.0,73.228,0.481,50.268,0.0,2.922,41.914,19.37,0.927,1.277,2.164,45.199,2.366,0.448,67.0,73.134,0.432,49.754,0.0,6.334,111.163,4.081,4.317,5.906,27.237,25.752,1.348,0.435,69.0,72.464,0.67,50.466,0.0,5.669,91.443,4.688,4.168,6.079,19.505,21.937,1.148,0.392,79.0,70.886,0.676,51.093,0.0,-1.767,-45.7,10.277,-1.512,-2.003,-4.447,30.23,1.582,0.405,42.0,78.571,0.234,49.415,0.0,roc_lower0,[190],,,,,
210.0,aroon_diff_lower0^210,2026-03-01 23:00:00,2026-06-17 23:45:00,4.202,14.92,20.035,0.464,0.617,0.745,32.156,1.683,2.349,46.0,63.043,0.671,49.703,0.0,-1.486,-19.64,20.035,-0.435,-0.579,-0.98,45.185,2.365,2.311,13.0,61.538,0.594,49.656,0.0,3.921,59.687,5.125,2.317,3.227,11.646,25.757,1.348,2.308,13.0,61.538,1.182,49.845,0.0,5.646,90.966,4.584,4.147,5.926,19.844,21.936,1.148,2.385,13.0,69.231,0.87,50.676,0.0,-3.658,-116.396,9.771,-3.85,-5.306,-11.912,30.23,1.582,1.7,10.0,60.0,0.436,47.91,0.0,aroon_diff_lower0,[210],,,,,
190.0,aroon_diff_lower0^190,2026-03-01 23:00:00,2026-06-17 23:45:00,18.721,78.569,19.521,2.443,3.304,4.025,32.156,1.683,2.161,50.0,74.0,0.558,49.859,0.0,1.999,27.19,19.521,0.602,0.805,1.393,45.187,2.365,2.311,13.0,69.231,0.518,49.754,0.0,7.663,145.622,5.257,5.654,8.18,27.7,25.754,1.348,2.0,15.0,73.333,0.934,50.362,0.0,8.424,159.257,4.61,7.262,11.175,34.543,21.931,1.148,2.067,15.0,80.0,0.588,50.104,0.0,-0.291,-6.453,8.799,-0.213,-0.294,-0.733,30.241,1.583,1.7,10.0,70.0,0.423,48.746,0.0,aroon_diff_lower0,[190],,,,,
130.0,price_lower_sma^130,2026-03-01 23:00:00,2026-06-17 23:45:00,5.328,19.17,17.846,0.596,0.755,1.074,32.169,1.684,0.281,384.0,86.719,0.17,51.13,0.0,-3.409,-50.302,17.846,-1.113,-1.429,-2.819,45.207,2.366,0.271,111.0,81.982,0.197,50.886,0.0,6.366,111.936,4.07,4.347,5.517,27.501,25.749,1.348,0.286,105.0,85.714,0.284,51.242,0.0,9.295,184.86,5.157,8.427,11.815,35.846,21.937,1.148,0.233,133.0,91.729,0.166,52.289,0.0,-6.201,-264.203,10.64,-8.736,-11.322,-24.831,30.245,1.583,0.447,38.0,84.211,0.088,49.415,0.0,price_lower_sma,[130],,,,,
120.0,price_lower_sma^120,2026-03-01 23:00:00,2026-06-17 23:45:00,8.862,33.229,15.466,1.033,1.292,2.149,32.167,1.684,0.25,432.0,88.426,0.151,51.497,0.0,2.543,35.691,15.466,0.79,1.016,2.308,45.201,2.366,0.237,127.0,87.402,0.161,51.378,0.0,6.851,124.011,3.987,4.815,6.069,31.103,25.754,1.348,0.248,121.0,89.256,0.211,51.656,0.0,6.919,119.898,5.267,5.463,7.43,22.763,21.946,1.149,0.23,135.0,90.37,0.161,52.289,0.0,-7.076,-334.413,11.495,-11.061,-13.235,-29.091,30.232,1.582,0.327,52.0,82.692,0.107,50.084,0.0,price_lower_sma,[120],,,,,
140.0,price_lower_ema^140,2026-03-01 23:00:00,2026-06-17 23:45:00,3.174,11.136,18.76,0.346,0.442,0.594,32.167,1.684,0.273,396.0,84.596,0.197,50.72,0.0,-3.194,-46.537,18.76,-1.029,-1.321,-2.481,45.211,2.366,0.257,117.0,84.615,0.165,50.984,0.0,6.28,109.854,4.015,4.274,5.565,27.358,25.703,1.345,0.27,111.0,82.883,0.347,50.621,0.0,6.737,115.521,4.519,5.256,7.528,25.562,21.981,1.151,0.252,123.0,86.992,0.236,51.405,0.0,-6.05,-253.259,10.179,-8.374,-10.889,-24.879,30.243,1.583,0.354,48.0,81.25,0.116,49.247,0.0,price_lower_ema,[140],,,,,
120.0,price_lower_ema^120,2026-03-01 23:00:00,2026-06-17 23:45:00,12.392,48.395,17.121,1.506,1.943,2.827,32.138,1.682,0.248,436.0,86.009,0.198,50.861,0.0,3.895,59.113,17.121,1.308,1.713,3.453,45.204,2.366,0.24,125.0,88.8,0.148,51.28,0.0,5.097,83.141,4.099,3.234,4.219,20.285,25.705,1.345,0.261,115.0,80.87,0.359,50.362,0.0,9.26,183.796,4.561,8.41,11.694,40.302,21.855,1.144,0.214,145.0,88.966,0.208,51.977,0.0,-5.794,-235.379,9.373,-7.787,-10.174,-25.114,30.228,1.582,0.315,54.0,81.481,0.119,49.08,0.0,price_lower_ema,[120],,,,,
45.0,sma_fast_lower_slow^45^126,2026-03-01 23:00:00,2026-06-17 23:45:00,3.03,10.611,22.585,0.33,0.434,0.47,32.161,1.683,1.385,78.0,67.949,0.522,50.0,0.0,-20.177,-833.593,20.983,-18.456,-24.352,-39.726,45.167,2.364,1.767,17.0,35.294,0.33,47.146,0.0,18.161,662.209,3.936,25.745,37.002,168.237,25.722,1.346,1.2,25.0,72.0,1.971,51.553,0.0,6.764,116.177,4.568,5.296,7.72,25.43,21.937,1.148,1.24,25.0,80.0,0.494,51.145,0.0,2.312,63.404,7.04,2.097,2.847,9.007,30.23,1.582,1.215,14.0,71.429,0.54,50.418,0.0,sma_fast_lower_slow,[ 45 126],126,,,,
30.0,sma_fast_lower_slow^30^42,2026-03-01 23:00:00,2026-06-17 23:45:00,10.79,41.37,15.379,1.286,1.733,2.69,32.162,1.683,0.569,190.0,63.158,0.688,49.873,0.0,4.122,63.377,15.379,1.402,1.893,4.121,45.196,2.366,0.546,55.0,63.636,0.685,49.459,0.0,3.956,60.35,5.103,2.343,3.321,11.827,25.757,1.348,0.536,56.0,62.5,0.766,50.0,0.0,5.326,84.257,4.499,3.84,5.371,18.727,21.94,1.148,0.596,52.0,69.231,0.63,51.613,0.0,-2.826,-81.99,7.324,-2.711,-3.874,-11.195,30.241,1.583,0.567,30.0,50.0,0.821,47.492,0.0,sma_fast_lower_slow,[30 42],42,,,,
