param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
10.0,adx_plus_crossunder_minus,[10],adx_plus_crossunder_minus^10,4,4,359,0.051,-0.08259999999999999,357,-0.06,0.95,44.538,1.03,0.063,0.0,-0.06,356,-0.112,1.207,47.472,0.848,0.093,0.0,-0.112,353,-0.095,1.515,47.309,0.936,0.063,0.0,-0.095,,,
8.0,adx_plus_crossunder_minus,[8],adx_plus_crossunder_minus^8,4,4,386,0.055,-0.07139999999999999,384,-0.06,0.948,45.833,0.978,0.063,0.0,-0.06,382,-0.082,1.189,47.382,0.911,0.069,0.0,-0.082,381,-0.084,1.5,46.719,0.977,0.056,0.0,-0.084,,,
80.0,mass_crossover1,[80 72],mass_crossover1^80^72,4,2,36,0.005,-0.048799999999999996,35,-0.001,0.729,40.0,1.494,0.001,-1.0,-0.001,35,-0.113,1.106,42.857,1.042,0.102,-1.0,-0.113,35,-0.072,1.247,42.857,1.159,0.058,-1.0,-0.072,72,,
35.0,trix_start_decrease,[35],trix_start_decrease^35,4,4,102,0.014,-0.0304,101,-0.037,1.002,51.485,0.848,0.037,0.0,-0.037,101,-0.005,1.421,50.495,0.972,0.004,-480.0,-0.005,100,-0.052,1.678,43.0,1.219,0.031,0.0,-0.052,,,
90.0,mass_crossover1,[90 27],mass_crossover1^90^27,4,2,45,0.006,-0.030399387978142078,45,0.004,0.915,48.889,1.058,0.004,-1.0,0.0028012240437158466,44,-0.036,1.414,47.727,1.016,0.025,-1.0,-0.036,44,-0.105,1.705,43.182,1.093,0.062,-1.0,-0.105,27,,
60.0,kdj_k_crossunder_d,[60 30 18],kdj_k_crossunder_d^60^30^18,4,4,127,0.018,-0.012725680427046263,126,-0.009,1.085,51.587,0.916,0.008,0.0,-0.009,126,0.017,1.405,49.206,1.066,0.012,-107.99999999999999,0.011914398576512455,126,-0.059,1.608,43.651,1.173,0.037,0.0,-0.059,30,18,
50.0,kdj_k_crossunder_d,[50 45 15],kdj_k_crossunder_d^50^45^15,4,4,123,0.017,-0.011228273148148147,122,0.019,1.08,54.918,0.864,0.018,13049.999999999985,0.024743453703703705,122,0.0,1.382,50.82,0.968,0.0,-423.0769230769231,0.0,122,-0.118,1.53,40.164,1.217,0.077,0.0,-0.118,45,15,
230.0,trix_start_decrease,[230],trix_start_decrease^230,4,0,17,0.002,-0.008275087607855185,16,-0.057,0.935,56.25,0.669,0.061,-1.0,-0.057,16,0.067,0.853,50.0,1.185,0.079,-1.0,0.047268382180539276,16,0.043,1.061,56.25,0.854,0.041,-1.0,0.03022198868991517,,,
200.0,supertrend_short_signal,[200.    3.3],supertrend_short_signal^200.0^3.3,4,4,79,0.011,-0.008056378490898117,78,0.01,0.965,47.436,1.143,0.01,685.7142857142857,0.013013471502590674,78,0.041,1.313,52.564,0.987,0.031,-231.60000000000002,0.028789619192688496,77,-0.116,1.535,48.052,0.885,0.076,0.0,-0.116,3.3,,
45.0,aroon_diff_crossunder0,[45],aroon_diff_crossunder0^45,4,4,81,0.011,-0.006860859988831958,80,0.031,0.903,43.75,1.428,0.034,-156.09756097560975,0.02177449612403101,80,0.039,1.416,45.0,1.323,0.028,68.88888888888887,0.05083963983050847,80,-0.165,1.691,42.5,1.033,0.098,0.0,-0.165,,,
