param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
190.0,roc_lower0^190,2026-03-01 23:00:00,2026-06-17 23:45:00,6.155,22.36,16.768,0.784,1.104,1.334,28.509,1.492,0.365,296.0,69.595,0.489,48.997,0.0,1.646,21.946,9.868,0.591,0.883,2.224,37.14,1.944,0.31,97.0,65.979,0.573,48.917,0.0,9.514,202.257,8.462,8.763,12.394,23.902,23.08,1.208,0.323,93.0,74.194,0.598,49.431,0.0,-8.768,-169.108,15.415,-6.969,-8.761,-10.97,24.266,1.27,0.425,73.0,65.753,0.286,48.335,0.0,4.539,159.503,5.884,5.981,9.054,27.106,26.67,1.396,0.472,36.0,75.0,0.586,49.498,0.0,roc_lower0,[190],,,,,
100.0,roc_lower0^100,2026-03-01 23:00:00,2026-06-17 23:45:00,22.61,99.115,14.268,3.481,5.147,6.947,28.472,1.49,0.295,366.0,72.951,0.511,49.407,0.0,15.895,500.685,8.416,13.493,23.25,59.489,37.108,1.942,0.281,107.0,71.963,0.734,48.278,0.0,10.891,251.908,6.427,10.926,16.187,39.193,23.055,1.207,0.204,147.0,77.551,0.522,49.741,0.0,-3.961,-58.023,14.268,-2.39,-3.047,-4.067,24.276,1.271,0.535,58.0,72.414,0.296,49.48,0.0,-0.636,-14.583,5.319,-0.55,-0.72,-2.742,26.51,1.388,0.298,57.0,64.912,0.51,50.669,0.0,roc_lower0,[100],,,,,
100.0,aroon_diff_lower0^100,2026-03-01 23:00:00,2026-06-17 23:45:00,10.324,39.371,13.376,1.381,1.94,2.943,28.515,1.493,1.544,70.0,65.714,0.671,49.322,0.0,10.016,219.065,10.954,5.899,9.254,19.998,37.137,1.944,1.581,19.0,57.895,1.436,48.425,0.0,10.851,250.379,3.618,10.843,16.158,69.196,23.091,1.209,1.111,27.0,77.778,0.813,49.896,0.0,-6.446,-108.709,13.376,-4.478,-5.674,-8.127,24.278,1.271,1.938,16.0,68.75,0.255,49.22,0.0,-3.279,-99.99,5.61,-3.749,-4.532,-17.825,26.671,1.396,1.546,11.0,45.455,0.707,50.084,0.0,aroon_diff_lower0,[100],,,,,
130.0,aroon_diff_lower0^130,2026-03-01 23:00:00,2026-06-17 23:45:00,17.066,70.296,11.863,2.466,3.715,5.926,28.51,1.492,1.743,62.0,62.903,0.894,49.139,0.0,14.501,418.52,8.127,11.274,19.128,51.498,37.123,1.943,1.581,19.0,68.421,1.132,49.262,0.0,7.829,150.278,3.91,6.507,9.928,38.435,23.095,1.209,1.305,23.0,65.217,1.178,48.654,0.0,-2.849,-39.214,10.676,-1.615,-2.077,-3.673,24.281,1.271,2.385,13.0,69.231,0.345,49.636,0.0,-2.393,-66.206,6.599,-2.482,-3.599,-10.033,26.673,1.396,1.7,10.0,40.0,0.981,48.913,0.0,aroon_diff_lower0,[130],,,,,
170.0,price_lower_sma^170,2026-03-01 23:00:00,2026-06-17 23:45:00,2.757,9.623,19.37,0.338,0.491,0.497,28.456,1.489,0.397,272.0,84.191,0.2,49.068,0.0,11.429,272.593,8.158,7.339,12.133,33.414,37.141,1.944,0.323,93.0,86.022,0.288,49.065,0.0,6.334,111.171,7.572,4.868,7.196,14.681,22.837,1.195,0.4,75.0,80.0,0.41,48.913,0.0,-10.147,-212.159,14.921,-8.743,-10.949,-14.219,24.267,1.27,0.608,51.0,84.314,0.084,48.491,0.0,-3.473,-108.225,7.802,-4.06,-5.384,-13.871,26.658,1.395,0.304,56.0,83.929,0.134,50.251,0.0,price_lower_sma,[170],,,,,
6.0,price_lower_sma^6,2026-03-01 23:00:00,2026-06-17 23:45:00,8.725,32.662,11.873,1.153,1.414,2.751,28.337,1.483,0.063,1713.0,68.126,0.493,48.856,0.0,3.5,51.902,11.873,1.401,1.605,4.372,37.039,1.939,0.062,486.0,68.107,0.5,48.72,0.0,5.087,82.928,3.914,3.705,4.986,21.187,22.384,1.172,0.06,501.0,70.06,0.48,48.654,0.0,7.103,124.404,6.406,5.128,6.811,19.421,24.259,1.27,0.067,464.0,69.397,0.517,50.468,0.0,-6.69,-301.996,10.426,-11.259,-15.513,-28.967,26.824,1.404,0.064,265.0,61.887,0.491,46.739,0.0,price_lower_sma,[6],,,,,
170.0,price_lower_ema^170,2026-03-01 23:00:00,2026-06-17 23:45:00,-4.911,-17.582,18.044,-0.617,-0.86,-0.974,28.474,1.49,0.351,308.0,83.117,0.187,49.04,0.0,1.964,26.669,9.888,0.719,1.087,2.697,37.069,1.94,0.353,85.0,80.0,0.288,48.573,0.0,7.561,142.806,7.564,6.201,8.951,18.881,23.03,1.205,0.291,103.0,85.437,0.295,50.104,0.0,-9.606,-194.558,14.792,-8.018,-10.035,-13.153,24.265,1.27,0.413,75.0,85.333,0.086,48.335,0.0,-4.075,-135.845,7.105,-5.09,-6.771,-19.121,26.687,1.397,0.354,48.0,79.167,0.172,49.247,0.0,price_lower_ema,[170],,,,,
200.0,price_lower_ema^200,2026-03-01 23:00:00,2026-06-17 23:45:00,-2.526,-8.792,17.466,-0.308,-0.432,-0.503,28.518,1.493,0.389,278.0,82.734,0.201,48.941,0.0,2.352,32.656,11.662,0.879,1.327,2.8,37.155,1.945,0.353,85.0,83.529,0.233,48.671,0.0,6.59,117.448,7.531,5.099,7.406,15.596,23.032,1.206,0.39,77.0,81.818,0.382,49.534,0.0,-8.946,-174.33,14.665,-7.166,-9.01,-11.888,24.327,1.273,0.449,69.0,84.058,0.097,48.231,0.0,-1.866,-48.772,7.127,-1.828,-2.486,-6.843,26.678,1.396,0.34,50.0,80.0,0.207,49.582,0.0,price_lower_ema,[200],,,,,
220.0,sma_fast_lower_slow^220^484,2026-03-01 23:00:00,2026-06-17 23:45:00,12.007,46.686,14.313,1.637,2.358,3.262,28.514,1.493,6.356,17.0,82.353,0.448,48.503,0.0,3.246,47.44,10.087,1.277,1.869,4.703,37.142,1.944,4.292,7.0,85.714,0.315,48.77,0.0,-6.47,-114.474,10.365,-4.955,-6.815,-11.045,23.101,1.209,7.501,4.0,50.0,0.147,47.619,0.0,7.019,122.32,8.754,5.039,7.009,13.973,24.275,1.271,6.201,5.0,80.0,4.682,48.907,0.0,8.411,466.902,4.427,17.516,29.324,105.469,26.656,1.395,4.251,4.0,100.0,100.0,48.829,0.0,sma_fast_lower_slow,[220 484],484,,,,
80.0,sma_fast_lower_slow^80^128,2026-03-01 23:00:00,2026-06-17 23:45:00,28.0,130.262,10.565,4.569,6.749,12.329,28.512,1.492,1.46,74.0,70.27,0.793,49.718,0.0,16.469,537.869,8.46,14.486,23.304,63.574,37.131,1.944,1.202,25.0,72.0,1.045,49.36,0.0,3.419,50.554,3.404,2.189,3.09,14.852,23.097,1.209,1.2,25.0,64.0,0.85,49.689,0.0,1.798,23.355,10.565,0.962,1.257,2.211,24.281,1.271,1.938,16.0,75.0,0.395,50.0,0.0,4.417,153.067,4.5,5.738,9.036,34.016,26.678,1.396,1.546,11.0,72.727,0.903,49.916,0.0,sma_fast_lower_slow,[ 80 128],128,,,,
