param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
250.0,smi_k_crossunder_d_2,[250 225 225  85],smi_k_crossunder_d_2^250^225^225^85,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,225,85
25.0,price_crossunder_ema,[25],price_crossunder_ema^25,4,4,400,0.056,0.015192386694157673,399,-0.005,0.745,52.381,0.893,0.007,0.0,-0.005,399,0.005,1.173,49.624,1.025,0.004,0.0,0.005002131287297528,397,0.062,1.393,45.592,1.342,0.045,922.3880597014924,0.08095873653984206,,,
20.0,price_crossunder_ema,[20],price_crossunder_ema^20,4,4,467,0.066,0.01728851443558067,466,-0.01,0.757,51.288,0.919,0.013,0.0,-0.01,465,0.014,1.145,50.538,1.01,0.012,-15.000000000000007,0.009811982532751092,463,0.074,1.357,48.164,1.241,0.055,192.5,0.09672459837877671,,,
11.0,rsi_crossunder50,[11],rsi_crossunder50^11,4,4,461,0.065,0.01783082876883093,460,-0.009,0.745,51.739,0.904,0.012,0.0,-0.009,460,0.009,1.156,50.652,0.994,0.008,4.647714815446352e+17,0.011709108996539793,458,0.072,1.374,48.253,1.231,0.052,436.66666666666674,0.09409048034934496,,,
70.0,rsi_crossunder50,[70],rsi_crossunder50^70,4,4,145,0.02,0.029486950455005056,144,0.044,0.715,48.611,1.252,0.062,76.82926829268294,0.057552000000000006,144,0.019,0.989,52.083,0.968,0.019,0.0,0.01903650151668352,143,-0.025,1.463,46.853,1.084,0.017,0.0,-0.025,,,
18.0,supertrend_short_signal,[18.   2.1],supertrend_short_signal^18.0^2.1,4,4,156,0.022,0.0359032492140902,155,0.032,0.948,47.097,1.231,0.034,2957.142857142856,0.04174042194092827,155,-0.024,1.202,47.097,1.066,0.02,0.0,-0.024,153,0.085,1.412,50.98,1.119,0.06,4199.999999999996,0.11116519121813032,2.1,,
8.0,supertrend_short_signal,[8.  1.7],supertrend_short_signal^8.0^1.7,4,4,203,0.029,0.05159160965059311,202,0.043,0.915,51.485,1.073,0.047,770.6896551724137,0.0561626994535519,202,0.024,1.16,47.03,1.19,0.021,0.0,0.024049655172413795,200,0.081,1.376,49.0,1.209,0.059,0.0,0.08147681686046511,1.7,,
20.0,rvi_crossunder0,[20 'SMA'],rvi_crossunder0^20^SMA,4,4,360,0.051,0.07021956290098552,359,0.036,0.845,49.304,1.158,0.043,522.4137931034483,0.046999384615384616,359,0.041,1.163,51.253,1.041,0.035,351.56249999999983,0.053487901977644026,357,0.117,1.404,49.3,1.276,0.083,190.6779661016949,0.1533675,SMA,,
25.0,price_crossunder_sma,[25],price_crossunder_sma^25,4,4,381,0.054,0.0702404022019252,380,0.027,0.767,52.368,0.995,0.035,21449.99999999994,0.0352235593220339,380,0.06,1.11,51.579,1.079,0.054,445.7943925233645,0.07842162162162161,378,0.111,1.323,49.735,1.259,0.084,419.99999999999994,0.14551068027210884,,,
23.0,rvi_crossunder0,[23 'SMA'],rvi_crossunder0^23^SMA,4,4,330,0.047,0.07739838988757666,330,0.026,0.852,48.485,1.156,0.031,822.2222222222222,0.03390314553990611,330,0.049,1.198,51.515,1.048,0.041,242.6470588235294,0.06396054257095159,327,0.157,1.461,51.376,1.253,0.107,357.2519083969466,0.20629327173169063,SMA,,
