param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
25.0,roc_lower0^25,2026-03-01 23:00:00,2026-06-17 23:45:00,30.72,147.217,29.23,2.253,2.935,5.036,65.341,3.42,0.159,680.0,69.118,0.514,50.875,0.0,19.891,806.918,21.387,8.983,12.799,37.73,89.828,4.702,0.172,175.0,65.714,0.675,51.181,0.0,-1.336,-17.535,17.216,-0.35,-0.433,-1.019,50.048,2.62,0.155,193.0,70.466,0.415,51.19,0.0,-5.225,-82.188,21.026,-1.574,-1.906,-3.909,52.218,2.733,0.167,186.0,69.892,0.401,51.041,0.0,16.655,2637.458,9.05,44.755,59.194,291.431,58.931,3.085,0.132,129.0,71.318,0.615,49.666,0.0,roc_lower0,[25],,,,,
90.0,roc_lower0^90,2026-03-01 23:00:00,2026-06-17 23:45:00,49.967,293.216,18.512,4.488,6.067,15.839,65.34,3.42,0.295,366.0,71.038,0.554,51.101,0.0,14.267,405.805,18.512,4.518,6.478,21.921,89.829,4.702,0.276,109.0,68.807,0.586,50.344,0.0,18.031,652.087,6.626,13.028,17.942,98.418,50.053,2.62,0.323,93.0,73.118,0.67,51.76,0.0,12.639,306.266,14.6,5.86,7.779,20.978,52.261,2.735,0.293,106.0,76.415,0.442,51.613,0.0,-1.239,-30.272,15.866,-0.514,-0.679,-1.908,58.887,3.082,0.279,61.0,62.295,0.594,50.585,0.0,roc_lower0,[90],,,,,
90.0,aroon_diff_lower0^90,2026-03-01 23:00:00,2026-06-17 23:45:00,4.975,17.828,23.385,0.273,0.366,0.762,65.377,3.422,1.174,92.0,58.696,0.777,50.127,0.0,-9.14,-189.496,21.59,-2.107,-3.016,-8.777,89.938,4.708,1.431,21.0,52.381,0.72,48.524,0.0,17.177,588.481,6.981,11.765,16.395,84.301,50.017,2.618,0.968,31.0,58.065,1.512,51.605,0.0,-1.149,-14.4,20.774,-0.276,-0.352,-0.693,52.265,2.736,1.292,24.0,70.833,0.415,50.78,0.0,-0.21,-4.61,11.573,-0.078,-0.105,-0.398,58.886,3.082,0.895,19.0,52.632,0.924,49.498,0.0,aroon_diff_lower0,[90],,,,,
10.0,aroon_diff_lower0^10,2026-03-01 23:00:00,2026-06-17 23:45:00,52.7,317.951,21.272,4.884,6.529,14.947,65.107,3.408,0.153,707.0,60.82,0.764,51.045,0.0,31.881,2788.534,12.264,31.044,44.306,227.372,89.826,4.702,0.149,202.0,61.881,0.807,51.821,0.0,1.916,25.981,13.309,0.532,0.705,1.952,48.805,2.555,0.155,194.0,58.763,0.736,50.259,0.0,5.287,83.464,14.916,1.596,2.07,5.596,52.29,2.737,0.158,196.0,63.776,0.62,50.989,0.0,8.012,423.769,8.98,7.179,9.352,47.19,59.027,3.09,0.145,117.0,57.265,0.918,51.087,0.0,aroon_diff_lower0,[10],,,,,
120.0,price_lower_sma^120,2026-03-01 23:00:00,2026-06-17 23:45:00,33.98,168.672,21.728,2.581,3.39,7.763,65.342,3.42,0.28,386.0,86.788,0.194,50.805,0.0,1.41,18.556,21.728,0.206,0.287,0.854,89.931,4.707,0.323,93.0,83.871,0.206,49.803,0.0,17.916,643.226,7.104,12.905,18.19,90.544,49.842,2.609,0.286,105.0,84.762,0.333,51.139,0.0,6.052,99.796,17.369,1.909,2.442,5.746,52.277,2.736,0.282,110.0,88.182,0.163,51.093,0.0,5.627,224.188,13.333,3.805,4.7,16.814,58.922,3.084,0.213,80.0,91.25,0.122,51.505,0.0,price_lower_sma,[120],,,,,
110.0,price_lower_sma^110,2026-03-01 23:00:00,2026-06-17 23:45:00,54.047,330.543,22.705,5.056,6.67,14.558,65.382,3.422,0.278,388.0,87.113,0.204,50.819,0.0,15.187,457.582,22.705,5.089,7.104,20.153,89.924,4.707,0.261,115.0,86.957,0.197,50.197,0.0,19.618,784.792,7.104,15.685,22.265,110.472,50.035,2.619,0.316,95.0,85.263,0.332,50.88,0.0,3.958,57.968,15.218,1.109,1.413,3.809,52.269,2.736,0.31,100.0,88.0,0.158,50.989,0.0,7.525,375.24,11.521,6.366,7.882,32.571,58.947,3.085,0.213,80.0,88.75,0.174,51.505,0.0,price_lower_sma,[110],,,,,
140.0,price_lower_ema^140,2026-03-01 23:00:00,2026-06-17 23:45:00,29.04,136.646,22.939,2.09,2.766,5.957,65.389,3.423,0.287,376.0,86.17,0.2,50.593,0.0,8.429,167.398,22.939,1.862,2.591,7.297,89.902,4.706,0.31,97.0,88.66,0.155,50.394,0.0,18.166,662.616,8.007,13.23,18.721,82.753,50.085,2.622,0.286,105.0,85.714,0.304,50.983,0.0,2.269,30.248,19.632,0.578,0.745,1.541,52.292,2.737,0.279,111.0,84.685,0.2,51.093,0.0,-1.606,-40.817,15.653,-0.693,-0.881,-2.608,58.929,3.084,0.258,66.0,84.848,0.171,49.415,0.0,price_lower_ema,[140],,,,,
100.0,price_lower_ema^100,2026-03-01 23:00:00,2026-06-17 23:45:00,40.667,216.734,21.715,3.315,4.33,9.981,65.382,3.422,0.23,470.0,85.745,0.214,51.13,0.0,2.619,36.912,15.701,0.41,0.56,2.351,89.966,4.709,0.257,117.0,83.761,0.212,50.886,0.0,21.219,940.209,7.279,18.801,26.28,129.159,50.008,2.618,0.21,143.0,83.217,0.354,51.553,0.0,3.731,53.955,19.412,1.033,1.337,2.78,52.25,2.735,0.248,125.0,88.0,0.154,50.884,0.0,8.922,527.133,9.881,8.95,11.286,53.349,58.896,3.083,0.193,88.0,88.636,0.183,51.171,0.0,price_lower_ema,[100],,,,,
220.0,sma_fast_lower_slow^220^528,2026-03-01 23:00:00,2026-06-17 23:45:00,34.698,173.568,26.99,2.654,3.835,6.431,65.389,3.423,6.356,17.0,76.471,0.78,49.915,0.0,10.816,248.415,26.99,2.763,4.093,9.204,89.912,4.706,4.292,7.0,71.429,0.667,50.837,0.0,7.15,131.753,13.874,2.63,4.125,9.497,50.087,2.622,7.501,4.0,75.0,1.164,49.741,0.0,7.689,139.284,19.547,2.665,3.856,7.125,52.273,2.736,6.201,5.0,80.0,2.197,49.272,0.0,5.305,203.572,17.612,3.454,5.073,11.559,58.944,3.085,4.251,4.0,75.0,0.906,49.749,0.0,sma_fast_lower_slow,[220 528],528,,,,
30.0,sma_fast_lower_slow^30^84,2026-03-01 23:00:00,2026-06-17 23:45:00,53.98,329.913,25.88,5.045,7.009,12.748,65.398,3.423,0.965,112.0,68.75,0.689,50.085,0.0,2.199,30.259,25.88,0.336,0.496,1.169,89.962,4.709,1.036,29.0,58.621,0.781,48.376,0.0,23.091,1153.546,7.818,23.054,35.026,147.549,50.036,2.619,0.857,35.0,68.571,1.111,50.776,0.0,8.94,174.143,17.269,3.332,4.393,10.084,52.267,2.736,1.034,30.0,73.333,0.515,50.572,0.0,12.41,1134.582,10.38,19.247,25.852,109.307,58.948,3.085,0.81,21.0,76.19,0.545,51.171,0.0,sma_fast_lower_slow,[30 84],84,,,,
