param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
250.0,smi_k_crossunder_d_2,[250 225 225  80],smi_k_crossunder_d_2^250^225^225^80,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,225,80
170.0,rvi_crossunder_signal,[170 119],rvi_crossunder_signal^170^119,4,4,247,0.035,0.04083807681309322,246,0.038,2.164,50.407,1.035,0.018,84.61538461538461,0.049486746765249535,244,0.107,2.711,51.23,1.062,0.039,274.1721854304636,0.13964901143489486,244,-0.129,2.889,47.951,0.967,0.045,0.0,-0.129,119,,
80.0,price_crossunder_ema,[80],price_crossunder_ema^80,4,4,241,0.034,0.04907206064388771,240,0.069,1.813,53.75,0.96,0.038,118.03278688524588,0.09004138444567017,240,0.088,2.299,47.5,1.227,0.038,643.1372549019608,0.1148378947368421,240,-0.152,2.939,45.417,1.051,0.052,0.0,-0.152,,,
160.0,rvi_crossunder_signal,[160 128],rvi_crossunder_signal^160^128,4,4,250,0.035,0.05533280668977501,249,0.06,2.174,51.004,1.041,0.028,-54.21686746987952,0.042115915363385464,247,0.141,2.722,51.417,1.09,0.052,134.04255319148933,0.18424949669360763,247,-0.105,2.905,47.773,0.996,0.036,0.0,-0.105,128,,
90.0,price_crossunder_ema,[90],price_crossunder_ema^90,4,4,240,0.034,0.07253143241979985,239,0.06,1.811,52.72,0.987,0.033,725.4545454545463,0.07825842076200994,239,0.094,2.423,47.699,1.218,0.039,79.38144329896909,0.12267407346264961,239,-0.017,3.025,46.444,1.136,0.006,-2657.142857142897,-0.017,,,
25.0,kc_price_crossunder_high_2,[25.  10.   1.7],kc_price_crossunder_high_2^25.0^10.0^1.7,4,0,1,0.0,0.0927,1,0.034,0.0,100.0,100.0,0.0,-1.0,0.0238,1,-1.441,0.0,0.0,0.0,0.0,-1.0,-1.441,1,3.665,0.0,100.0,100.0,0.0,-1.0,2.5654999999999997,10.0,1.7,
140.0,rsi_crossunder50,[140],rsi_crossunder50^140,4,4,121,0.017,0.11074261548058634,119,-0.073,1.68,53.782,0.758,0.043,0.0,-0.073,119,0.207,2.445,56.303,0.988,0.085,87.93103448275862,0.2713782699386503,119,0.463,2.974,57.143,1.13,0.156,-103.99484536082475,0.32914567249495624,,,
220.0,rvi_crossunder0,[220 'SMA'],rvi_crossunder0^220^SMA,4,4,86,0.012,0.116857818921653,85,0.186,2.299,51.765,1.171,0.081,-323.93162393162396,0.13125337973031753,83,0.188,3.05,55.422,0.954,0.062,-224.46043165467623,0.13241117377049177,83,0.082,3.389,53.012,0.948,0.024,-898.9071038251368,0.057538884626733545,SMA,,
250.0,rvi_crossunder0,[250 'SMA'],rvi_crossunder0^250^SMA,4,3,87,0.012,0.1411127358670874,86,-0.073,1.888,47.674,0.985,0.039,-25407.692307692298,-0.073,85,0.385,2.184,55.294,1.304,0.176,-159.43251533742333,0.27425080128205126,85,0.665,2.767,60.0,1.247,0.24,-79.12844036697248,0.47668747741236,SMA,,
140.0,emacd_histogram_start_decrease,[140 224  98],emacd_histogram_start_decrease^140^224^98,4,4,206,0.029,0.16632303434221377,205,0.202,2.159,46.829,1.493,0.094,-87.23175965665237,0.14272296433534043,204,0.186,2.869,57.353,0.89,0.065,90.21739130434781,0.24336761240850469,204,0.156,3.062,49.51,1.164,0.051,-99.58333333333333,0.1097563422599608,224,98,
230.0,trix_crossunder_signal,[230 230],trix_crossunder_signal^230^230,4,0,7,0.001,0.20291279970685352,7,0.525,1.988,57.143,1.363,0.264,-1.0,0.3772051056338028,7,0.164,2.09,71.429,0.512,0.078,-1.0,0.11570082296650717,7,-0.102,4.059,71.429,0.376,0.025,-1.0,-0.102,230,,
150.0,emacd_histogram_start_decrease,[150 210  90],emacd_histogram_start_decrease^150^210^90,4,4,206,0.029,0.20647853695514184,205,0.168,2.072,45.854,1.484,0.081,-145.54102259215222,0.1185535135135135,204,0.263,2.871,56.373,0.991,0.092,16.234498308906428,0.3450319993033787,204,0.309,3.093,50.49,1.267,0.1,-61.57517899761336,0.21846090203685745,210,90,
90.0,emacd_start_decrease,[ 90 198],emacd_start_decrease^90^198,4,4,187,0.026,0.2069417618399364,186,0.19,1.956,54.839,1.073,0.097,33.38485316846986,0.24939928425357874,185,0.2,2.605,55.135,1.001,0.077,18.881118881118876,0.26199616122840697,185,0.026,2.893,51.892,0.949,0.009,-123.40425531914892,0.018216356723124782,198,,
170.0,rsi_crossunder50,[170],rsi_crossunder50^170,4,4,108,0.015,0.22508854294349728,106,0.068,1.556,59.434,0.769,0.044,0.0,0.06829717223650385,106,0.209,2.22,55.66,1.037,0.094,463.0434782608695,0.27425789639639636,106,0.412,2.861,57.547,1.082,0.144,92.43697478991596,0.5433129395316323,,,
