param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
35.0,roc_lower0^35,2026-03-02 01:00:00,2026-06-17 18:15:00,10.903,41.998,12.508,1.874,2.733,3.358,22.412,1.173,0.252,427.0,66.042,0.606,39.103,0.0,-1.652,-22.29,12.508,-0.901,-1.329,-1.782,24.735,1.295,0.289,103.0,63.107,0.544,37.9,0.0,4.837,78.49,4.755,4.097,5.539,16.505,19.157,1.003,0.252,118.0,71.186,0.57,37.626,0.0,1.248,17.048,8.602,0.753,1.157,1.982,22.654,1.186,0.227,127.0,64.567,0.592,39.93,0.0,6.465,291.323,3.236,11.775,17.575,90.027,24.74,1.295,0.205,82.0,64.634,0.914,42.362,0.0,roc_lower0,[35],,,,,
30.0,roc_lower0^30,2026-03-02 01:00:00,2026-06-17 18:15:00,13.195,52.192,14.248,2.33,3.342,3.663,22.396,1.172,0.232,465.0,67.957,0.571,39.196,0.0,-5.084,-83.859,11.811,-3.389,-4.839,-7.1,24.741,1.295,0.259,115.0,60.87,0.494,37.26,0.0,6.246,110.232,6.905,5.748,7.686,15.965,19.177,1.004,0.207,144.0,70.833,0.601,38.766,0.0,7.413,147.835,5.66,6.55,10.074,26.119,22.57,1.181,0.21,137.0,73.723,0.504,40.704,0.0,4.725,173.32,2.968,7.011,10.301,58.398,24.721,1.294,0.233,72.0,62.5,0.906,40.953,0.0,roc_lower0,[30],,,,,
35.0,aroon_diff_lower0^35,2026-03-02 01:00:00,2026-06-17 18:15:00,7.828,29.093,12.239,1.299,1.913,2.377,22.393,1.172,0.616,175.0,67.429,0.56,38.677,0.0,-4.421,-70.113,12.239,-2.832,-4.115,-5.728,24.756,1.296,0.633,47.0,61.702,0.481,37.388,0.0,3.85,58.928,4.44,3.083,4.196,13.273,19.116,1.001,0.62,48.0,70.833,0.583,37.425,0.0,2.417,35.399,9.081,1.564,2.518,3.898,22.634,1.185,0.564,51.0,72.549,0.442,39.366,0.0,6.298,278.149,3.025,11.274,16.987,91.938,24.672,1.291,0.524,32.0,62.5,1.106,41.928,0.0,aroon_diff_lower0,[35],,,,,
20.0,aroon_diff_lower0^20,2026-03-02 01:00:00,2026-06-17 18:15:00,15.297,61.982,8.382,2.77,4.107,7.395,22.377,1.171,0.346,311.0,61.736,0.78,38.603,0.0,-1.523,-20.393,8.382,-0.823,-1.232,-2.433,24.785,1.297,0.367,81.0,62.963,0.55,37.196,0.0,4.575,73.097,4.462,3.842,5.252,16.382,19.025,0.996,0.324,92.0,55.435,1.126,37.693,0.0,2.089,29.996,7.101,1.325,2.08,4.224,22.631,1.185,0.384,75.0,65.333,0.599,39.296,0.0,9.903,681.8,2.913,27.661,41.897,234.074,24.648,1.29,0.254,66.0,65.152,1.054,41.495,0.0,aroon_diff_lower0,[20],,,,,
10.0,price_lower_sma^10,2026-03-02 01:00:00,2026-06-17 18:15:00,7.636,28.318,15.572,1.265,1.576,1.819,22.378,1.171,0.111,972.0,65.947,0.558,38.955,0.0,-12.228,-312.437,13.316,-12.636,-13.333,-23.463,24.726,1.294,0.118,252.0,67.857,0.318,38.028,0.0,5.205,86.33,3.64,4.538,6.019,23.72,19.024,0.996,0.109,273.0,64.835,0.686,37.961,0.0,4.21,68.758,5.118,3.042,4.735,13.435,22.603,1.183,0.11,262.0,63.359,0.671,38.873,0.0,11.375,944.491,2.993,38.184,51.571,315.519,24.735,1.295,0.09,187.0,67.914,0.826,42.254,0.0,price_lower_sma,[10],,,,,
8.0,price_lower_sma^8,2026-03-02 01:00:00,2026-06-17 18:15:00,9.98,38.035,14.496,1.7,2.131,2.624,22.38,1.171,0.098,1104.0,64.855,0.593,38.955,0.0,-8.417,-169.796,11.012,-6.874,-7.414,-15.42,24.7,1.293,0.099,299.0,67.559,0.378,38.22,0.0,3.462,51.801,5.855,2.722,3.527,8.847,19.034,0.996,0.096,311.0,60.45,0.755,37.357,0.0,4.23,69.172,4.83,3.054,4.748,14.32,22.648,1.185,0.1,289.0,65.052,0.615,39.437,0.0,10.875,847.083,4.165,34.317,46.181,203.358,24.684,1.292,0.081,207.0,66.667,0.849,41.928,0.0,price_lower_sma,[8],,,,,
6.0,price_lower_ema^6,2026-03-02 01:00:00,2026-06-17 18:15:00,10.753,41.35,13.365,1.85,2.302,3.094,22.35,1.17,0.083,1298.0,62.866,0.648,39.196,0.0,-7.965,-156.304,13.365,-6.342,-6.812,-11.695,24.648,1.29,0.085,351.0,65.242,0.429,38.476,0.0,6.385,113.635,4.125,5.98,7.77,27.546,19.002,0.995,0.078,383.0,60.574,0.822,38.565,0.0,2.619,38.829,4.457,1.721,2.674,8.711,22.568,1.181,0.09,319.0,62.069,0.668,38.662,0.0,9.75,658.389,3.638,26.569,34.488,180.954,24.78,1.297,0.068,247.0,63.563,0.896,42.145,0.0,price_lower_ema,[6],,,,,
10.0,price_lower_ema^10,2026-03-02 01:00:00,2026-06-17 18:15:00,16.248,66.552,11.144,2.969,3.779,5.972,22.416,1.173,0.107,1006.0,66.402,0.589,39.214,0.0,-7.925,-155.15,11.144,-6.285,-6.796,-13.922,24.684,1.292,0.109,274.0,68.613,0.357,38.796,0.0,10.028,222.865,2.457,11.741,15.885,90.702,18.982,0.994,0.101,295.0,64.068,0.849,38.431,0.0,4.071,65.924,5.271,2.914,4.623,12.506,22.623,1.184,0.112,258.0,65.116,0.621,38.873,0.0,10.03,701.7,3.224,27.983,38.192,217.617,25.076,1.313,0.092,182.0,68.132,0.78,41.82,0.0,price_lower_ema,[10],,,,,
230.0,sma_fast_lower_slow^230^322,2026-03-02 01:00:00,2026-06-17 18:15:00,10.308,39.435,14.34,1.759,2.291,2.75,22.419,1.173,5.985,18.0,66.667,0.845,38.751,0.0,12.472,323.577,5.202,13.08,18.221,62.206,24.738,1.295,2.974,10.0,80.0,1.748,39.693,0.0,-6.488,-116.189,7.907,-6.069,-6.442,-14.694,19.145,1.002,14.89,2.0,0.0,0.0,35.278,0.0,7.416,147.911,7.651,6.527,9.427,19.333,22.662,1.186,4.797,6.0,66.667,1.514,41.056,0.0,-2.135,-58.413,7.864,-2.362,-3.205,-7.428,24.731,1.294,5.593,3.0,66.667,0.36,39.328,0.0,sma_fast_lower_slow,[230 322],322,,,,
8.0,sma_fast_lower_slow^8^13,2026-03-02 01:00:00,2026-06-17 18:15:00,19.748,84.167,13.061,3.775,4.747,6.444,22.298,1.167,0.229,471.0,60.297,0.828,39.863,0.0,-8.474,-171.565,13.061,-6.965,-7.414,-13.136,24.631,1.289,0.224,133.0,54.135,0.597,38.54,0.0,15.979,516.026,2.066,27.581,42.21,249.809,18.71,0.979,0.224,133.0,61.654,1.432,39.571,0.0,3.683,58.249,3.91,2.568,3.904,14.896,22.685,1.187,0.236,122.0,60.656,0.766,40.563,0.0,8.577,500.206,3.084,20.218,25.858,162.195,24.74,1.295,0.195,86.0,66.279,0.862,41.603,0.0,sma_fast_lower_slow,[ 8 13],13,,,,
