param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
250.0,smi_k_crossunder_d_2,[250 225 225  85],smi_k_crossunder_d_2^250^225^225^85,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,225,85
30.0,adx_plus_crossunder_minus,[30],adx_plus_crossunder_minus^30,4,4,153,0.028,0.02693390567741929,153,0.033,0.733,51.634,1.056,0.045,-168.26923076923077,0.023203997271487038,153,0.06,1.117,56.209,0.899,0.054,-150.42492917847025,0.0422256042972247,151,0.019,1.196,49.669,1.056,0.016,-232.25806451612905,0.013321128762541804,,,
35.0,adx_plus_crossunder_minus,[35],adx_plus_crossunder_minus^35,4,4,137,0.025,0.028061907373862535,137,0.023,0.735,50.365,1.07,0.031,-173.15436241610738,0.01615038095238095,137,0.062,1.055,56.204,0.91,0.059,-109.35114503816794,0.04365505213270142,136,0.049,1.113,50.0,1.118,0.044,-152.6315789473684,0.034451006289308174,,,
29.0,rsi_crossunder50,[29],rsi_crossunder50^29,4,4,169,0.031,0.03500612327469025,169,0.026,0.742,56.213,0.85,0.035,-358.69565217391306,0.018263773584905656,169,0.073,0.96,55.621,0.972,0.076,-295.98930481283423,0.05148857291666666,167,0.074,1.133,55.689,0.941,0.065,-215.44117647058823,0.05213832303618711,,,
80.0,price_crossunder_sma_2,[80],price_crossunder_sma_2^80,4,4,97,0.018,0.038786032134504676,97,0.025,0.758,52.577,0.982,0.033,-499.9999999999999,0.017557717678100264,96,0.085,0.924,57.292,0.955,0.092,-238.57758620689657,0.06004734848484849,95,0.085,1.088,55.789,0.964,0.078,-289.47368421052636,0.05996484375,,,
25.0,price_crossunder_sma_2,[25],price_crossunder_sma_2^25,4,4,271,0.05,0.03908371518079406,271,0.054,0.685,50.923,1.185,0.079,119.11764705882352,0.07075340145985401,271,0.029,1.038,50.923,1.034,0.028,-174.5454545454546,0.020356714836223505,270,-0.012,1.193,48.519,1.035,0.01,-401.9138755980863,-0.012,,,
30.0,rsi_crossunder50,[30],rsi_crossunder50^30,4,4,164,0.03,0.04655594789652572,164,0.047,0.727,58.537,0.835,0.065,-192.98245614035088,0.03311269601100412,164,0.083,0.955,56.707,0.955,0.087,-264.20047732696895,0.058604952879581146,162,0.088,1.105,56.173,0.956,0.08,-183.5073068893528,0.06209057013574659,,,
90.0,price_crossunder_ema,[90],price_crossunder_ema^90,4,4,135,0.025,0.051010404072597465,135,0.0,0.859,59.259,0.688,0.0,0.0,0.0,135,0.119,1.036,55.556,1.076,0.115,-72.5338491295938,0.08425682432432433,133,0.181,1.166,58.647,1.029,0.155,-26.282853566958696,0.12866678387650082,,,
60.0,price_crossunder_ema,[60],price_crossunder_ema^60,4,4,162,0.03,0.052954062101119206,162,0.059,0.724,60.494,0.804,0.081,-133.95348837209303,0.04163656077348066,162,0.087,0.953,56.79,0.963,0.091,-233.33333333333334,0.06145596012591814,160,0.097,1.107,56.25,0.971,0.088,-136.8,0.06849496838301716,,,
210.0,trix_start_decrease,[210],trix_start_decrease^210,4,0,16,0.003,0.05683589235,16,0.158,0.64,56.25,1.473,0.247,-1.0,0.11333043749999999,16,0.049,0.625,37.5,2.028,0.078,-1.0,0.034568912,16,-0.051,0.953,56.25,0.691,0.054,-1.0,-0.051,,,
50.0,roc_crossunder0,[50],roc_crossunder0^50,4,4,162,0.03,0.06140553185067477,162,0.004,0.75,52.469,0.919,0.005,-258.33333333333337,0.0028014933333333327,161,0.142,0.907,56.522,1.159,0.157,-23.73737373737374,0.10095620727673649,158,0.208,1.013,58.228,1.207,0.205,-41.935483870967744,0.1485896150049358,,,
55.0,roc_crossunder0,[55],roc_crossunder0^55,4,4,139,0.026,0.062052284258189885,139,0.046,0.773,50.36,1.157,0.06,-136.1233480176211,0.032391617076326006,138,0.08,1.004,50.725,1.201,0.08,-0.8849557522123894,0.05922927757994571,137,0.107,1.112,56.204,1.0,0.096,9.072580645161292,0.14043846223021583,,,
220.0,emacd_histogram_start_decrease,[220 308 264],emacd_histogram_start_decrease^220^308^264,4,4,102,0.019,0.06656235794595716,102,0.079,0.685,51.961,1.24,0.115,-160.40268456375836,0.055937766423357654,102,0.098,1.061,51.961,1.177,0.092,-102.87958115183247,0.06923362865221488,99,0.126,1.212,52.525,1.166,0.104,-210.97770154373924,0.0891169306930693,308,264,
230.0,emacd_histogram_start_decrease,[230 322 230],emacd_histogram_start_decrease^230^322^230,4,4,102,0.019,0.06714652845389928,102,0.063,0.689,55.882,0.997,0.091,-196.31336405529953,0.044503236574746,102,0.122,1.012,53.922,1.167,0.121,-100.0,0.08642952569169961,99,0.134,1.22,54.545,1.091,0.11,-220.51696284329566,0.09483026229508196,322,230,
180.0,price_crossunder_sma,[180],price_crossunder_sma^180,4,4,79,0.015,0.07087098123212582,79,0.074,0.832,56.962,0.961,0.089,4236.000000000001,0.09705562499999999,79,0.114,1.049,56.962,0.981,0.109,43349.999999999956,0.14981056244041946,77,-0.113,1.123,46.753,0.893,0.101,0.0,-0.113,,,
55.0,emacd_histogram_start_decrease_2,[55 77 61],emacd_histogram_start_decrease_2^55^77^61,4,4,177,0.033,0.07222057530853583,177,0.065,0.854,49.718,1.24,0.076,468.7499999999999,0.08514314988290399,176,0.102,1.038,55.114,1.049,0.098,-84.34163701067615,0.07210161849710982,175,0.057,1.181,53.714,0.972,0.048,-72.55434782608697,0.040092574089754446,77,61,
60.0,emacd_start_decrease,[ 60 120],emacd_start_decrease^60^120,4,4,178,0.033,0.07351366466711011,178,0.109,0.719,55.056,1.242,0.152,189.2988929889299,0.14384816411682894,178,0.036,0.92,53.371,0.973,0.039,-127.27272727272727,0.025298608695652168,177,-0.03,1.103,51.977,0.86,0.027,-813.5593220338983,-0.03,120,,
190.0,trix_start_decrease,[190],trix_start_decrease^190,4,0,16,0.003,0.07403730597334669,16,0.147,0.798,68.75,0.818,0.184,-1.0,0.10479552631578946,16,0.091,0.609,50.0,1.434,0.149,-1.0,0.06465183908045977,16,0.016,0.898,56.25,0.811,0.018,-1.0,0.011219955456570155,,,
