param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
6.0,roc_lower0^6,2026-03-02 01:00:00,2026-06-17 18:15:00,17.612,73.27,14.793,2.611,3.286,4.953,28.059,1.469,0.102,1057.0,65.09,0.604,49.185,0.0,26.907,1766.389,7.539,47.33,60.965,234.295,37.321,1.953,0.091,328.0,67.683,0.731,50.64,0.0,-8.164,-161.837,12.215,-7.005,-8.663,-13.249,23.102,1.209,0.112,266.0,61.654,0.486,47.284,0.0,2.438,35.751,6.616,1.551,1.976,5.404,23.053,1.207,0.101,286.0,66.434,0.552,49.437,0.0,-1.621,-41.932,6.22,-1.564,-1.907,-6.741,26.804,1.403,0.094,179.0,62.57,0.563,49.404,0.0,roc_lower0,[6],,,,,
170.0,roc_lower0^170,2026-03-02 01:00:00,2026-06-17 18:15:00,28.691,135.072,13.298,4.546,6.403,10.157,29.712,1.555,0.555,194.0,75.258,0.556,47.906,0.0,25.557,1536.572,9.35,39.145,53.391,164.338,39.253,2.055,0.367,81.0,75.309,1.084,48.656,0.0,8.617,175.601,7.324,6.531,11.698,23.977,26.886,1.407,0.584,51.0,82.353,0.383,48.089,0.0,-0.016,-0.198,5.179,-0.009,-0.012,-0.038,23.15,1.212,0.564,51.0,70.588,0.421,47.324,0.0,-5.473,-219.122,7.069,-8.122,-10.185,-30.996,26.978,1.412,1.198,14.0,50.0,0.366,47.346,0.0,roc_lower0,[170],,,,,
40.0,aroon_diff_lower0^40,2026-03-02 01:00:00,2026-06-17 18:15:00,17.145,70.95,11.848,2.383,2.929,5.988,29.777,1.559,0.638,169.0,68.639,0.592,48.017,0.0,15.644,496.028,11.848,12.572,16.428,41.866,39.454,2.065,0.496,60.0,71.667,0.723,48.848,0.0,-2.908,-42.133,8.39,-1.565,-1.649,-5.022,26.927,1.409,0.726,41.0,68.293,0.392,47.284,0.0,2.909,43.889,4.185,1.898,2.577,10.487,23.118,1.21,0.738,39.0,66.667,0.621,46.761,0.0,1.542,39.546,6.187,1.466,1.916,6.391,26.972,1.412,0.524,32.0,62.5,0.711,49.837,0.0,aroon_diff_lower0,[40],,,,,
6.0,aroon_diff_lower0^6,2026-03-02 01:00:00,2026-06-17 18:15:00,21.304,92.401,9.29,3.106,3.848,9.946,29.752,1.557,0.127,849.0,61.602,0.726,49.333,0.0,18.984,745.504,7.337,18.871,22.136,101.608,39.504,2.068,0.115,259.0,60.618,0.919,49.872,0.0,-0.355,-4.445,9.29,-0.166,-0.253,-0.478,26.85,1.405,0.131,227.0,61.233,0.631,47.552,0.0,7.829,160.298,3.415,6.955,8.651,46.939,23.048,1.206,0.132,218.0,65.138,0.718,51.127,0.0,-5.115,-196.366,6.807,-7.304,-8.869,-28.848,26.885,1.407,0.116,145.0,58.621,0.558,48.537,0.0,aroon_diff_lower0,[6],,,,,
210.0,price_lower_sma^210,2026-03-02 01:00:00,2026-06-17 18:15:00,20.266,86.877,16.479,2.938,4.023,5.272,29.575,1.548,0.555,194.0,85.567,0.254,47.887,0.0,27.252,1829.707,9.809,46.905,61.221,186.528,39.009,2.042,0.3,99.0,90.909,0.329,49.488,0.0,5.503,92.909,6.692,3.477,6.023,13.883,26.724,1.399,0.584,51.0,88.235,0.203,48.692,0.0,-6.466,-121.474,7.01,-5.259,-7.316,-17.329,23.097,1.209,1.693,17.0,52.941,0.226,45.07,0.0,-4.078,-138.817,7.051,-5.147,-6.328,-19.688,26.97,1.412,0.559,30.0,76.667,0.166,48.321,0.0,price_lower_sma,[210],,,,,
220.0,price_lower_sma^220,2026-03-02 01:00:00,2026-06-17 18:15:00,23.223,102.913,16.34,3.474,4.822,6.298,29.626,1.551,0.561,192.0,85.938,0.263,47.887,0.0,27.145,1809.753,9.809,46.195,61.726,184.494,39.176,2.051,0.313,95.0,88.421,0.499,49.104,0.0,5.871,101.321,6.692,3.791,6.535,15.14,26.726,1.399,0.562,53.0,90.566,0.162,48.759,0.0,-5.571,-98.98,6.12,-4.284,-5.944,-16.173,23.102,1.209,1.371,21.0,61.905,0.215,45.423,0.0,-2.907,-86.631,7.905,-3.221,-4.061,-10.959,26.899,1.408,0.645,26.0,76.923,0.198,48.321,0.0,price_lower_sma,[220],,,,,
210.0,price_lower_ema^210,2026-03-02 01:00:00,2026-06-17 18:15:00,34.382,172.191,12.334,5.783,8.148,13.96,29.777,1.559,0.503,214.0,85.981,0.305,47.776,0.0,31.421,2766.935,10.21,70.137,95.609,271.0,39.451,2.065,0.313,95.0,92.632,0.309,48.976,0.0,3.286,48.665,5.909,1.81,3.154,8.235,26.881,1.407,0.634,47.0,78.723,0.36,47.284,0.0,-3.176,-48.708,4.741,-2.108,-2.919,-10.274,23.104,1.209,0.822,35.0,71.429,0.259,46.056,0.0,2.407,67.863,6.133,2.514,3.207,11.065,26.99,1.413,0.419,40.0,87.5,0.195,49.296,0.0,price_lower_ema,[210],,,,,
190.0,price_lower_ema^190,2026-03-02 01:00:00,2026-06-17 18:15:00,41.796,226.521,11.657,7.612,10.726,19.433,29.759,1.558,0.449,240.0,87.083,0.297,47.943,0.0,34.759,3801.256,10.21,96.392,131.908,372.304,39.436,2.064,0.283,105.0,91.429,0.378,49.168,0.0,4.812,77.956,5.909,2.898,5.092,13.192,26.903,1.408,0.662,45.0,80.0,0.375,47.485,0.0,-2.278,-33.084,4.018,-1.432,-1.99,-8.235,23.103,1.209,0.738,39.0,74.359,0.259,46.056,0.0,2.892,86.061,6.264,3.206,3.979,13.738,26.848,1.405,0.311,54.0,90.741,0.14,49.621,0.0,price_lower_ema,[190],,,,,
25.0,sma_fast_lower_slow^25^45,2026-03-02 01:00:00,2026-06-17 18:15:00,11.819,46.015,15.928,1.544,1.883,2.889,29.796,1.56,0.816,132.0,61.364,0.768,47.646,0.0,17.884,654.37,11.556,16.563,20.86,56.626,39.509,2.068,0.692,43.0,76.744,0.597,49.04,0.0,-7.272,-136.537,15.201,-5.079,-5.292,-8.982,26.884,1.407,1.103,27.0,51.852,0.563,47.082,0.0,-2.332,-33.978,6.981,-1.47,-2.004,-4.868,23.11,1.21,0.822,35.0,54.286,0.702,45.493,0.0,4.9,183.42,4.264,6.792,9.543,43.019,27.004,1.413,0.559,30.0,56.667,1.222,49.621,0.0,sma_fast_lower_slow,[25 45],45,,,,
16.0,sma_fast_lower_slow^16^22,2026-03-02 01:00:00,2026-06-17 18:15:00,27.373,127.011,8.247,4.304,5.557,15.401,29.507,1.544,0.34,317.0,63.091,0.796,48.832,0.0,5.439,91.647,5.976,2.339,3.62,15.335,39.188,2.051,0.372,80.0,60.0,0.845,47.183,0.0,3.498,52.447,6.271,1.972,2.019,8.363,26.59,1.392,0.342,87.0,60.92,0.75,49.095,0.0,4.435,73.445,5.887,3.217,4.259,12.477,22.832,1.195,0.303,95.0,63.158,0.737,48.169,0.0,11.938,1065.768,4.803,39.796,52.029,221.896,26.781,1.402,0.289,58.0,70.69,0.908,52.329,0.0,sma_fast_lower_slow,[16 22],22,,,,
