param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
250.0,smi_k_crossunder_d_2,[250 225 225  70],smi_k_crossunder_d_2^250^225^225^70,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,225,70
10.0,adx_plus_crossunder_minus,[10],adx_plus_crossunder_minus^10,4,4,290,0.054,0.11397477287360651,289,0.122,0.976,56.401,1.091,0.125,-79.56777996070727,0.08646749999999999,289,0.191,1.341,56.401,1.141,0.142,-138.76221498371336,0.135604302759135,288,0.212,1.657,58.681,0.984,0.128,-143.5820895522388,0.1502986602293301,,,
8.0,adx_plus_crossunder_minus,[8],adx_plus_crossunder_minus^8,4,4,342,0.063,0.11508971289946676,341,0.119,0.958,56.305,1.09,0.124,-69.03765690376568,0.0843347286012526,341,0.195,1.317,57.771,1.089,0.148,-129.25026399155223,0.13852107061503416,340,0.221,1.605,57.941,1.044,0.138,-137.61726078799254,0.15683013707165108,,,
220.0,price_crossunder_ema,[220],price_crossunder_ema^220,4,4,100,0.019,0.11681178095023255,100,0.145,1.023,55.0,1.159,0.142,-144.78527607361963,0.10293866080156401,100,0.207,1.323,54.0,1.271,0.156,-204.40528634361237,0.14716714285714286,100,0.15,1.638,57.0,0.942,0.092,-272.5701943844492,0.10596153846153845,,,
130.0,rsi_crossunder50,[130],rsi_crossunder50^130,4,4,77,0.014,0.12360172693239727,77,0.139,1.02,54.545,1.157,0.136,-213.30935251798562,0.09862595098039216,77,0.216,1.319,48.052,1.645,0.164,-267.4399337199669,0.15367605761940864,77,0.199,1.701,51.948,1.22,0.117,-329.31354359925786,0.140929670781893,,,
100.0,rsi_crossunder50,[100],rsi_crossunder50^100,4,4,115,0.021,0.12427625839860644,115,0.15,0.971,58.261,1.057,0.154,-80.4416403785489,0.10662203913491244,115,0.208,1.162,54.783,1.32,0.179,-103.49877949552481,0.14820626506024095,115,0.187,1.514,60.0,0.902,0.124,-156.4164648910412,0.1325167965653897,,,
230.0,price_crossunder_ema,[230],price_crossunder_ema^230,4,4,94,0.017,0.12609788480777057,94,0.146,1.012,55.319,1.154,0.144,-147.20087815587266,0.10367442687747035,94,0.223,1.296,52.128,1.426,0.172,-204.74708171206225,0.1587859799382716,94,0.188,1.623,57.447,0.982,0.116,-252.7494908350306,0.13312438693776954,,,
140.0,roc_crossunder0,[140],roc_crossunder0^140,4,4,80,0.015,0.16068772755266866,79,0.208,0.916,58.228,1.318,0.227,-187.09239130434784,0.14890620087336243,79,0.213,1.276,55.696,1.198,0.167,-269.8275862068965,0.151588894984326,79,0.286,1.595,53.165,1.352,0.179,-214.5294725956567,0.20378979310344822,,,
35.0,rsi_fast_crossunder_slow,[35 91],rsi_fast_crossunder_slow^35^91,4,4,220,0.041,0.178571624184942,219,0.164,1.095,60.731,0.999,0.15,17.35074626865672,0.21639313242009134,219,0.188,1.391,58.447,1.031,0.135,-145.52238805970148,0.13337863407620415,219,0.214,1.597,61.644,0.884,0.134,-173.02771855010664,0.1518073387601753,91,,
170.0,roc_crossunder0,[170],roc_crossunder0^170,4,3,97,0.018,0.18173366496190815,97,0.258,0.866,62.887,1.28,0.298,-162.63736263736263,0.1859804618937644,97,0.245,1.233,49.485,1.71,0.199,-275.9124087591241,0.17490774533657744,97,0.255,1.594,54.639,1.248,0.16,-309.0032154340836,0.18135555207026346,,,
