param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
8.0,roc_lower0^8,2026-03-02 01:00:00,2026-06-17 18:15:00,12.413,48.66,17.93,2.197,2.926,2.714,22.145,1.159,0.116,929.0,62.971,0.668,44.02,0.0,-1.878,-25.669,11.21,-1.067,-1.464,-2.29,24.048,1.259,0.118,251.0,62.151,0.576,44.558,0.0,-3.57,-53.762,8.142,-2.629,-3.156,-6.603,20.448,1.07,0.118,253.0,62.846,0.514,42.982,0.0,15.847,546.771,3.027,23.204,37.056,180.619,23.564,1.233,0.113,255.0,61.961,1.08,44.155,0.0,2.555,73.213,4.853,3.546,4.051,15.086,20.645,1.081,0.099,170.0,65.882,0.613,44.577,0.0,roc_lower0,[8],,,,,
60.0,roc_lower0^60,2026-03-02 01:00:00,2026-06-17 18:15:00,16.322,66.912,8.581,3.022,4.106,7.798,22.144,1.159,0.329,327.0,68.196,0.609,43.149,0.0,1.019,13.265,8.581,0.549,0.768,1.546,24.164,1.265,0.372,80.0,66.25,0.542,43.022,0.0,-2.225,-30.987,5.937,-1.514,-1.875,-5.219,20.466,1.071,0.363,82.0,68.293,0.405,42.377,0.0,6.7,127.733,6.23,5.436,7.753,20.504,23.496,1.23,0.374,77.0,70.13,0.677,43.662,0.0,10.448,770.638,5.415,37.58,53.602,142.303,20.507,1.073,0.184,91.0,69.231,1.144,43.926,0.0,roc_lower0,[60],,,,,
8.0,aroon_diff_lower0^8,2026-03-02 01:00:00,2026-06-17 18:15:00,6.792,24.94,14.908,1.124,1.561,1.673,22.186,1.161,0.163,662.0,60.121,0.719,43.149,0.0,-7.998,-157.269,12.808,-6.526,-8.768,-12.279,24.1,1.261,0.157,189.0,55.026,0.611,43.342,0.0,-1.485,-19.823,5.199,-0.969,-1.234,-3.813,20.459,1.071,0.171,174.0,61.494,0.593,42.78,0.0,15.3,509.096,3.017,21.563,37.92,168.729,23.61,1.236,0.151,191.0,59.162,1.231,42.817,0.0,2.097,57.144,3.307,2.765,3.432,17.28,20.669,1.082,0.154,109.0,67.89,0.562,43.926,0.0,aroon_diff_lower0,[8],,,,,
6.0,aroon_diff_lower0^6,2026-03-02 01:00:00,2026-06-17 18:15:00,25.958,118.58,8.536,5.335,7.403,13.892,22.229,1.164,0.129,832.0,61.178,0.797,43.668,0.0,-0.913,-11.811,8.536,-0.491,-0.688,-1.384,24.061,1.259,0.129,230.0,60.435,0.64,43.086,0.0,1.145,14.982,5.77,0.722,0.9,2.597,20.76,1.087,0.132,225.0,57.778,0.765,43.251,0.0,18.331,746.676,3.091,31.702,53.952,241.583,23.553,1.233,0.127,227.0,62.115,1.11,43.521,0.0,5.88,247.015,2.508,11.962,14.631,98.503,20.649,1.081,0.11,153.0,64.706,0.79,45.445,0.0,aroon_diff_lower0,[6],,,,,
12.0,price_lower_sma^12,2026-03-02 01:00:00,2026-06-17 18:15:00,9.197,34.734,15.483,1.574,2.098,2.243,22.071,1.155,0.126,854.0,70.141,0.47,43.315,0.0,-1.635,-22.04,9.882,-0.916,-1.246,-2.23,24.061,1.259,0.119,250.0,69.6,0.417,44.366,0.0,-4.403,-69.641,7.923,-3.363,-4.1,-8.79,20.706,1.084,0.134,222.0,67.117,0.414,41.706,0.0,15.703,536.654,3.467,23.284,37.59,154.771,23.048,1.206,0.125,231.0,73.16,0.664,43.944,0.0,0.433,9.857,5.183,0.478,0.548,1.902,20.625,1.08,0.109,154.0,70.779,0.429,43.275,0.0,price_lower_sma,[12],,,,,
8.0,price_lower_sma^8,2026-03-02 01:00:00,2026-06-17 18:15:00,14.562,58.512,15.341,2.662,3.545,3.814,21.984,1.151,0.099,1085.0,66.728,0.566,43.556,0.0,-3.735,-56.888,12.813,-2.368,-3.204,-4.44,24.028,1.258,0.095,313.0,61.981,0.556,43.086,0.0,0.386,4.841,6.517,0.238,0.295,0.743,20.319,1.064,0.099,301.0,66.113,0.523,42.982,0.0,17.349,661.689,3.185,28.642,45.349,207.737,23.102,1.209,0.101,284.0,70.07,0.756,44.296,0.0,0.8,18.949,5.06,0.915,1.044,3.745,20.699,1.083,0.089,189.0,69.312,0.467,44.035,0.0,price_lower_sma,[8],,,,,
8.0,price_lower_ema^8,2026-03-02 01:00:00,2026-06-17 18:15:00,8.004,29.809,14.804,1.382,1.731,2.014,21.569,1.129,0.098,1095.0,66.393,0.547,43.26,0.0,-2.852,-41.246,10.696,-1.716,-2.346,-3.856,24.037,1.258,0.093,321.0,64.174,0.517,43.662,0.0,-3.065,-44.804,7.801,-2.2,-2.734,-5.743,20.368,1.066,0.104,285.0,64.211,0.502,42.042,0.0,10.606,259.4,3.207,12.02,14.457,80.882,21.581,1.13,0.101,285.0,68.07,0.701,43.451,0.0,3.369,105.764,4.353,5.129,5.932,24.298,20.62,1.079,0.081,207.0,69.565,0.533,44.143,0.0,price_lower_ema,[8],,,,,
6.0,price_lower_ema^6,2026-03-02 01:00:00,2026-06-17 18:15:00,8.641,32.422,15.106,1.506,1.855,2.146,21.528,1.127,0.085,1262.0,64.976,0.583,43.501,0.0,-1.817,-24.749,12.477,-1.031,-1.396,-1.984,24.009,1.257,0.084,355.0,61.69,0.596,43.918,0.0,-2.161,-29.986,7.689,-1.478,-1.816,-3.9,20.293,1.062,0.088,337.0,62.611,0.559,42.445,0.0,9.618,220.743,3.153,10.228,12.007,70.002,21.582,1.13,0.087,332.0,66.867,0.693,43.521,0.0,2.944,88.131,4.83,4.284,4.819,18.248,20.57,1.077,0.07,240.0,70.0,0.503,44.36,0.0,price_lower_ema,[6],,,,,
220.0,sma_fast_lower_slow^220^484,2026-03-02 01:00:00,2026-06-17 18:15:00,20.418,87.678,8.758,3.956,4.94,10.011,22.164,1.16,7.183,15.0,86.667,0.579,44.02,0.0,12.556,327.483,4.321,13.564,21.002,75.79,24.144,1.264,4.956,6.0,83.333,4.754,44.814,0.0,8.281,165.327,3.039,8.101,10.972,54.406,20.408,1.068,7.445,4.0,100.0,100.0,45.467,0.0,3.225,49.607,5.08,2.105,2.091,9.766,23.569,1.234,5.756,5.0,60.0,2.466,43.944,0.0,-4.348,-152.681,8.758,-7.397,-9.975,-17.433,20.641,1.08,5.593,3.0,66.667,0.145,40.347,0.0,sma_fast_lower_slow,[220 484],484,,,,
230.0,sma_fast_lower_slow^230^368,2026-03-02 01:00:00,2026-06-17 18:15:00,26.014,118.909,8.758,5.365,6.779,13.577,22.162,1.16,5.13,21.0,80.952,0.917,44.131,0.0,11.653,287.196,5.02,11.895,18.106,57.207,24.145,1.264,4.956,6.0,66.667,3.417,44.686,0.0,12.727,334.614,4.126,16.406,23.869,81.095,20.396,1.068,3.723,8.0,100.0,100.0,45.735,0.0,4.433,73.408,5.08,3.115,3.104,14.451,23.57,1.234,4.112,7.0,85.714,0.85,44.366,0.0,-4.194,-144.649,8.758,-7.009,-9.459,-16.516,20.639,1.08,5.593,3.0,66.667,0.152,40.13,0.0,sma_fast_lower_slow,[230 368],368,,,,
