param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
8.0,rsi_crossunder50,[8],rsi_crossunder50^8,4,4,390,0.072,-0.0468,389,-0.051,0.727,48.329,0.888,0.07,0.0,-0.051,386,-0.065,1.054,44.041,1.082,0.062,-4018.1818181818217,-0.065,383,-0.009,1.216,45.17,1.19,0.007,-541.7721518987341,-0.009,,,
130.0,rsi_crossunder50,[130],rsi_crossunder50^130,4,3,104,0.019,-0.0384,103,-0.031,0.732,44.66,1.106,0.042,0.0,-0.031,103,-0.049,1.11,35.922,1.584,0.044,0.0,-0.049,103,-0.041,1.265,37.864,1.507,0.032,0.0,-0.041,,,
35.0,adx_plus_crossunder_minus,[35],adx_plus_crossunder_minus^35,4,4,128,0.024,-0.03399997014925373,127,-0.059,0.782,48.031,0.873,0.075,0.0,-0.059,127,0.001,1.005,49.606,1.019,0.001,0.0,0.0010000995024875624,127,-0.024,1.124,48.031,1.023,0.021,0.0,-0.024,,,
10.0,price_crossunder_ema,[10],price_crossunder_ema^10,4,4,483,0.09,-0.0327,482,-0.024,0.692,48.963,0.948,0.035,-1691.6666666666665,-0.024,479,-0.065,1.018,44.885,1.041,0.064,-3207.692307692308,-0.065,474,-0.006,1.207,45.57,1.179,0.005,-462.08053691275165,-0.006,,,
6.0,price_crossunder_ema,[6],price_crossunder_ema^6,4,4,631,0.117,-0.025500000000000002,629,-0.009,0.711,49.762,0.976,0.013,-797.1428571428571,-0.009,625,-0.05,1.015,46.08,1.03,0.049,-3309.677419354839,-0.05,620,-0.03,1.216,45.806,1.111,0.025,-608.955223880597,-0.03,,,
12.0,price_crossunder_sma,[12],price_crossunder_sma^12,4,4,427,0.079,-0.024858614881439083,425,-0.021,0.703,49.412,0.946,0.03,-903.0927835051544,-0.021,422,-0.053,1.044,43.365,1.142,0.051,-1275.6521739130437,-0.053,419,0.011,1.223,45.823,1.211,0.009,-393.646408839779,0.007706925592804578,,,
220.0,price_crossunder_sma,[220],price_crossunder_sma^220,4,4,103,0.019,-0.024300000000000002,103,-0.023,0.624,48.544,0.96,0.037,0.0,-0.023,103,-0.02,0.888,46.602,1.076,0.023,0.0,-0.02,103,-0.034,1.0,44.66,1.131,0.034,0.0,-0.034,,,
190.0,adx_plus_crossunder_minus,[190],adx_plus_crossunder_minus^190,4,4,60,0.011,-0.02187040167707837,60,-0.096,0.646,48.333,0.736,0.149,0.0,-0.096,60,0.067,1.141,50.0,1.17,0.059,-73.05699481865283,0.04717539877300613,60,0.085,1.314,48.333,1.264,0.065,-87.07124010554088,0.05988489345509893,,,
250.0,smi_k_crossunder_d_2,[250 225 225  85],smi_k_crossunder_d_2^250^225^225^85,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,225,85
230.0,supertrend_short_signal,[230.    2.1],supertrend_short_signal^230.0^2.1,4,4,125,0.023,0.015325943637866778,124,0.003,0.787,51.613,0.948,0.004,-615.3846153846154,0.0021008005082592124,123,0.023,0.998,52.033,0.981,0.023,-427.33812949640287,0.016137104208416835,123,0.067,1.155,51.22,1.111,0.058,-160.0,0.047172060606060606,2.1,,
220.0,supertrend_short_signal,[220.    2.1],supertrend_short_signal^220.0^2.1,4,4,125,0.023,0.015750479161871295,124,0.002,0.788,51.613,0.944,0.003,-642.8571428571428,0.0014003553299492385,123,0.026,0.996,52.033,0.989,0.026,-393.3774834437086,0.01824751004016064,123,0.068,1.155,51.22,1.115,0.059,-157.00934579439254,0.04788024242424242,2.1,,
220.0,rsi_fast_crossunder_slow,[220 528],rsi_fast_crossunder_slow^220^528,4,3,74,0.014,0.02114384252110926,74,0.001,0.76,40.541,1.472,0.001,0.0,0.0010001315789473684,74,0.044,0.963,37.838,1.855,0.046,4049.9999999999964,0.05746134994807892,74,0.017,1.076,43.243,1.371,0.016,0.0,0.01702685873605948,528,,
80.0,rvi_crossunder0,[80 'SMA'],rvi_crossunder0^80^SMA,4,4,112,0.021,0.03926786213480732,112,0.068,0.803,48.214,1.386,0.085,-246.42857142857144,0.048003088418430886,112,0.102,0.887,53.571,1.204,0.115,-59.16955017301038,0.07222105975197293,112,-0.032,1.166,44.643,1.153,0.027,-2003.3898305084747,-0.032,SMA,,
55.0,rvi_crossunder_signal,[55 33],rvi_crossunder_signal^55^33,4,4,331,0.061,0.04226777300737364,331,0.019,0.657,51.36,1.021,0.029,-345.0980392156862,0.013338462709284626,329,0.098,1.035,47.112,1.446,0.095,-96.4824120603015,0.0692495458937198,327,0.105,1.248,50.459,1.224,0.084,-43.85150812064965,0.0741183894230769,33,,
50.0,rvi_crossunder_signal,[50 40],rvi_crossunder_signal^50^40,4,4,318,0.059,0.04230949387423875,318,0.029,0.661,52.516,1.014,0.044,-301.6304347826087,0.02038906202723147,316,0.091,1.031,47.468,1.402,0.088,-94.41176470588235,0.06426224054316197,314,0.091,1.204,50.955,1.171,0.076,-2.6785714285714284,0.06418145348837209,40,,
230.0,aroon_diff_crossunder0,[230],aroon_diff_crossunder0^230,4,0,11,0.002,0.04530068207507768,11,0.097,0.524,54.545,1.274,0.185,-1.0,0.06915692748091602,11,0.044,0.507,54.545,1.013,0.087,-1.0,0.03106729783037475,11,0.01,0.69,54.545,0.866,0.014,-1.0,0.007010144927536231,,,
160.0,rvi_crossunder0,[160 'EMA'],rvi_crossunder0^160^EMA,4,4,102,0.019,0.04615223667475451,98,0.056,0.701,48.98,1.277,0.08,300.0,0.07338156918687591,98,0.046,1.033,43.878,1.449,0.045,0.0,0.04620484027105518,98,-0.022,1.155,41.837,1.324,0.019,0.0,-0.022,EMA,,
110.0,price_crossunder_sma_2,[110],price_crossunder_sma_2^110,4,4,90,0.017,0.046548666906249675,90,-0.024,0.798,47.778,1.014,0.03,0.0,-0.024,90,0.043,0.983,47.778,1.218,0.044,0.0,0.0431880976602238,90,0.173,1.271,48.889,1.514,0.136,42.60700389105058,0.22796118804091264,,,
220.0,emacd_histogram_start_decrease_2,[220 616 242],emacd_histogram_start_decrease_2^220^616^242,4,4,71,0.013,0.057050218501702624,71,-0.083,0.642,42.254,0.962,0.129,0.0,-0.083,71,0.067,0.881,52.113,1.106,0.076,30.716723549488055,0.08776239500567538,71,0.271,1.084,60.563,1.183,0.25,46.19615032080661,0.3611075,616,242,
220.0,aroon_diff_crossunder0,[220],aroon_diff_crossunder0^220,4,0,12,0.002,0.06503946187693824,12,0.071,0.486,66.667,0.687,0.146,-1.0,0.05042606995884773,12,0.146,0.458,50.0,2.143,0.319,-1.0,0.105457903930131,12,0.058,0.682,50.0,1.269,0.085,-1.0,0.040945278592375366,,,
190.0,trix_start_decrease,[190],trix_start_decrease^190,4,0,12,0.002,0.06988203632534351,12,-0.012,0.346,41.667,1.292,0.035,-1.0,-0.012,12,0.157,0.845,66.667,0.798,0.186,-1.0,0.11194192899408285,12,0.294,1.062,66.667,0.943,0.277,-1.0,0.2114972881355932,,,
100.0,emacd_histogram_start_decrease,[100 140  60],emacd_histogram_start_decrease^100^140^60,4,4,186,0.034,0.07423164651416965,186,0.085,0.693,56.452,1.081,0.123,-77.9126213592233,0.06022979797979798,184,0.151,1.126,49.457,1.49,0.134,-58.54765506807866,0.10711746891651863,183,0.085,1.241,50.273,1.188,0.068,-116.23376623376622,0.05990753424657534,140,60,
80.0,emacd_histogram_start_decrease,[ 80 176  64],emacd_histogram_start_decrease^80^176^64,4,4,197,0.037,0.07673088638951017,197,0.085,0.708,54.315,1.164,0.12,-93.4959349593496,0.060214336158192085,195,0.156,1.107,48.718,1.557,0.141,-52.26130653266332,0.11073886178861789,194,0.095,1.238,50.0,1.224,0.077,-105.66502463054186,0.06701029886914378,176,64,
