param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
250.0,smi_k_crossunder_d_2,[250 225 225  85],smi_k_crossunder_d_2^250^225^225^85,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,225,85
200.0,aroon_diff_crossunder0,[200],aroon_diff_crossunder0^200,4,0,17,0.003,0.06466226942958521,17,0.105,1.035,58.824,0.923,0.101,-1.0,0.07424565217391305,17,0.123,1.03,64.706,0.732,0.119,-1.0,0.08712818446601941,17,0.01,1.417,47.059,1.146,0.007,-1.0,0.007004940014114325,,,
170.0,supertrend_short_signal,[170.    3.9],supertrend_short_signal^170.0^3.9,4,4,54,0.01,0.0767032533324974,53,0.03,0.51,54.717,0.958,0.059,-151.98237885462552,0.0211235294117647,53,0.124,0.773,52.83,1.363,0.16,434.8178137651822,0.16378587322121604,53,0.065,1.039,56.604,0.914,0.063,182.1428571428571,0.08502863330125121,3.9,,
110.0,supertrend_short_signal,[110.    3.7],supertrend_short_signal^110.0^3.7,4,4,55,0.01,0.07873533041218649,54,0.037,0.497,53.704,1.036,0.074,-138.0,0.02609281690140845,54,0.141,0.742,53.704,1.428,0.19,327.43902439024384,0.18678319407008084,54,0.037,1.048,53.704,0.953,0.035,407.99999999999994,0.04826981870229008,3.7,,
90.0,trix_crossunder_signal,[90 63],trix_crossunder_signal^90^63,4,0,21,0.004,0.08770457995098069,21,0.085,0.5,47.619,1.705,0.17,-1.0,0.06051149999999999,21,0.193,0.834,66.667,0.974,0.231,-1.0,0.1382264148681055,21,0.113,1.111,57.143,0.966,0.102,-1.0,0.07990452745274527,63,,
80.0,trix_crossunder_signal,[80 64],trix_crossunder_signal^80^64,4,0,21,0.004,0.08859895620071684,21,0.128,0.56,61.905,1.132,0.229,-1.0,0.091648,21,0.144,0.8,52.381,1.465,0.18,-1.0,0.1026144,21,0.085,1.116,47.619,1.347,0.076,-1.0,0.05995318100358423,64,,
190.0,emacd_start_decrease,[190 304],emacd_start_decrease^190^304,4,4,91,0.017,0.10040564534277235,91,0.04,0.586,52.747,1.081,0.068,1770.9677419354848,0.05235494880546076,91,0.077,0.737,51.648,1.242,0.104,406.4516129032258,0.10114582089552239,91,0.166,0.989,58.242,1.172,0.168,115.33477321814254,0.21942212335692624,304,,
140.0,trix_start_decrease,[140],trix_start_decrease^140,4,0,20,0.004,0.10173808223179259,20,0.105,0.429,55.0,1.581,0.245,-1.0,0.07529895104895104,20,0.198,0.902,65.0,1.05,0.22,-1.0,0.14164243902439025,20,0.152,1.024,65.0,0.76,0.148,-1.0,0.107979375,,,
90.0,kdj_k_crossunder50,[90 27],kdj_k_crossunder50^90^27,4,0,27,0.005,0.10196586935989034,27,0.172,0.651,51.852,2.011,0.264,-1.0,0.1235810752688172,27,0.185,0.794,55.556,1.52,0.233,-1.0,0.13251731738035263,27,0.003,0.923,48.148,1.087,0.003,-1.0,0.00210068255687974,27,,
170.0,smi_k_crossunder_d,[170 136 153],smi_k_crossunder_d^170^136^153,4,0,12,0.002,0.103101504,12,0.378,0.625,58.333,4.398,0.605,-1.0,0.280603008,12,-0.012,1.108,66.667,0.486,0.011,-1.0,-0.012,12,-0.168,1.483,50.0,0.739,0.113,-1.0,-0.168,136,153,
210.0,aroon_diff_crossunder0,[210],aroon_diff_crossunder0^210,4,0,17,0.003,0.10375410808511293,17,0.109,0.94,58.824,1.023,0.116,-1.0,0.07718475531914892,17,0.199,0.966,52.941,1.495,0.206,-1.0,0.14216963768115942,17,0.159,1.411,58.824,0.944,0.113,-1.0,0.11255419560595323,,,
70.0,rsi_fast_crossunder_slow,[ 70 182],rsi_fast_crossunder_slow^70^182,4,4,151,0.028,0.10501149629154816,149,0.039,0.56,48.993,1.257,0.07,19.35483870967742,0.05105308928571429,149,0.111,0.784,53.691,1.254,0.142,420.83333333333337,0.14634302295918367,149,0.135,0.983,56.376,1.117,0.137,421.6535433070866,0.17791022380467955,182,,
18.0,mass_crossunder1,[18  5],mass_crossunder1^18^5,4,4,112,0.021,0.10969933735688941,111,0.106,0.507,56.757,1.468,0.209,165.7587548638132,0.14068102564102564,110,0.102,0.701,56.364,1.207,0.146,195.19650655021832,0.13452941512125532,110,-0.005,1.002,52.727,0.885,0.005,0.0,-0.005,5,,
