param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
220.0,roc_lower0^220,2026-03-02 01:00:00,2026-06-17 18:15:00,16.715,68.831,15.453,2.127,2.972,4.454,32.366,1.694,0.743,145.0,72.414,0.551,43.44,0.0,22.267,1081.149,9.559,27.83,41.116,113.108,38.849,2.033,0.472,63.0,73.016,1.094,44.622,0.0,4.593,73.463,10.099,2.437,3.582,7.274,30.141,1.578,0.764,39.0,71.795,0.628,41.583,0.0,-2.624,-38.926,12.567,-1.254,-1.623,-3.098,31.049,1.625,1.439,20.0,75.0,0.274,44.789,0.0,-6.732,-313.212,7.299,-11.19,-14.584,-42.914,27.991,1.465,0.645,26.0,69.231,0.196,42.254,0.0,roc_lower0,[220],,,,,
35.0,roc_lower0^35,2026-03-02 01:00:00,2026-06-17 18:15:00,34.398,172.306,16.871,5.331,7.338,10.213,32.323,1.692,0.248,435.0,68.276,0.628,45.015,0.0,8.184,162.771,16.871,4.194,5.937,9.648,38.814,2.032,0.211,141.0,67.376,0.616,46.031,0.0,13.353,365.156,7.715,12.117,17.474,47.331,30.135,1.577,0.216,138.0,70.29,0.674,44.333,0.0,2.929,44.253,10.315,1.429,1.821,4.29,30.975,1.621,0.274,105.0,68.571,0.517,45.141,0.0,5.957,252.595,5.497,9.017,13.402,45.951,28.012,1.466,0.311,54.0,66.667,0.756,44.095,0.0,roc_lower0,[35],,,,,
8.0,aroon_diff_lower0^8,2026-03-02 01:00:00,2026-06-17 18:15:00,8.526,31.951,18.378,0.989,1.213,1.739,32.293,1.69,0.167,645.0,62.326,0.646,44.774,0.0,14.045,402.319,10.737,10.351,12.336,37.471,38.869,2.035,0.156,191.0,65.969,0.671,46.671,0.0,-3.809,-58.168,9.563,-1.942,-2.526,-6.083,29.959,1.568,0.176,169.0,57.988,0.654,42.924,0.0,2.716,40.51,12.894,1.31,1.597,3.142,30.921,1.618,0.164,176.0,64.773,0.59,45.352,0.0,-4.08,-138.877,8.836,-4.951,-6.309,-15.717,28.05,1.468,0.151,111.0,58.559,0.59,43.554,0.0,aroon_diff_lower0,[8],,,,,
6.0,aroon_diff_lower0^6,2026-03-02 01:00:00,2026-06-17 18:15:00,20.97,90.611,13.495,2.804,3.441,6.715,32.316,1.691,0.137,785.0,63.312,0.661,44.885,0.0,18.826,731.836,7.726,18.954,22.845,94.722,38.611,2.021,0.125,237.0,65.823,0.735,46.223,0.0,-5.515,-93.162,11.094,-3.075,-3.948,-8.398,30.296,1.586,0.147,202.0,59.901,0.58,42.656,0.0,7.675,155.606,9.263,5.027,6.002,16.798,30.952,1.62,0.14,206.0,65.534,0.633,46.338,0.0,0.066,1.451,7.219,0.052,0.068,0.201,28.054,1.468,0.12,140.0,60.714,0.654,43.987,0.0,aroon_diff_lower0,[6],,,,,
60.0,price_lower_sma^60,2026-03-02 01:00:00,2026-06-17 18:15:00,14.802,59.639,16.445,1.849,2.535,3.626,32.258,1.688,0.297,363.0,79.89,0.297,44.199,0.0,4.758,76.99,14.885,1.983,2.809,5.172,38.833,2.033,0.283,105.0,78.095,0.338,45.327,0.0,10.0,221.86,7.308,7.35,10.521,30.358,30.183,1.58,0.298,100.0,82.0,0.336,43.93,0.0,-2.532,-37.355,14.526,-1.219,-1.596,-2.572,30.649,1.604,0.269,107.0,81.308,0.21,43.099,0.0,1.714,44.775,6.834,1.599,2.15,6.551,27.999,1.466,0.311,54.0,77.778,0.326,44.312,0.0,price_lower_sma,[60],,,,,
70.0,price_lower_sma^70,2026-03-02 01:00:00,2026-06-17 18:15:00,18.479,77.636,18.005,2.409,3.334,4.312,32.222,1.687,0.307,351.0,82.051,0.268,44.033,0.0,6.716,122.181,14.607,3.154,4.521,8.364,38.733,2.027,0.289,103.0,79.612,0.331,44.942,0.0,12.931,344.38,7.437,11.427,16.512,46.307,30.139,1.578,0.266,112.0,85.714,0.282,44.199,0.0,-2.738,-40.887,15.242,-1.334,-1.755,-2.683,30.649,1.604,0.303,95.0,83.158,0.182,42.887,0.0,0.583,13.488,7.153,0.481,0.652,1.886,28.051,1.468,0.381,44.0,77.273,0.308,43.879,0.0,price_lower_sma,[70],,,,,
80.0,price_lower_ema^80,2026-03-02 01:00:00,2026-06-17 18:15:00,18.613,78.319,18.179,2.429,3.345,4.308,32.248,1.688,0.3,359.0,80.78,0.295,43.903,0.0,13.642,380.979,10.776,9.874,14.339,35.356,38.583,2.02,0.254,117.0,80.342,0.397,45.07,0.0,9.661,209.9,7.505,6.984,9.874,27.968,30.055,1.573,0.281,106.0,85.849,0.267,43.662,0.0,-5.615,-100.039,15.692,-3.226,-4.188,-6.375,31.008,1.623,0.339,85.0,80.0,0.197,42.746,0.0,0.348,7.867,6.914,0.28,0.373,1.138,28.077,1.47,0.311,54.0,74.074,0.36,43.987,0.0,price_lower_ema,[80],,,,,
60.0,price_lower_ema^60,2026-03-02 01:00:00,2026-06-17 18:15:00,26.677,122.835,16.692,3.803,5.231,7.359,32.298,1.691,0.245,439.0,82.005,0.285,44.533,0.0,13.231,360.025,12.158,9.293,13.311,29.612,38.743,2.028,0.234,127.0,77.165,0.454,45.711,0.0,8.714,178.641,7.437,5.933,8.473,24.021,30.11,1.576,0.233,128.0,84.375,0.269,43.796,0.0,-0.192,-2.469,14.865,-0.08,-0.104,-0.166,30.991,1.622,0.234,123.0,85.366,0.171,43.873,0.0,2.601,74.925,6.594,2.675,3.586,11.362,28.01,1.466,0.262,64.0,81.25,0.279,44.637,0.0,price_lower_ema,[60],,,,,
140.0,sma_fast_lower_slow^140^392,2026-03-02 01:00:00,2026-06-17 18:15:00,19.956,85.254,18.766,2.635,3.456,4.543,32.358,1.694,5.67,19.0,73.684,0.675,44.589,0.0,30.386,2501.746,5.987,64.451,91.85,417.854,38.816,2.032,3.304,9.0,88.889,1.661,47.951,0.0,-5.915,-102.345,13.818,-3.394,-4.174,-7.407,30.153,1.578,9.927,3.0,33.333,0.692,41.784,0.0,-4.689,-78.872,8.163,-2.544,-3.075,-9.663,30.998,1.623,4.797,6.0,66.667,0.267,44.859,0.0,2.093,57.002,6.732,2.034,2.957,8.468,28.031,1.467,4.195,4.0,50.0,1.392,42.904,0.0,sma_fast_lower_slow,[140 392],392,,,,
150.0,sma_fast_lower_slow^150^420,2026-03-02 01:00:00,2026-06-17 18:15:00,30.222,144.685,14.646,4.482,5.911,9.879,32.279,1.69,5.67,19.0,78.947,0.683,44.681,0.0,30.564,2545.521,5.987,65.589,92.741,425.166,38.81,2.031,3.304,9.0,88.889,2.401,47.887,0.0,-1.872,-25.535,11.757,-0.855,-1.088,-2.172,29.85,1.562,9.927,3.0,66.667,0.362,41.717,0.0,-2.195,-31.73,7.66,-1.023,-1.233,-4.142,31.022,1.624,4.797,6.0,66.667,0.39,45.07,0.0,3.414,107.717,6.732,3.843,5.596,16.002,28.026,1.467,4.195,4.0,50.0,1.645,43.337,0.0,sma_fast_lower_slow,[150 420],420,,,,
