param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
250.0,smi_k_crossunder_d_2,[250 225 175  75],smi_k_crossunder_d_2^250^225^175^75,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,225,175,75
130.0,aroon_diff_crossunder0,[130],aroon_diff_crossunder0^130,4,0,18,0.003,0.09791868116971851,18,0.052,1.074,44.444,1.413,0.048,-1.0,0.036576238361266285,18,0.288,1.264,50.0,1.757,0.228,-1.0,0.20619341772151895,18,0.126,1.677,50.0,1.213,0.075,-1.0,0.08886268336314848,,,
150.0,aroon_diff_crossunder0,[150],aroon_diff_crossunder0^150,4,0,13,0.002,0.10484313706372755,13,0.278,0.735,69.231,1.105,0.378,-1.0,0.20196038095238095,13,0.223,1.011,61.538,1.051,0.221,-1.0,0.1595431552917903,13,-0.22,1.661,46.154,0.849,0.132,-1.0,-0.22,,,
210.0,price_crossunder_sma_2,[210],price_crossunder_sma_2^210,4,2,43,0.008,0.16328331371188015,43,0.244,1.342,65.116,0.826,0.182,-1.0,0.1739054545454545,43,0.197,1.567,55.814,1.053,0.126,-1.0,0.13963365028717295,43,0.243,1.966,51.163,1.281,0.124,-1.0,0.1722024567650051,,,
18.0,price_crossunder_sma_2,[18],price_crossunder_sma_2^18,4,4,294,0.054,0.19028935657905235,294,0.116,0.983,56.122,1.069,0.118,298.74476987447696,0.15257953204476093,294,0.143,1.388,56.122,1.029,0.103,67.59493670886076,0.18781525216138328,294,0.219,1.744,51.701,1.318,0.126,24.206349206349206,0.2882750745412844,,,
18.0,roc_crossunder0,[18],roc_crossunder0^18,4,4,285,0.053,0.21575563445745127,285,0.108,0.998,55.789,1.061,0.108,332.3275862068966,0.14191935871743486,285,0.203,1.475,56.14,1.14,0.138,105.6122448979592,0.267531979661017,285,0.245,1.866,51.93,1.342,0.131,55.125,0.32268180600214363,,,
180.0,price_crossunder_sma,[180],price_crossunder_sma^180,4,4,72,0.013,0.24654101744392684,72,0.11,1.409,58.333,0.864,0.078,89.44591029023748,0.1441163946061036,72,0.198,1.616,59.722,0.901,0.123,129.77941176470586,0.2605537871287129,72,0.363,1.769,59.722,1.091,0.205,317.8852643419572,0.4815834200113059,,,
12.0,supertrend_short_signal,[12.   2.5],supertrend_short_signal^12.0^2.5,4,4,105,0.019,0.2682645475132194,105,0.125,1.289,48.571,1.375,0.097,233.61702127659578,0.1640758339798293,105,0.286,1.698,55.238,1.297,0.168,16.007905138339922,0.37806235571260305,104,0.276,1.89,54.808,1.206,0.146,98.58012170385396,0.364039619047619,2.5,,
10.0,supertrend_short_signal,[10.   2.5],supertrend_short_signal^10.0^2.5,4,4,106,0.02,0.28112063744313603,106,0.134,1.264,49.057,1.387,0.106,118.29652996845425,0.17604674050632912,106,0.307,1.708,56.604,1.272,0.18,25.53191489361702,0.40627351873536294,105,0.27,1.867,52.381,1.325,0.145,66.5706051873199,0.3560760578468131,2.5,,
120.0,roc_crossunder0,[120],roc_crossunder0^120,4,4,108,0.02,0.28861549426561983,108,0.057,1.325,61.111,0.71,0.043,0.0,0.057245207547169816,108,0.313,1.423,61.111,1.07,0.22,121.35465663217309,0.41585008432888265,108,0.506,1.81,58.333,1.416,0.28,235.3230337078652,0.6761893259668508,,,
45.0,trix_start_decrease,[45],trix_start_decrease^45,4,4,65,0.012,0.30003602010292924,65,0.169,0.947,56.923,1.182,0.178,391.51193633952255,0.2236207286166843,64,0.278,1.441,57.812,1.224,0.193,146.94656488549617,0.36837218598195703,64,0.294,1.764,51.562,1.451,0.167,190.33760186263098,0.3885699999999999,,,
190.0,emacd_histogram_start_decrease_2,[190 456 266],emacd_histogram_start_decrease_2^190^456^266,4,4,80,0.015,0.30408301138857746,80,0.207,1.041,58.75,1.159,0.199,34.61538461538461,0.2744509798270893,80,0.274,1.309,55.0,1.383,0.209,-110.1541251133273,0.19581475935828876,80,0.405,1.516,57.5,1.454,0.267,8.190327613104524,0.5405654683377309,456,266,
210.0,smacd_start_decrease,[210 420],smacd_start_decrease^210^420,4,4,66,0.012,0.30990428343853954,66,0.252,0.785,63.636,1.269,0.321,161.1607142857143,0.33811658598726113,66,0.273,1.182,60.606,1.166,0.231,128.87755102040816,0.36309692893401024,66,0.225,1.7,54.545,1.18,0.132,-33.56790992258972,0.1595845588235294,420,,
190.0,price_crossunder_sma,[190],price_crossunder_sma^190,4,4,73,0.014,0.31213078304663733,73,0.163,1.392,61.644,0.83,0.117,254.43037974683543,0.21438130028735633,73,0.276,1.535,63.014,0.897,0.18,131.80327868852459,0.36525138762214987,73,0.359,1.655,61.644,1.034,0.217,368.28992072480185,0.47682358308157097,,,
180.0,emacd_histogram_start_decrease_2,[180 504 162],emacd_histogram_start_decrease_2^180^504^162,4,4,80,0.015,0.31998031736888655,80,0.255,0.964,57.5,1.498,0.265,91.53439153439152,0.34026893153526966,80,0.217,1.292,48.75,1.636,0.168,-99.03381642512076,0.1544512616099071,80,0.388,1.488,56.25,1.52,0.261,56.896551724137936,0.5175523655913978,504,162,
60.0,rvi_crossunder_signal,[60 54],rvi_crossunder_signal^60^54,4,4,262,0.049,0.3241880778005868,259,0.16,1.147,55.598,1.171,0.139,201.40449438202248,0.2109014821272886,258,0.29,1.519,55.426,1.356,0.191,50.77433628318585,0.3841974983541804,257,0.39,1.903,56.42,1.34,0.205,63.376835236541595,0.517390436153442,54,,
230.0,trix_start_decrease,[230],trix_start_decrease^230,4,0,11,0.002,0.3252085688903771,11,0.495,0.891,72.727,1.281,0.556,-1.0,0.36574999999999996,11,0.497,1.391,81.818,0.568,0.357,-1.0,0.36033035945363046,11,0.24,1.271,54.545,1.275,0.189,-1.0,0.17117230527143978,,,
70.0,rvi_crossunder_signal,[70 49],rvi_crossunder_signal^70^49,4,4,261,0.048,0.32637795132732583,259,0.17,1.14,55.598,1.198,0.149,187.87128712871285,0.22429561403508771,258,0.284,1.508,55.426,1.346,0.188,53.786191536748326,0.37615310344827585,257,0.382,1.838,56.031,1.372,0.208,62.469733656174334,0.5069210663764963,49,,
220.0,rsi_fast_crossunder_slow,[220 616],rsi_fast_crossunder_slow^220^616,4,3,56,0.01,0.3310020883866411,56,0.213,1.081,66.071,0.858,0.197,786.0215053763438,0.2823560314523589,56,0.238,1.257,62.5,0.958,0.189,93.22916666666666,0.31525817024661895,56,0.358,1.538,69.643,0.77,0.233,242.85714285714283,0.4762331079323797,616,,
50.0,emacd_start_decrease,[50 80],emacd_start_decrease^50^80,4,4,243,0.045,0.3526750625314949,241,0.218,1.115,58.091,1.233,0.196,107.17628705148205,0.28894091479820627,239,0.309,1.457,59.414,1.211,0.212,56.477732793522264,0.41021923816060396,238,0.322,1.9,56.303,1.221,0.169,41.12478031634447,0.4256941684210526,80,,
120.0,rvi_crossunder0,[120 'SMA'],rvi_crossunder0^120^SMA,4,3,97,0.018,0.36920807202127714,97,0.194,1.177,59.794,1.021,0.165,48.876404494382015,0.25635690739167377,97,0.293,1.462,61.856,1.007,0.2,104.26008968609868,0.3885336320109439,97,0.466,1.706,67.01,0.954,0.273,950.0000000000002,0.6223476436107855,SMA,,
230.0,rsi_fast_crossunder_slow,[230 552],rsi_fast_crossunder_slow^230^552,4,3,63,0.012,0.3700591996251691,63,0.144,1.032,63.492,0.829,0.14,363.51351351351366,0.18981209302325583,63,0.32,1.351,63.492,1.033,0.237,134.4972067039106,0.42585344189489266,63,0.551,1.908,69.841,0.924,0.289,238.13632441760134,0.736985602725367,552,,
210.0,rvi_crossunder0,[210 'SMA'],rvi_crossunder0^210^SMA,4,4,80,0.015,0.3700721970113722,80,0.125,1.111,52.5,1.215,0.113,0.0,0.1264063906390639,80,0.422,1.385,65.0,1.152,0.305,318.1240063593005,0.5653154657039711,80,0.513,1.757,60.0,1.371,0.292,190.06381039197814,0.6863718099032443,SMA,,
35.0,smacd_start_decrease,[35 98],smacd_start_decrease^35^98,4,4,183,0.034,0.3858320378437503,181,0.26,1.009,61.326,1.241,0.258,81.81818181818183,0.34670961347869184,180,0.293,1.495,55.0,1.414,0.196,63.4228187919463,0.3883651304347826,179,0.362,1.844,55.307,1.364,0.196,54.390243902439025,0.4798384598698481,98,,
150.0,trix_crossunder0,[150],trix_crossunder0^150,4,0,7,0.001,0.38679225919235594,7,0.192,0.991,71.429,0.627,0.194,-1.0,0.1370039152371342,7,0.833,0.857,85.714,1.505,0.972,-1.0,0.6397770478413068,7,0.849,1.346,71.429,2.158,0.631,-1.0,0.6317859361069836,,,
30.0,tsi_crossunder_signal,[30 21 27 'EMA'],tsi_crossunder_signal^30^21^27^EMA,4,4,116,0.021,0.38746853694552186,115,0.204,1.325,53.913,1.309,0.154,92.61744966442953,0.269283079245283,114,0.351,1.575,60.526,1.151,0.223,9.89010989010989,0.4664689714285714,113,0.425,1.968,56.637,1.386,0.216,35.08305647840532,0.5644315294715447,21,27,EMA
45.0,emacd_start_decrease,[45 81],emacd_start_decrease^45^81,4,4,248,0.046,0.39140438418834667,246,0.249,1.134,58.943,1.272,0.22,144.41260744985675,0.3308076984126984,244,0.322,1.511,59.016,1.227,0.213,53.05927342256215,0.4275205294506949,243,0.369,1.962,56.379,1.283,0.188,12.91248206599713,0.488721880733945,81,,
230.0,tsi_crossunder_signal,[230 115 207 'EMA'],tsi_crossunder_signal^230^115^207^EMA,4,0,15,0.003,0.3935135081513626,15,0.557,1.059,80.0,0.903,0.526,-1.0,0.41040748819641176,15,0.726,1.101,73.333,1.791,0.659,-1.0,0.5417107356948229,15,0.182,1.465,46.667,1.605,0.124,-1.0,0.12898271672354947,115,207,EMA
80.0,emacd_histogram_start_decrease,[ 80 144 104],emacd_histogram_start_decrease^80^144^104,4,4,177,0.033,0.4009332079853743,175,0.247,1.126,57.714,1.351,0.219,191.7874396135266,0.3281436678507993,173,0.352,1.426,67.052,0.944,0.247,161.75548589341693,0.4688955960729313,172,0.363,1.89,56.977,1.268,0.192,136.16438356164383,0.48096347619047625,144,104,
210.0,trix_crossunder0,[210],trix_crossunder0^210,4,0,6,0.001,0.4066222256099904,6,0.636,0.945,66.667,2.369,0.673,-1.0,0.4751626666666667,6,0.318,1.4,66.667,0.825,0.227,-1.0,0.2276562,6,0.692,1.735,50.0,2.758,0.399,-1.0,0.5037201613832852,,,
100.0,emacd_histogram_start_decrease,[100 160  80],emacd_histogram_start_decrease^100^160^80,4,4,173,0.032,0.40687967188797686,171,0.273,1.119,61.404,1.238,0.244,149.0066225165563,0.36355841823056306,169,0.334,1.47,66.272,0.918,0.227,166.2295081967213,0.4440654965986395,168,0.347,1.885,55.952,1.293,0.184,147.29857819905214,0.4594040689655173,160,80,
220.0,price_crossunder_ema,[220],price_crossunder_ema^220,4,4,97,0.018,0.4123841375281676,97,0.237,1.221,58.763,1.131,0.194,205.0925925925926,0.3140803194103194,97,0.361,1.455,63.918,1.018,0.248,204.57256461232606,0.4809438006872852,97,0.417,1.712,60.825,1.152,0.244,395.8015267175573,0.5553041880841121,,,
130.0,rsi_crossunder50,[130],rsi_crossunder50^130,4,4,86,0.016,0.417836157492647,86,0.279,1.086,59.302,1.28,0.257,188.05970149253733,0.3720179834254144,86,0.312,1.371,60.465,1.149,0.228,182.93650793650795,0.41483028446389497,86,0.404,1.815,56.977,1.302,0.223,338.66809881847473,0.5368904022038569,,,
210.0,price_crossunder_ema,[210],price_crossunder_ema^210,4,4,100,0.019,0.4185831601207496,100,0.244,1.174,59.0,1.157,0.208,183.38278931750742,0.32379257240204434,100,0.368,1.437,64.0,1.031,0.256,224.3723849372385,0.49065130132219903,100,0.411,1.669,62.0,1.111,0.246,459.7345132743363,0.5474574176153386,,,
210.0,kdj_d_crossunder50,[210  63  63],kdj_d_crossunder50^210^63^63,4,0,9,0.002,0.42361409770914393,9,0.736,0.97,77.778,2.051,0.759,-1.0,0.5542914639175258,9,0.37,1.286,44.444,2.806,0.288,-1.0,0.2664517884914463,9,0.461,1.493,44.444,3.086,0.309,-1.0,0.33266414601473543,63,63,
140.0,rsi_crossunder50,[140],rsi_crossunder50^140,4,4,77,0.014,0.42811860825404413,77,0.298,1.174,63.636,1.066,0.254,102.42914979757086,0.39723349233390126,77,0.272,1.425,57.143,1.196,0.191,254.97382198952874,0.36034941754385974,77,0.455,1.738,58.442,1.334,0.262,244.90311710193765,0.6069851841196778,,,
210.0,smacd_histogram_start_decrease_2,[210 546 189],smacd_histogram_start_decrease_2^210^546^189,4,3,57,0.011,0.43452216314846936,57,0.27,0.942,59.649,1.461,0.287,212.08333333333337,0.3610605095541402,57,0.395,1.195,61.404,1.478,0.331,123.07152875175314,0.5304734309623431,57,0.356,1.439,50.877,1.852,0.247,509.25925925925935,0.47424939541348154,546,189,
